debtor_name;debtor_nik;debtor_address;debtor_zip;debtor_rt;debtor_rw;debtor_birth_place;debtor_age;debtor_number;debtor_occupation;debtor_marital_status;debtor_company;debtor_gender;debtor_education_level;employment_type;number_of_dependents;net_income;payment_date;loan_amount;tenor;amount_of_late;late_payment_amount;credit_score;arrears_amounts;aset;bil1_late1;bill_late2;bill_late3;bill_late4;bill_late5;bill_late6;bill_late7;bill_late8;bill_late9;bill_late10;bill_late11;bill_late12;arrears1;arrears2;arrears3;arrears4;arrears5;arrears6;arrears7;arrears8;arrears9;arrears10;arrears11;arrears12;aging;credit_risk;loss_reverse
Tgk. Tantri Utami;9,40058E+15;"Gang Pasir Koja No. 666
Palembang, YO 45596";45596;10;3;Jambi, 19-02-1965;58;+62-93-027-7053;Buruh;Menikah;UD Suwarno Tbk;laki-laki;D1;Full-time;4;17500000;2023-05-31;69000000;7;154;9;217;2;7000000;20;0;0;24;12;26;23;10;0;12;24;3;1;0;0;1;0;1;2;0;0;0;1;0;Diragukan;Tertagih dengan resiko tinggi;34500000
Paiman Prakasa;9,88873E+15;"Gang Siliwangi No. 7
Semarang, KB 38334";38334;7;4;Kepulauan Bangka Belitung, 13-03-1984;39;+62-0640-963-8236;Buruh;Belum menikah;PT Pertiwi (Persero) Tbk;perempuan;D3;Retired;3;10500000;2023-05-26;60833333;12;63;3;290;1;6000000;0;0;0;30;0;0;0;30;0;0;3;0;0;0;0;1;0;0;0;1;0;0;0;0;DPK;Tertagih dengan resiko rendah;15208333
Malika Wibowo;4,18206E+15;"Jalan Tubagus Ismail No. 44
Bandar Lampung, Sumatera Selatan 22017";22017;1;7;Kalimantan Selatan, 19-02-1980;43;+62 (0173) 739-6652;Buruh;Belum menikah;CV Prasetyo (Persero) Tbk;laki-laki;S1;Retired;2;18000000;2023-04-03;70166667;23;46;3;559;1;3500000;5;0;20;0;21;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;DPK;Tertagih dengan resiko rendah;17541667
Zamira Aryani;1,98928E+15;"Gang K.H. Wahid Hasyim No. 62
Pariaman, SS 02804";2804;5;13;Aceh, 25-12-1962;61;+62-113-432-1080;Pegawai Negeri;Cerai mati;CV Wibowo Manullang Tbk;perempuan;D3;Retired;4;10500000;2023-05-06;62166667;5;65;7;227;1;9500000;0;0;10;9;29;3;0;0;7;6;0;1;0;0;0;0;1;0;0;0;0;0;0;0;DPK;Tertagih dengan resiko rendah;15541667
Jamalia Hastuti;7,26163E+15;"Gang Gedebage Selatan No. 776
Yogyakarta, KS 70923";70923;8;4;Bali, 01-04-1980;43;+62 (43) 537-9802;Pegawai Swasta;Cerai hidup;Perum Dongoran Nasyidah Tbk;laki-laki;SMA;Contract;2;9700000;2023-02-05;57000000;9;105;9;353;2;13000000;6;12;17;0;0;5;14;0;2;25;16;8;0;0;1;0;0;0;0;0;0;1;2;0;Kurang lancar;Tertagih dengan resiko tinggi;28500000
drg. Zelda Rajasa;6,85388E+15;"Gang Indragiri No. 51
Kota Administrasi Jakarta Selatan, Kalimantan Tengah 53792";53792;18;20;Kalimantan Tengah, 27-04-1965;58;+62-014-517-5922;Pengusaha;Menikah;PD Habibi Novitasari;laki-laki;S1;Retired;3;13000000;2023-04-18;56500000;7;43;2;469;1;8500000;0;0;0;0;27;0;16;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;DPK;Tertagih dengan resiko rendah;14125000
Koko Dabukke;4,59762E+15;"Gang Tebet Barat Dalam No. 15
Kota Administrasi Jakarta Pusat, Jawa Tengah 17892";17892;6;6;Nusa Tenggara Barat, 13-06-1990;33;+62 (90) 794-1393;Buruh;Menikah;UD Astuti;laki-laki;SMA;Internship;1;4700000;2023-01-09;21166667;1;144;9;40;2;19500000;27;0;16;12;18;2;17;0;13;20;19;0;1;0;1;0;1;0;1;0;0;1;2;0;Diragukan;Tidak tertagih dengan resiko tinggi;10583333
Jaeman Saputra;2,64412E+15;"Gg. Rajawali Timur No. 75
Cimahi, RI 80482";80482;15;19;Jawa Barat, 15-12-1969;54;+62-91-280-8546;Pengusaha;Cerai mati;CV Sihombing Hartati;laki-laki;D2;Full-time;3;22500000;2023-09-07;80166667;3;92;5;156;2;6500000;0;0;0;0;23;0;23;28;10;0;8;0;0;0;0;0;1;0;1;2;0;0;0;0;Kurang lancar;Tertagih dengan resiko tinggi;40083333
Dt. Jarwi Wahyuni;5,80708E+15;"Gang Rajiman No. 536
Batam, Aceh 25591";25591;9;19;Sulawesi Tengah, 10-08-1990;33;+62 (0875) 028 1113;Pegawai Negeri;Menikah;CV Suryatmi;perempuan;SMA;Contract;1;12700000;2023-01-29;58166667;9;92;5;477;3;7500000;0;6;0;0;20;26;24;0;0;0;0;16;0;0;0;0;1;2;3;0;0;0;0;1;Kurang lancar;Tertagih dengan resiko tinggi;43625000
Padmi Sihombing;1,80138E+15;"Gang Soekarno Hatta No. 097
Kotamobagu, JA 96000";96000;11;6;Jawa Timur, 29-10-1969;54;+62 (092) 149-7585;Profesional;Cerai hidup;Perum Widiastuti;perempuan;D3;Full-time;4;17500000;2023-09-16;59000000;11;127;7;128;3;9500000;7;0;20;0;2;26;26;22;0;24;0;0;0;0;1;0;0;1;2;3;0;1;0;0;Diragukan;Tertagih dengan resiko tinggi;44250000
R.M. Lamar Waluyo, S.Sos;1,85892E+15;"Gg. Cihampelas No. 57
Probolinggo, Sulawesi Tenggara 28453";28453;11;11;Jambi, 08-02-1984;39;+62-28-939-4091;Profesional;Menikah;UD Tarihoran Tbk;perempuan;S2;Full-time;4;19000000;2023-03-18;53666667;24;29;2;368;1;14500000;11;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;DPK;Tertagih dengan resiko rendah;13416667
Ika Mangunsong;4,50514E+15;"Gang Raya Ujungberung No. 165
Banjar, MA 34455";34455;3;11;Kalimantan Timur, 13-12-1995;28;+62-0876-271-3643;Buruh;Menikah;Perum Tarihoran Tbk;laki-laki;D2;Full-time;5;17500000;2023-01-15;76500000;10;88;6;145;1;9500000;18;12;0;26;0;0;7;0;11;14;0;0;1;0;0;1;0;0;0;0;0;0;0;0;DPK;Tertagih dengan resiko rendah;19125000
Gatra Rajasa;8,04392E+15;"Jl. Sadang Serang No. 76
Malang, Sulawesi Tengah 59276";59276;1;3;Banten, 14-09-1981;42;+62 (92) 284-5935;Pegawai Negeri;Cerai mati;UD Hardiansyah;perempuan;D1;Retired;4;10500000;2023-01-15;58166667;16;65;4;346;2;9500000;0;0;0;0;0;2;27;28;0;8;0;0;0;0;0;0;0;0;1;2;0;0;0;0;DPK;Tertagih dengan resiko tinggi;29083333
Arsipatra Siregar;9,48114E+15;"Gang Joyoboyo No. 4
Bogor, Aceh 13767";13767;19;14;Papua, 13-08-1974;49;+62 (0583) 926 4472;Buruh;Cerai hidup;UD Uwais;laki-laki;D3;Retired;3;10500000;2023-01-27;48666667;8;20;1;250;1;9000000;0;20;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;DPK;Tertagih dengan resiko rendah;12166667
Puti Gasti Adriansyah, S.Pd;7,65863E+15;"Gg. H.J Maemunah No. 737
Tangerang Selatan, KS 95262";95262;5;14;Jawa Tengah, 30-01-1971;52;+62-172-498-8490;Pegawai Swasta;Cerai mati;CV Hartati Pangestu Tbk;laki-laki;S2;Full-time;4;19000000;2023-05-17;59000000;9;140;8;244;3;11500000;25;0;14;15;29;18;9;20;0;10;0;0;1;0;0;1;2;3;0;1;0;0;0;0;Diragukan;Tertagih dengan resiko tinggi;44250000
Jane Tarihoran;1,3933E+15;"Jl. Wonoayu No. 43
Surabaya, JA 92233";92233;17;4;Sumatera Selatan, 26-06-1998;25;+62-022-967-5104;Pegawai Negeri;Belum menikah;PD Wastuti;perempuan;S1;Retired;3;16000000;2023-09-16;61833333;10;104;9;145;2;4000000;14;9;24;15;10;3;3;16;10;0;0;0;0;0;1;2;0;0;0;1;0;0;0;0;Kurang lancar;Tertagih dengan resiko tinggi;30916667
Galak Megantara;8,79913E+15;"Jl. Lembong No. 26
Ternate, Sumatera Selatan 67577";67577;17;9;Jambi, 02-02-1982;41;+62 (089) 764 9872;Profesional;Belum menikah;PD Gunawan;laki-laki;D2;Retired;3;10500000;2023-05-28;61500000;10;10;1;226;0;6000000;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;DPK;Tertagih dengan resiko rendah;0
Suci Santoso;8,37385E+15;"Gang Ciumbuleuit No. 615
Tangerang, Jawa Barat 74386";74386;11;1;Gorontalo, 02-07-1988;35;+62-0912-705-5813;Profesional;Menikah;PT Wastuti Lestari Tbk;perempuan;D3;Retired;3;15500000;2023-01-31;58000000;6;167;10;289;2;4000000;16;25;5;0;6;24;15;10;24;0;23;19;1;2;0;0;0;1;2;0;1;0;1;2;Diragukan;Tertagih dengan resiko tinggi;29000000
Umar Rajata;9,5444E+15;"Gang R.E Martadinata No. 6
Sabang, SU 54549";54549;1;14;Kalimantan Tengah, 20-04-1983;40;+62 (0177) 034-0603;Buruh;Belum menikah;PT Najmudin;perempuan;S2;Full-time;4;24000000;2023-06-09;62666667;21;62;3;596;1;9500000;27;0;0;23;0;0;0;0;0;0;12;0;1;0;0;1;0;0;0;0;0;0;0;0;DPK;Tertagih dengan resiko rendah;15666667
Rahmat Ramadan;4,18569E+15;"Jl. Cihampelas No. 803
Bukittinggi, PA 48260";48260;18;17;Jawa Tengah, 17-12-1979;44;+62 (85) 845-6781;Buruh;Belum menikah;PD Tarihoran Widodo (Persero) Tbk;laki-laki;S3;Contract;2;26000000;2023-05-21;133666667;4;72;5;294;1;8500000;22;0;0;0;3;0;13;0;10;0;24;0;1;0;0;0;0;0;0;0;0;0;1;0;DPK;Tidak tertagih dengan resiko rendah;33416667
Yuliana Lailasari;8,46415E+15;"Gg. Jakarta No. 46
Tanjungpinang, JA 99218";99218;7;18;Nusa Tenggara Barat, 25-11-1996;27;+62 (072) 414 2710;Pengusaha;Belum menikah;Perum Prayoga;laki-laki;S1;Retired;3;18000000;2023-09-15;64166667;24;61;4;498;2;7500000;0;5;0;0;0;0;14;0;0;22;20;0;0;0;0;0;0;0;0;0;0;1;2;0;DPK;Tertagih dengan resiko tinggi;32083333
Ghaliyati Saefullah;7,53984E+15;"Gg. Ciwastra No. 507
Surakarta, BT 90577";90577;3;18;DKI Jakarta, 17-02-1982;41;+62 (058) 254 8365;Pegawai Swasta;Menikah;Perum Prakasa Sihombing;perempuan;D3;Retired;5;15500000;2023-09-17;62666667;8;113;8;293;1;3500000;19;0;0;0;4;20;7;8;22;0;26;7;1;0;0;0;0;1;0;0;1;0;1;0;Kurang lancar;Tertagih dengan resiko rendah;15666667
Ridwan Laksmiwati;2,91845E+15;"Gang PHH. Mustofa No. 0
Lubuklinggau, RI 24914";24914;1;4;Bali, 21-07-1991;32;+62 (0622) 344-7751;Pengusaha;Cerai hidup;PT Hardiansyah Hasanah;laki-laki;S1;Full-time;2;26000000;2023-03-18;143000000;24;56;3;671;1;9000000;29;0;3;0;0;0;24;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;DPK;Tidak tertagih dengan resiko rendah;35750000
Galar Wahyuni;9,00965E+15;"Jl. Joyoboyo No. 69
Bandar Lampung, Maluku 33269";33269;12;9;Kalimantan Tengah, 24-09-1985;38;+62 (304) 978-6444;Pegawai Negeri;Menikah;PD Hutagalung Sitompul Tbk;perempuan;S1;Full-time;3;24000000;2023-08-01;60000000;23;24;3;567;0;4500000;0;0;6;0;0;4;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;DPK;Tertagih dengan resiko rendah;0
T. Edward Uyainah, S.IP;1,59875E+15;"Jalan Raya Setiabudhi No. 4
Magelang, RI 79183";79183;2;18;Sulawesi Barat, 04-10-1986;37;+62 (422) 651-6273;Pegawai Negeri;Belum menikah;Perum Pangestu Prayoga (Persero) Tbk;laki-laki;D3;Retired;3;10500000;2023-08-31;56000000;10;75;5;211;1;8000000;0;18;0;7;0;16;14;0;0;20;0;0;0;1;0;0;0;1;0;0;0;1;0;0;DPK;Tertagih dengan resiko rendah;14000000
Kartika Widiastuti;8,66588E+15;"Jalan W.R. Supratman No. 521
Tasikmalaya, YO 05282";5282;14;4;Jawa Timur, 28-10-1993;30;+62 (059) 634-6434;Buruh;Cerai mati;Perum Habibi;perempuan;D3;Retired;3;10500000;2023-02-08;56500000;11;36;2;341;1;3000000;0;0;0;0;0;0;0;8;0;28;0;0;0;0;0;0;0;0;0;0;0;1;0;0;DPK;Tertagih dengan resiko rendah;14125000
Rusman Haryanto;8,10469E+15;"Gang Raya Ujungberung No. 005
Palembang, Sumatera Barat 90913";90913;12;10;Nusa Tenggara Barat, 08-01-1974;49;+62 (803) 183 9486;Pegawai Negeri;Belum menikah;PT Napitupulu Pradana;perempuan;D3;Retired;3;10500000;2023-01-02;56500000;10;12;1;303;0;17500000;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;DPK;Tertagih dengan resiko rendah;0
Sidiq Aryani;9,88303E+15;"Gang Pasir Koja No. 1
Balikpapan, DI Yogyakarta 95907";95907;20;9;Jawa Tengah, 13-07-1964;59;+62-33-092-3979;Profesional;Belum menikah;PT Hidayanto (Persero) Tbk;laki-laki;S1;Full-time;4;24000000;2023-04-03;72666667;4;81;5;120;2;7000000;0;22;21;14;0;3;0;0;0;0;21;0;0;1;2;0;0;0;0;0;0;0;1;0;DPK;Tertagih dengan resiko tinggi;36333333
Belinda Palastri, M.M.;6,95525E+15;"Jl. Veteran No. 138
Tebingtinggi, DI Yogyakarta 83321";83321;2;18;Sulawesi Barat, 20-08-1971;52;+62 (66) 711 3617;Profesional;Menikah;CV Mustofa (Persero) Tbk;perempuan;D2;Full-time;5;25500000;2023-08-11;141000000;7;137;8;130;2;6000000;26;29;0;0;5;0;29;5;0;10;14;19;1;2;0;0;0;0;1;0;0;0;0;1;Diragukan;Tidak tertagih dengan resiko rendah;70500000
Puti Melinda Oktaviani;4,45663E+15;"Gg. Cikutra Barat No. 35
Pasuruan, SU 21529";21529;11;18;Bali, 24-10-1961;62;+62 (39) 891 8887;Profesional;Cerai mati;PT Mayasari Maheswara;perempuan;S1;Full-time;2;22000000;2023-05-14;70166667;25;58;4;653;1;4000000;1;29;0;8;0;0;20;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;DPK;Tertagih dengan resiko rendah;17541667
Kacung Rajata;4,35227E+15;"Gg. Moch. Toha No. 233
Palopo, ST 62460";62460;14;17;Kalimantan Timur, 05-07-1998;25;+62 (068) 998-4729;Pengusaha;Menikah;PD Salahudin Manullang;perempuan;SMA;Contract;1;8700000;2023-08-25;64500000;2;30;2;221;1;4000000;0;3;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;DPK;Tertagih dengan resiko rendah;16125000
Ir. Irsad Hariyah;5,34848E+15;"Jalan Yos Sudarso No. 595
Purwokerto, Banten 08058";8058;17;2;Sumatera Barat, 31-12-1962;61;+62-040-213-6767;Pegawai Swasta;Belum menikah;PD Simbolon Tarihoran (Persero) Tbk;perempuan;D2;Contract;4;17500000;2023-09-01;76166667;3;116;9;161;2;8500000;0;6;16;30;14;22;2;20;5;1;0;0;0;0;1;2;0;1;0;1;0;0;0;0;Kurang lancar;Tertagih dengan resiko tinggi;38083333
Yani Marbun;8,78248E+15;"Gang Antapani Lama No. 083
Kota Administrasi Jakarta Pusat, SN 31440";31440;10;19;Jawa Timur, 15-03-1988;35;+62 (015) 773-5409;Buruh;Belum menikah;PD Pratiwi Hardiansyah;perempuan;D3;Full-time;3;23500000;2023-03-14;70333333;22;18;1;554;1;9000000;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;DPK;Tertagih dengan resiko rendah;17583333
Sutan Dodo Salahudin, S.Pt;5,65657E+15;"Gang Jend. Sudirman No. 2
Mojokerto, AC 82122";82122;18;16;Sulawesi Tengah, 10-07-1971;52;+62 (49) 869 7253;Pengusaha;Cerai mati;UD Iswahyudi;laki-laki;D1;Full-time;0;15500000;2023-06-19;63000000;21;18;2;484;1;5500000;0;0;0;0;0;1;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;1;0;0;DPK;Tertagih dengan resiko rendah;15750000
Dr. Rika Widodo, S.Kom;5,39739E+15;"Gg. Jamika No. 002
Purwokerto, SR 66168";66168;17;2;Jambi, 29-03-1960;63;+62-90-046-2782;Pegawai Negeri;Cerai mati;PD Najmudin;laki-laki;SMA;Contract;1;7700000;2023-06-19;59166667;14;77;5;390;2;17000000;13;0;0;28;29;3;0;0;0;4;0;0;0;0;0;1;2;0;0;0;0;0;0;0;DPK;Tertagih dengan resiko tinggi;29583333
Mahfud Siregar;4,93497E+15;"Jalan S. Parman No. 704
Surabaya, Sulawesi Selatan 46174";46174;15;3;Kalimantan Tengah, 07-09-1961;62;+62-80-880-5699;Pegawai Swasta;Cerai hidup;UD Prayoga;laki-laki;S1;Full-time;4;19000000;2023-05-01;48833333;23;0;0;481;0;7000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Lancar;Tertagih dengan resiko rendah;0
Galak Palastri, S.I.Kom;9,68988E+15;"Gang M.H Thamrin No. 1
Makassar, BB 73396";73396;20;11;Aceh, 29-12-1962;61;+62 (44) 067-4957;Profesional;Cerai mati;Perum Wibowo;laki-laki;D3;Retired;4;25500000;2023-03-24;137333333;2;114;7;288;1;10000000;6;0;16;11;24;0;0;17;10;30;0;0;0;0;1;0;1;0;0;1;0;1;0;0;Kurang lancar;Tidak tertagih dengan resiko rendah;34333333
Ir. Vivi Kuswandari;2,31841E+15;"Gg. Merdeka No. 05
Banjarbaru, KR 97928";97928;8;8;Kalimantan Tengah, 02-03-1972;51;+62 (0959) 231 6938;Pengusaha;Cerai mati;CV Wastuti Budiyanto;perempuan;D1;Retired;3;20500000;2023-02-28;63166667;25;0;0;633;0;7500000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Lancar;Tertagih dengan resiko rendah;0
Rahayu Hutasoit;9,1537E+15;"Gg. Gegerkalong Hilir No. 2
Banda Aceh, KI 69109";69109;14;15;Sumatera Utara, 05-12-1988;35;+62 (35) 191-1544;Pengusaha;Belum menikah;Perum Astuti;laki-laki;S2;Retired;3;18000000;2023-07-18;60333333;1;126;7;142;2;12500000;20;13;22;0;0;0;12;0;13;27;19;0;1;0;1;0;0;0;0;0;0;1;2;0;Diragukan;Tertagih dengan resiko tinggi;30166667
H. Bambang Marpaung;3,35018E+15;"Jalan Bangka Raya No. 66
Kota Administrasi Jakarta Utara, ST 56512";56512;13;2;Sulawesi Selatan, 08-04-1981;42;+62-835-343-6049;Pegawai Negeri;Cerai mati;Perum Lazuardi;perempuan;D3;Retired;3;15500000;2023-08-03;47333333;15;70;4;475;1;4500000;0;0;10;0;0;0;0;0;24;14;22;0;0;0;0;0;0;0;0;0;1;0;1;0;DPK;Tertagih dengan resiko rendah;11833333
R. Heru Lazuardi;1,09649E+15;"Jalan Lembong No. 89
Prabumulih, SG 00787";787;12;1;Sumatera Utara, 29-03-1983;40;+62 (0336) 058 5765;Pengusaha;Menikah;UD Permata Lazuardi;laki-laki;S1;Full-time;4;24000000;2023-04-11;61833333;16;69;5;542;1;6000000;0;0;17;0;0;21;0;15;2;0;0;14;0;0;1;0;0;1;0;1;0;0;0;0;DPK;Tertagih dengan resiko rendah;15458333
Mutia Mandasari;9,26014E+15;"Jl. Ahmad Yani No. 59
Pangkalpinang, Sulawesi Selatan 76209";76209;9;17;Sulawesi Tengah, 05-02-1976;47;+62-0544-304-9534;Buruh;Menikah;Perum Winarsih Mustofa;perempuan;D3;Retired;5;17500000;2023-03-16;74333333;3;121;8;120;2;10000000;0;0;25;9;2;0;5;29;22;12;0;17;0;0;1;0;0;0;0;1;2;0;0;1;Diragukan;Tertagih dengan resiko tinggi;37166667
Dr. Jarwi Sitorus, S.E.I;5,15745E+15;"Jalan Lembong No. 9
Denpasar, JA 64379";64379;9;4;Riau, 24-11-1979;44;+62-77-386-3850;Pegawai Negeri;Cerai hidup;CV Samosir;laki-laki;D3;Retired;3;15500000;2023-06-06;56000000;17;25;3;492;0;10500000;0;0;0;0;0;0;12;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;DPK;Tertagih dengan resiko rendah;0
Aris Dongoran;6,82181E+15;"Jalan Sukabumi No. 5
Palopo, BB 88430";88430;2;5;Papua, 17-07-1986;37;+62-0124-551-1233;Buruh;Belum menikah;UD Rahmawati Yuniar (Persero) Tbk;perempuan;D1;Full-time;1;26500000;2023-07-15;139833333;33;51;3;615;1;8000000;0;21;0;0;0;1;29;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;DPK;Tidak tertagih dengan resiko rendah;34958333
Raina Usada;7,63496E+15;"Gang Monginsidi No. 4
Probolinggo, Lampung 67808";67808;15;2;DI Yogyakarta, 16-07-1978;45;+62 (888) 377 3658;Pegawai Negeri;Menikah;Perum Wibisono (Persero) Tbk;laki-laki;D3;Full-time;4;17500000;2023-03-01;74166667;8;119;8;112;3;10500000;24;23;25;1;7;0;22;0;0;0;4;13;1;2;3;0;0;0;1;0;0;0;0;0;Kurang lancar;Tertagih dengan resiko tinggi;55625000
Nasim Santoso, M.Farm;1,51712E+15;"Gang Kapten Muslihat No. 7
Sawahlunto, BT 18638";18638;1;11;Papua Barat, 26-09-1996;27;+62-0510-786-6906;Profesional;Cerai hidup;Perum Yolanda Tbk;laki-laki;S2;Full-time;3;24000000;2023-01-23;56333333;24;40;3;584;1;12500000;0;23;0;0;0;13;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;DPK;Tertagih dengan resiko rendah;14083333
Tgk. Gina Manullang, S.E.I;4,87635E+15;"Jalan Bangka Raya No. 29
Sorong, Kepulauan Riau 10166";10166;20;15;Maluku, 23-08-1962;61;+62 (0642) 471-9413;Profesional;Cerai hidup;PT Safitri;laki-laki;S1;Retired;4;21000000;2023-01-06;75500000;4;175;10;124;3;3500000;18;10;8;0;20;30;9;27;29;18;0;6;1;0;0;0;1;2;0;1;2;3;0;0;Diragukan;Tertagih dengan resiko tinggi;56625000
Tgk. Tari Prayoga, M.M.;2,6687E+15;"Jl. Rungkut Industri No. 9
Yogyakarta, JB 72544";72544;16;5;Jambi, 15-07-1981;42;+62 (045) 963-5835;Profesional;Cerai mati;UD Usamah Purwanti (Persero) Tbk;laki-laki;D1;Retired;3;15500000;2023-08-20;71166667;15;37;2;454;1;8000000;0;0;10;0;0;27;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;DPK;Tertagih dengan resiko rendah;17791667
Kurnia Tamba;7,875E+15;"Jl. Waringin No. 79
Surabaya, KI 26107";26107;16;14;Jawa Barat, 03-05-1988;35;+62-812-337-4253;Pegawai Swasta;Cerai mati;CV Laksmiwati;perempuan;D1;Retired;3;10500000;2023-08-12;57833333;15;77;4;306;1;13000000;0;23;0;0;0;0;30;0;10;0;0;14;0;1;0;0;0;0;1;0;0;0;0;0;DPK;Tertagih dengan resiko rendah;14458333
Mahmud Natsir, M.M.;5,12281E+15;"Gang Lembong No. 58
Medan, RI 33137";33137;13;19;Gorontalo, 05-01-1973;50;+62 (0507) 523 6345;Pengusaha;Belum menikah;PD Lailasari;perempuan;D2;Retired;4;18500000;2023-01-14;62000000;7;182;9;131;3;9000000;29;25;26;0;4;0;28;15;25;8;22;0;1;2;3;0;0;0;1;2;3;0;1;0;Macet;Tertagih dengan resiko tinggi;46500000
Galang Nuraini;1,99315E+15;"Gang Wonoayu No. 89
Blitar, Gorontalo 73699";73699;13;9;Banten, 07-01-1987;36;+62 (0925) 176 8351;Pengusaha;Cerai mati;PT Pertiwi Kurniawan (Persero) Tbk;laki-laki;S1;Retired;4;18000000;2023-07-06;66333333;6;138;7;150;2;9500000;4;29;23;0;0;27;0;0;15;0;20;20;0;1;2;0;0;1;0;0;1;0;1;2;Diragukan;Tertagih dengan resiko tinggi;33166667
Agnes Wulandari;6,75627E+15;"Gg. Jayawijaya No. 6
Lhokseumawe, SU 29077";29077;6;19;Sumatera Barat, 16-02-1977;46;+62 (185) 764-3456;Pengusaha;Cerai mati;UD Lailasari (Persero) Tbk;perempuan;D1;Retired;5;15500000;2023-06-08;68333333;13;151;10;190;2;9500000;8;11;12;18;29;0;11;9;0;8;25;20;0;0;0;1;2;0;0;0;0;0;1;2;Diragukan;Tertagih dengan resiko tinggi;34166667
Hesti Hassanah;3,34246E+15;"Jalan Kutisari Selatan No. 36
Kendari, Kalimantan Timur 24741";24741;9;2;Bali, 06-03-1992;31;+62 (448) 417-3857;Profesional;Cerai hidup;UD Purwanti Tbk;laki-laki;S1;Retired;2;13000000;2023-03-16;57666667;4;29;3;331;1;15500000;0;0;5;0;0;3;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;1;0;0;DPK;Tertagih dengan resiko rendah;14416667
Malik Hariyah;2,40448E+15;"Gg. Setiabudhi No. 7
Lhokseumawe, Jambi 62311";62311;1;13;Sulawesi Selatan, 02-03-1994;29;+62-227-947-8852;Pegawai Swasta;Cerai hidup;PT Dabukke (Persero) Tbk;perempuan;D3;Retired;3;10500000;2023-05-27;58166667;3;40;2;254;1;7000000;0;0;0;0;30;0;0;0;0;10;0;0;0;0;0;0;1;0;0;0;0;0;0;0;DPK;Tertagih dengan resiko rendah;14541667
Victoria Saptono, S.E.I;4,85576E+15;"Gg. Abdul Muis No. 096
Lubuklinggau, Kepulauan Riau 80624";80624;1;16;Sulawesi Barat, 09-09-1992;31;+62-0844-241-0363;Pegawai Swasta;Belum menikah;PT Zulaika Tbk;laki-laki;SMA;Contract;2;6700000;2023-04-29;54333333;10;41;2;422;1;14000000;0;0;11;30;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;DPK;Tertagih dengan resiko rendah;13583333
Puti Mala Usamah, S.I.Kom;3,04543E+15;"Gg. Lembong No. 2
Bima, SU 75430";75430;12;12;Bengkulu, 20-05-1973;50;+62 (0384) 237 8440;Buruh;Cerai hidup;PT Sitompul Salahudin;perempuan;D3;Full-time;5;22500000;2023-07-02;68833333;10;91;4;258;2;14500000;0;23;0;21;0;0;0;0;0;30;17;0;0;1;0;1;0;0;0;0;0;1;2;0;Kurang lancar;Tertagih dengan resiko tinggi;34416667
Syahrini Nainggolan;7,26349E+15;"Gang Raya Ujungberung No. 22
Bogor, SG 16539";16539;1;17;Jawa Barat, 29-08-1984;39;+62 (58) 214 7222;Buruh;Menikah;CV Handayani Januar Tbk;laki-laki;D3;Retired;3;15500000;2023-05-08;59000000;8;136;8;290;2;11500000;0;0;12;25;7;27;26;0;0;15;3;21;0;0;0;1;0;1;2;0;0;1;0;1;Diragukan;Tertagih dengan resiko tinggi;29500000
R.A. Oni Setiawan;1,53463E+15;"Jl. Ciumbuleuit No. 46
Gorontalo, Jawa Barat 31508";31508;11;15;Kalimantan Selatan, 06-09-1989;34;+62 (035) 099-6695;Profesional;Cerai hidup;PT Suryono Tbk;laki-laki;D3;Retired;4;10500000;2023-06-03;60833333;7;37;2;207;1;5000000;0;0;0;0;0;0;0;0;25;0;0;12;0;0;0;0;0;0;0;0;1;0;0;0;DPK;Tertagih dengan resiko rendah;15208333
