collector_name;collector_address;collector_number;collector_nik;collector_zip;collector_rt;collector_rw;collector_birth_place;collector_age;collector_marital_status;collector_gender;avg_bill_methods;debtor_volume_handled;bill_amount_collected;total_actual;total_cost;success_rate;time_to_collect
Jacob Beck;"Jalan Cikutra Timur No. 59
Kota Administrasi Jakarta Utara, Maluku 20973";+62 (99) 689-8397;3,84817E+15;20973;16;12;Sumatera Barat, 27-12-1974;49;Cerai hidup;laki-laki;sms or WA;1;2200000;3800000;6443;58;1
Donna Clay;"Jalan Medokan Ayu No. 48
Tanjungbalai, Maluku Utara 09863";+62-0838-772-1383;9,83574E+15;9863;13;15;Kalimantan Utara, 31-10-1971;52;Belum menikah;perempuan;sms or WA;17;97600000;143500000;175739;68;0
Timothy Liu;"Gg. Abdul Muis No. 576
Pangkalpinang, Kepulauan Bangka Belitung 20242";+62 (0220) 208-8908;1,74795E+15;20242;5;15;Kalimantan Utara, 09-11-1981;42;Cerai hidup;laki-laki;sms or WA;11;4600000;47600000;86247;10;1
Colleen Edwards;"Gg. Asia Afrika No. 37
Kupang, BA 19741";+62 (010) 822-0309;9,59938E+15;19741;8;11;Sumatera Barat, 10-04-1973;50;Belum menikah;perempuan;sms or WA;18;108200000;177500000;166049;61;4
Melinda Bailey;"Gang Peta No. 847
Tanjungbalai, AC 28096";+62-089-619-6300;8,70524E+15;28096;19;20;Kepulauan Bangka Belitung, 13-08-1988;35;Menikah;perempuan;sms or WA;18;20100000;88500000;181418;23;1
Tammy Shaw;"Gg. Stasiun Wonokromo No. 6
Sabang, SR 96410";+62 (402) 056-1826;8,43315E+15;96410;10;5;Kalimantan Barat, 01-06-1963;60;Cerai mati;perempuan;sms or WA;7;12900000;15100000;50145;85;4
Abigail Phillips;"Gg. Ciumbuleuit No. 560
Surabaya, KS 43766";+62-017-581-4300;2,06145E+15;43766;1;3;Kalimantan Timur, 06-03-1961;62;Belum menikah;laki-laki;sms or WA;17;136600000;150800000;99625;91;4
Colleen Lawrence;"Jl. M.H Thamrin No. 673
Semarang, KU 78779";+62 (0325) 321 4573;4,56461E+15;78779;4;13;Jambi, 13-08-1963;60;Belum menikah;laki-laki;sms or WA;1;1500000;1700000;8538;88;3
Bruce Cook;"Gang W.R. Supratman No. 9
Pasuruan, Sulawesi Barat 88720";+62 (0656) 369 7363;3,19387E+15;88720;5;7;Papua, 19-01-1965;58;Menikah;perempuan;sms or WA;18;112100000;139800000;188527;80;2
Jodi Brandt;"Gg. Kendalsari No. 02
Ambon, Riau 22793";+62 (744) 913-6069;4,96218E+15;22793;17;17;Sulawesi Tengah, 08-10-1965;58;Belum menikah;laki-laki;sms or WA;10;72800000;75400000;56659;97;3
Daniel Hart;"Jalan Monginsidi No. 992
Banda Aceh, AC 52390";+62 (051) 672 6090;5,29196E+15;52390;2;4;Sumatera Barat, 02-01-1998;25;Cerai mati;perempuan;sms or WA;14;28800000;64600000;113399;45;2
Sara Davis;"Gg. Astana Anyar No. 1
Batam, KS 72892";+62-0071-394-8933;8,27285E+15;72892;20;9;Sumatera Selatan, 24-06-1988;35;Menikah;perempuan;sms or WA;13;8600000;19600000;65965;44;0
Lisa Cameron;"Jl. Rungkut Industri No. 2
Tanjungpinang, Kalimantan Selatan 66257";+62 (88) 206-1467;6,93108E+15;66257;11;16;Sulawesi Selatan, 01-04-1997;26;Belum menikah;perempuan;sms or WA;18;15900000;61100000;164715;26;2
Andrew Smith;"Gang Pasirkoja No. 3
Parepare, Kalimantan Selatan 58520";+62 (0626) 981 8168;2,54114E+15;58520;1;6;Lampung, 16-06-1986;37;Menikah;perempuan;sms or WA;1;2200000;9000000;8363;24;3
Tiffany Patton;"Gang Suryakencana No. 8
Makassar, Lampung 58295";+62-018-406-4557;6,2659E+15;58295;16;10;Jambi, 11-05-1971;52;Cerai mati;laki-laki;sms or WA;9;57400000;64600000;45315;89;2
Roy Wood;"Jl. Veteran No. 2
Magelang, Gorontalo 84139";+62 (092) 363 6249;7,93915E+15;84139;12;8;Riau, 08-11-1966;57;Cerai mati;perempuan;sms or WA;9;14200000;15600000;85865;91;0
Sean Wilcox;"Jalan Surapati No. 3
Padang Sidempuan, GO 33119";+62 (99) 757-2005;9,97144E+15;33119;12;4;Papua, 12-10-1976;47;Cerai mati;perempuan;sms or WA;19;31900000;37000000;182849;86;3
Julia Snyder;"Gang Siliwangi No. 29
Langsa, NB 35210";+62-008-229-8602;4,24696E+15;35210;16;8;Kalimantan Timur, 30-12-1994;29;Cerai mati;laki-laki;sms or WA;5;3800000;25400000;59547;15;1
Kathleen Hood;"Jl. Dipatiukur No. 4
Sibolga, Sulawesi Utara 49337";+62 (292) 936 8601;9,98003E+15;49337;9;19;Maluku, 05-01-1970;53;Cerai mati;laki-laki;sms or WA;10;60000000;66700000;100627;90;0
Barbara Romero;"Jl. Rawamangun No. 7
Cirebon, Nusa Tenggara Barat 32475";+62-10-055-6014;5,35496E+15;32475;1;6;Lampung, 24-08-1968;55;Cerai hidup;perempuan;sms or WA;14;13000000;23000000;96994;57;4
Todd Rollins;"Gang Pacuan Kuda No. 257
Yogyakarta, Nusa Tenggara Timur 06481";+62-72-111-0687;1,04191E+15;6481;19;16;Nusa Tenggara Timur, 14-09-1993;30;Cerai hidup;perempuan;sms or WA;17;18000000;151100000;99086;12;2
Christopher Martin;"Gang Monginsidi No. 660
Bekasi, KT 51375";+62-0572-739-4967;2,95454E+15;51375;7;1;Kalimantan Barat, 22-09-1982;41;Cerai hidup;perempuan;sms or WA;7;34600000;63900000;41762;54;2
Madeline Davis;"Gg. Moch. Toha No. 04
Tasikmalaya, LA 79428";+62 (30) 958-9355;6,16357E+15;79428;14;2;Jambi, 19-11-1960;63;Menikah;laki-laki;sms or WA;11;8500000;14400000;87697;59;1
Melissa Griffith;"Gang Jayawijaya No. 6
Cimahi, Papua 21910";+62 (865) 062-1444;8,91025E+15;21910;5;15;Lampung, 22-01-1997;26;Cerai mati;laki-laki;sms or WA;19;75100000;183000000;175789;41;2
Autumn Steele;"Jalan Kiaracondong No. 27
Banjarbaru, JA 89280";+62-0687-707-2821;3,89218E+15;89280;6;17;Papua Barat, 24-03-1984;39;Menikah;perempuan;sms or WA;10;11500000;32700000;87424;35;3
Ross Skinner;"Jl. Surapati No. 175
Subulussalam, SB 04699";+62-083-591-5431;8,70257E+15;4699;11;2;Maluku Utara, 10-01-1960;63;Cerai mati;perempuan;sms or WA;6;5700000;6100000;45645;93;4
Nicole Robertson;"Gg. Cempaka No. 87
Kendari, Kalimantan Tengah 71956";+62 (91) 164-1774;4,70683E+15;71956;5;14;Kalimantan Tengah, 10-04-1973;50;Cerai mati;perempuan;sms or WA;11;39800000;42000000;67388;95;4
Shawn Smith;"Jalan Pelajar Pejuang No. 505
Lubuklinggau, BB 57684";+62 (062) 722 2810;1,6142E+15;57684;11;8;Kalimantan Timur, 31-07-1988;35;Belum menikah;laki-laki;sms or WA;3;3800000;20400000;23649;19;3
Sherry Russell;"Gg. Joyoboyo No. 6
Palangkaraya, Kalimantan Tengah 64617";+62 (0519) 501-8042;5,8067E+15;64617;3;8;Nusa Tenggara Barat, 27-02-1993;30;Cerai hidup;perempuan;sms or WA;4;27600000;38100000;31923;72;2
Alyssa Tucker;"Jl. K.H. Wahid Hasyim No. 2
Kotamobagu, PB 78325";+62 (009) 768 9248;2,73362E+15;78325;20;9;Lampung, 19-06-1961;62;Menikah;laki-laki;sms or WA;11;11400000;12500000;118039;91;1
Phyllis James;"Gg. R.E Martadinata No. 25
Sabang, Maluku 25271";+62-39-175-9886;2,2204E+15;25271;1;13;DKI Jakarta, 20-11-1968;55;Cerai hidup;perempuan;sms or WA;13;5500000;49600000;132654;11;0
Jason Chen;"Gang Rumah Sakit No. 65
Purwokerto, Kepulauan Riau 64178";+62 (151) 588 9984;9,26686E+15;64178;15;11;Gorontalo, 17-04-1973;50;Cerai mati;laki-laki;sms or WA;17;12900000;112600000;177952;11;4
Ashley Phelps;"Jl. Surapati No. 4
Malang, Kalimantan Utara 28367";+62 (09) 896-4215;8,79684E+15;28367;14;6;Gorontalo, 01-12-1988;35;Belum menikah;laki-laki;sms or WA;15;13000000;27700000;84618;47;2
David Mullins;"Jl. Rungkut Industri No. 46
Tangerang Selatan, SN 36089";+62 (0059) 466 0689;4,52594E+15;36089;8;8;Sulawesi Barat, 03-08-1987;36;Menikah;perempuan;sms or WA;5;25300000;46100000;38369;55;2
Janice Young;"Jalan Jend. A. Yani No. 226
Prabumulih, Sumatera Selatan 81491";+62 (800) 825-0881;6,8913E+15;81491;14;14;Riau, 21-05-1990;33;Menikah;perempuan;sms or WA;8;8000000;13300000;68869;60;4
Molly Torres;"Gang Antapani Lama No. 936
Sukabumi, BB 06208";+62 (04) 278 1979;4,59658E+15;6208;7;17;Nusa Tenggara Barat, 24-02-1975;48;Menikah;laki-laki;sms or WA;14;83900000;93100000;131731;90;4
Glenn Little;"Gg. Cempaka No. 3
Kendari, Gorontalo 71151";+62-638-756-6005;4,62697E+15;71151;17;9;Gorontalo, 30-01-1971;52;Belum menikah;laki-laki;sms or WA;1;1200000;4900000;18470;24;4
Jacob Walker;"Gang Joyoboyo No. 80
Depok, JT 20320";+62 (0783) 191 0403;3,10593E+15;20320;4;7;Jawa Barat, 26-02-1998;25;Menikah;laki-laki;sms or WA;3;27200000;28000000;17821;97;4
Jessica Choi;"Jalan S. Parman No. 065
Subulussalam, Kalimantan Timur 37978";+62 (65) 356-3631;6,83837E+15;37978;2;9;DI Yogyakarta, 28-02-1998;25;Menikah;perempuan;sms or WA;11;53100000;94000000;105269;56;2
Kimberly Adams;"Jl. Raya Setiabudhi No. 5
Sibolga, SB 96657";+62 (0427) 103 1711;4,647E+15;96657;12;15;Sumatera Utara, 10-10-1969;54;Belum menikah;laki-laki;sms or WA;17;33100000;37200000;86959;89;1
Sandra Trevino;"Gg. Kutai No. 85
Lhokseumawe, JT 92819";+62-589-577-5084;2,00487E+15;92819;13;2;Sulawesi Tenggara, 01-08-1963;60;Menikah;perempuan;sms or WA;1;2300000;6700000;7664;34;0
Tracy Park;"Gg. Pasirkoja No. 10
Pasuruan, KR 67808";+62-810-990-0381;4,70201E+15;67808;16;10;Sumatera Selatan, 15-12-1971;52;Cerai hidup;perempuan;sms or WA;9;26600000;65800000;79720;40;3
Hannah Bailey;"Jl. Rajawali Barat No. 5
Pagaralam, Maluku 09322";+62 (51) 270-9075;5,99817E+15;9322;11;14;Kalimantan Barat, 15-03-1963;60;Menikah;perempuan;sms or WA;18;109900000;155300000;97013;71;4
Brianna Jackson;"Gang Kutisari Selatan No. 41
Pontianak, LA 86511";+62 (277) 871 1737;3,04387E+15;86511;19;7;Sumatera Selatan, 03-12-1988;35;Menikah;perempuan;sms or WA;12;33800000;116300000;66905;29;1
Emma Arroyo;"Gg. Kapten Muslihat No. 74
Surakarta, SB 97068";+62-47-628-1050;7,46072E+15;97068;1;3;Sulawesi Utara, 29-10-1966;57;Belum menikah;laki-laki;sms or WA;4;19300000;22300000;40304;87;3
John Mann;"Gang Cikutra Timur No. 642
Padang, NB 81002";+62-142-384-1300;8,94449E+15;81002;9;17;Nusa Tenggara Barat, 22-01-1982;41;Belum menikah;perempuan;sms or WA;8;21100000;32500000;88749;65;0
Thomas Wolf;"Gang Jend. Sudirman No. 097
Madiun, PA 68046";+62 (912) 662-8350;1,17129E+15;68046;11;6;Sulawesi Tengah, 19-10-1961;62;Cerai mati;laki-laki;sms or WA;17;9200000;12200000;112039;75;2
Matthew Dorsey;"Jl. Sadang Serang No. 7
Bandung, BB 22109";+62 (0753) 152-3630;5,5142E+15;22109;16;4;Sulawesi Tengah, 26-06-1979;44;Menikah;perempuan;sms or WA;4;17800000;38700000;35236;46;4
Christopher Smith;"Gang Medokan Ayu No. 9
Pariaman, KS 85573";+62 (67) 726 9783;8,01812E+15;85573;2;19;Kalimantan Barat, 02-05-1984;39;Belum menikah;perempuan;sms or WA;3;1900000;9700000;16282;20;4
Joseph Macias;"Gang Cihampelas No. 1
Tebingtinggi, Banten 39374";+62-090-840-3306;7,22164E+15;39374;16;6;Sulawesi Utara, 01-09-1965;58;Cerai hidup;laki-laki;sms or WA;11;10700000;12500000;104337;86;3
Cynthia Rojas;"Jl. Pasirkoja No. 3
Kediri, DKI Jakarta 88758";+62 (041) 941-3707;9,73149E+15;88758;3;3;Sumatera Selatan, 08-01-2000;23;Cerai mati;perempuan;sms or WA;17;85600000;89500000;85981;96;2
Linda George;"Jl. Dr. Djunjunan No. 71
Tarakan, Nusa Tenggara Barat 67280";+62 (300) 745-7022;8,46145E+15;67280;20;1;Jawa Barat, 30-08-1989;34;Cerai mati;laki-laki;sms or WA;19;33600000;128700000;122523;26;2
Shelley Martin;"Gang Astana Anyar No. 572
Makassar, Sulawesi Tengah 48288";+62-842-758-2261;2,59514E+15;48288;8;12;Sulawesi Tenggara, 21-12-1993;30;Cerai mati;laki-laki;sms or WA;9;7000000;8100000;88553;86;2
Nicholas Williams;"Gang Wonoayu No. 456
Banjar, GO 33756";+62 (646) 002-0341;5,33296E+15;33756;2;19;Riau, 26-12-1994;29;Belum menikah;laki-laki;sms or WA;8;3800000;7500000;66250;51;1
Ryan Williams;"Jalan BKR No. 8
Banjarmasin, SN 06183";+62-0285-112-0023;1,64304E+15;6183;10;4;Sumatera Barat, 07-06-1987;36;Cerai mati;laki-laki;sms or WA;4;22800000;28200000;20103;81;1
Gary Cabrera MD;"Gg. Jakarta No. 9
Dumai, NT 16276";+62 (0089) 779-4016;1,97556E+15;16276;17;8;Maluku, 27-05-1992;31;Menikah;laki-laki;sms or WA;12;9600000;10700000;94654;90;3
Dr. Lisa Martinez;"Gang Suniaraja No. 1
Blitar, Banten 08367";+62 (13) 730 8274;2,84179E+15;8367;20;6;Nusa Tenggara Timur, 09-03-1998;25;Menikah;laki-laki;sms or WA;7;8200000;59800000;50976;14;4
Brittany Little;"Gang Rawamangun No. 3
Batam, RI 34230";+62-0182-772-1287;3,92029E+15;34230;7;13;Riau, 06-03-1996;27;Cerai mati;perempuan;sms or WA;19;15100000;132800000;181701;11;0
Karl Rose;"Gg. Cihampelas No. 1
Sorong, JK 03229";+62 (0358) 824-2929;1,46257E+15;3229;20;7;Maluku, 27-06-1982;41;Belum menikah;perempuan;sms or WA;5;7400000;13400000;56249;55;3
Nicole Curtis;"Jl. Gegerkalong Hilir No. 67
Kota Administrasi Jakarta Barat, NT 19288";+62-0206-437-0833;2,94315E+15;19288;14;18;Aceh, 09-04-1962;61;Cerai mati;perempuan;sms or WA;19;13900000;17100000;171022;81;3
Kimberly Finley;"Jalan W.R. Supratman No. 531
Bitung, SU 59334";+62-302-381-3476;6,44458E+15;59334;6;16;Kepulauan Bangka Belitung, 09-02-1988;35;Cerai mati;perempuan;sms or WA;6;32800000;50300000;50623;65;4
Krystal Torres;"Jalan Ciumbuleuit No. 80
Prabumulih, Maluku Utara 94460";+62-284-914-3235;8,53231E+15;94460;8;12;Jawa Timur, 08-03-1971;52;Cerai hidup;perempuan;sms or WA;18;148800000;156100000;177580;95;3
Pamela Frost;"Jl. Antapani Lama No. 9
Jayapura, Sulawesi Utara 68712";+62-024-682-5185;1,17833E+15;68712;17;7;Kalimantan Timur, 24-11-1966;57;Cerai hidup;laki-laki;surat panggilan;26;19500000;28000000;305940;70;7
Samantha Boyd;"Jl. Rajawali Timur No. 366
Kota Administrasi Jakarta Barat, Jawa Barat 20154";+62-648-122-0999;8,55317E+15;20154;2;15;Nusa Tenggara Timur, 14-05-1981;42;Belum menikah;perempuan;surat panggilan;20;11500000;53500000;212787;21;7
Ms. Kristina King;"Jl. Pacuan Kuda No. 497
Blitar, Papua Barat 62913";+62 (816) 168 7175;2,97891E+15;62913;17;6;Gorontalo, 26-01-1997;26;Belum menikah;perempuan;surat panggilan;20;36000000;193000000;223241;19;7
April Riggs;"Gg. Cihampelas No. 912
Pangkalpinang, Kepulauan Riau 13921";+62 (0246) 084 3802;4,60477E+15;13921;14;5;DKI Jakarta, 14-08-1962;61;Cerai mati;perempuan;surat panggilan;37;92000000;101500000;715612;91;8
Charles Sanchez DVM;"Gang Sadang Serang No. 00
Kota Administrasi Jakarta Timur, BA 99893";+62 (0806) 987 3942;1,13749E+15;99893;3;18;Kalimantan Selatan, 06-04-1961;62;Cerai hidup;perempuan;surat panggilan;22;43500000;173000000;372781;25;8
Kimberly Brown;"Gang Jend. A. Yani No. 79
Banjarbaru, SB 98672";+62 (770) 509-2832;2,68825E+15;98672;5;2;Riau, 25-05-1966;57;Menikah;laki-laki;surat panggilan;31;118000000;443500000;476239;27;8
Don Hayes;"Gg. Dr. Djunjunan No. 3
Madiun, Riau 40416";+62 (0329) 685-7208;3,54479E+15;40416;9;4;Jawa Tengah, 14-01-1974;49;Menikah;perempuan;surat panggilan;20;21500000;63000000;291409;34;7
Melinda Taylor;"Jl. Dipatiukur No. 764
Magelang, Sulawesi Utara 85863";+62-645-198-0765;9,58258E+15;85863;16;14;DKI Jakarta, 22-08-1981;42;Menikah;perempuan;surat panggilan;26;233500000;344000000;400796;68;7
Tanya Diaz;"Gg. Ahmad Dahlan No. 855
Payakumbuh, Maluku Utara 97397";+62 (086) 042-2593;9,11338E+15;97397;16;2;Papua Barat, 08-05-1963;60;Belum menikah;laki-laki;surat panggilan;36;112500000;278500000;424520;40;8
Thomas Murray;"Jalan S. Parman No. 82
Probolinggo, DI Yogyakarta 61055";+62 (673) 274-2053;5,17923E+15;61055;18;18;Gorontalo, 28-09-1971;52;Belum menikah;perempuan;surat panggilan;39;130500000;502500000;589316;26;7
Allison Gomez;"Gang Suryakencana No. 23
Ambon, Jawa Barat 30010";+62 (0744) 012 3961;9,00311E+15;30010;7;6;DI Yogyakarta, 24-03-1984;39;Menikah;laki-laki;surat panggilan;39;66000000;146500000;506989;45;6
Andre Gonzalez;"Jalan HOS. Cokroaminoto No. 0
Lhokseumawe, SG 17357";+62 (05) 811-6982;9,7098E+15;17357;20;13;Jawa Barat, 05-12-1993;30;Cerai mati;laki-laki;surat panggilan;26;114500000;238500000;479849;48;6
Kathleen Weiss;"Gang Joyoboyo No. 12
Gorontalo, KU 80899";+62 (23) 580 7931;1,38735E+15;80899;15;13;Gorontalo, 07-06-1974;49;Cerai mati;perempuan;surat panggilan;29;212500000;361000000;454687;59;7
Michael Parker;"Jalan Siliwangi No. 512
Bukittinggi, Sulawesi Tenggara 93912";+62 (0537) 175 6446;4,8465E+15;93912;15;8;Aceh, 22-04-1984;39;Menikah;laki-laki;surat panggilan;27;37000000;73500000;505332;50;8
Jordan Sanders;"Gg. Lembong No. 550
Bima, RI 71203";+62 (795) 185-2179;4,13401E+15;71203;2;14;Bengkulu, 28-03-1982;41;Belum menikah;perempuan;surat panggilan;32;80500000;125000000;620829;64;6
David Hernandez;"Jl. Suniaraja No. 5
Malang, Kepulauan Riau 10943";+62 (0417) 476 9303;1,68965E+15;10943;19;17;Banten, 11-12-1978;45;Cerai mati;perempuan;surat panggilan;31;32500000;407500000;454016;8;9
Jamie Green;"Gg. Kutai No. 915
Kota Administrasi Jakarta Pusat, Riau 51981";+62 (35) 892-0563;5,22088E+15;51981;9;5;Sumatera Utara, 11-08-1996;27;Menikah;perempuan;surat panggilan;23;66000000;333000000;463397;20;8
Paula Cowan;"Jalan Kapten Muslihat No. 8
Pariaman, Sumatera Selatan 43530";+62-672-535-8359;6,94996E+15;43530;20;15;Sumatera Utara, 26-01-1990;33;Cerai hidup;laki-laki;surat panggilan;39;140500000;203500000;789437;69;9
Elizabeth Perkins;"Gg. Indragiri No. 780
Pangkalpinang, SU 64094";+62 (0025) 016-8729;9,58705E+15;64094;10;18;Sumatera Selatan, 14-06-1968;55;Menikah;laki-laki;surat panggilan;38;24500000;230000000;630008;11;7
Michelle Davidson;"Gang Jamika No. 14
Bitung, Kalimantan Barat 88451";+62 (001) 230 4048;3,22279E+15;88451;14;7;Aceh, 02-10-1979;44;Cerai hidup;laki-laki;surat panggilan;34;213000000;349500000;392007;61;8
Kelsey Stewart;"Gg. Asia Afrika No. 483
Padang Sidempuan, SS 56589";+62-071-271-5627;3,10934E+15;56589;20;5;Bali, 21-12-1983;40;Belum menikah;laki-laki;surat panggilan;26;94500000;297000000;424380;32;9
Debbie King;"Gang Otto Iskandardinata No. 646
Kendari, KI 40031";+62 (34) 114 6661;1,25563E+15;40031;7;6;Papua Barat, 10-04-1976;47;Menikah;laki-laki;surat panggilan;39;143000000;236500000;680318;60;9
Joshua Melton;"Gang Gedebage Selatan No. 7
Serang, Kalimantan Utara 60751";+62-0957-121-2272;7,61322E+15;60751;6;8;Gorontalo, 27-10-1977;46;Cerai hidup;perempuan;surat panggilan;28;61500000;81000000;522060;76;9
Bradley Davenport;"Jalan Dr. Djunjunan No. 36
Mataram, KU 86088";+62 (0329) 399 5359;1,4259E+15;86088;9;3;Papua Barat, 22-08-1970;53;Belum menikah;perempuan;surat panggilan;27;147000000;332500000;374481;44;6
Kayla Beck;"Gg. W.R. Supratman No. 9
Tidore Kepulauan, SB 71775";+62 (47) 843-4929;6,32747E+15;71775;2;14;Lampung, 29-06-1993;30;Belum menikah;perempuan;surat panggilan;31;119000000;334500000;382790;36;9
Kelly Johnson;"Gang Rawamangun No. 3
Binjai, JI 25091";+62 (047) 280-8590;3,51104E+15;25091;8;1;Sumatera Utara, 26-09-1997;26;Cerai mati;laki-laki;surat panggilan;30;58500000;448000000;352756;13;8
David Davis;"Gang Indragiri No. 50
Kediri, DKI Jakarta 86947";+62-073-601-3053;5,20752E+15;86947;20;16;Riau, 31-05-1996;27;Cerai hidup;perempuan;surat panggilan;23;162500000;309500000;343271;53;6
Aaron Smith;"Jalan Dipatiukur No. 420
Magelang, SN 58899";+62-780-896-5957;7,3343E+15;58899;9;13;Sulawesi Tenggara, 22-01-1968;55;Cerai mati;perempuan;surat panggilan;23;12000000;135500000;247240;9;6
Amy Garcia;"Jalan Joyoboyo No. 148
Bau-Bau, Kalimantan Timur 13751";+62 (764) 527-8426;6,39697E+15;13751;7;10;Kalimantan Tengah, 27-09-1981;42;Menikah;perempuan;surat panggilan;33;231500000;275500000;537095;84;8
Tiffany Reynolds;"Gg. Rumah Sakit No. 08
Ambon, KI 87852";+62-69-835-6818;1,38151E+15;87852;17;2;Lampung, 08-02-1987;36;Menikah;perempuan;surat panggilan;38;217500000;241500000;479417;90;6
Timothy Reyes;"Jalan R.E Martadinata No. 2
Kota Administrasi Jakarta Utara, Kalimantan Utara 54795";+62 (0107) 231 4943;9,88718E+15;54795;10;4;Banten, 15-11-1984;39;Cerai hidup;laki-laki;surat panggilan;35;95500000;522000000;363815;18;9
David Riddle;"Jl. M.H Thamrin No. 8
Dumai, NT 18181";+62-42-443-9958;8,21675E+15;18181;9;19;Maluku Utara, 04-10-1980;43;Cerai hidup;perempuan;surat panggilan;29;34000000;35000000;533067;97;6
Donna Valenzuela;"Gg. Sukabumi No. 76
Tanjungpinang, GO 41880";+62-57-262-4548;4,31274E+15;41880;3;20;Jawa Barat, 23-01-1968;55;Belum menikah;perempuan;surat panggilan;37;27000000;175500000;485590;15;6
Matthew Reynolds;"Jl. Yos Sudarso No. 73
Banjar, NB 90211";+62 (021) 090-8086;8,09351E+15;90211;11;8;Sulawesi Tengah, 30-03-1987;36;Cerai hidup;laki-laki;surat panggilan;20;167000000;167000000;352469;100;8
Heather Lopez;"Jl. Suryakencana No. 5
Palembang, PA 41094";+62 (061) 823-0464;9,53696E+15;41094;9;13;Aceh, 17-05-1975;48;Menikah;perempuan;surat panggilan;24;56500000;213000000;435023;27;6
John Nelson;"Gg. Kutai No. 277
Purwokerto, Kalimantan Barat 76689";+62 (60) 156 1940;5,83721E+15;76689;3;20;Jawa Barat, 12-12-1981;42;Cerai mati;perempuan;surat panggilan;25;76500000;329500000;451436;23;6
Kenneth Thomas;"Gang Lembong No. 507
Payakumbuh, Kepulauan Bangka Belitung 38401";+62 (315) 500-2937;8,32131E+15;38401;7;11;Sulawesi Selatan, 30-05-1964;59;Belum menikah;laki-laki;surat panggilan;27;29000000;98500000;510398;29;8
Antonio Newman;"Jl. Laswi No. 23
Cilegon, KR 90007";+62 (002) 832-3313;6,88673E+15;90007;19;17;DKI Jakarta, 02-10-1987;36;Belum menikah;laki-laki;surat panggilan;35;158500000;448000000;362423;35;6
Stephanie Dennis;"Jalan Pelajar Pejuang No. 2
Dumai, Kalimantan Tengah 06298";+62 (019) 966 2806;4,00426E+15;6298;4;5;Kalimantan Tengah, 15-06-1981;42;Belum menikah;perempuan;surat panggilan;23;18500000;60500000;363675;31;7
Patricia Williams;"Jalan Cikutra Barat No. 57
Sorong, BA 33651";+62 (0989) 381 6613;9,89727E+15;33651;14;5;Sumatera Selatan, 13-04-1973;50;Belum menikah;laki-laki;surat panggilan;25;105000000;132000000;446068;80;9
Laura Perez;"Jalan Dr. Djunjunan No. 5
Banjarmasin, Sulawesi Tengah 33189";+62-026-214-8557;8,94944E+15;33189;6;7;Jawa Timur, 20-01-1978;45;Belum menikah;perempuan;surat panggilan;23;20500000;47000000;466217;44;6
Susan Rogers;"Jl. Rumah Sakit No. 556
Tual, Jambi 56209";+62 (307) 692-0486;5,23837E+15;56209;5;4;Kalimantan Selatan, 22-10-1998;25;Cerai hidup;perempuan;surat panggilan;32;89000000;96500000;398140;92;6
Kevin Wright;"Gg. Tubagus Ismail No. 43
Padang Sidempuan, YO 51944";+62-195-714-7721;1,81369E+15;51944;15;3;Kalimantan Utara, 29-03-1974;49;Menikah;perempuan;surat panggilan;20;17500000;100500000;271033;17;7
Daniel Smith;"Jl. Cempaka No. 670
Tanjungpinang, PA 25191";+62-721-269-7447;9,99117E+15;25191;20;13;Sulawesi Tengah, 27-08-1960;63;Belum menikah;laki-laki;surat panggilan;28;129500000;220000000;375997;59;6
Charles Howe DDS;"Jl. HOS. Cokroaminoto No. 7
Madiun, SU 88664";+62 (071) 413 7684;5,31108E+15;88664;12;6;Sulawesi Tenggara, 22-06-1974;49;Belum menikah;laki-laki;surat panggilan;27;53000000;62000000;508498;85;9
Angela Mccormick;"Jl. Suryakencana No. 514
Tangerang, JK 21875";+62 (0718) 933 8913;5,21072E+15;21875;19;2;Sulawesi Tengah, 27-03-1977;46;Belum menikah;perempuan;surat panggilan;26;31500000;56000000;523065;56;9
Nicholas Anderson;"Jalan Kutai No. 994
Purwokerto, Riau 87372";+62-010-864-2062;6,02387E+15;87372;17;20;Aceh, 29-10-1970;53;Cerai hidup;laki-laki;surat panggilan;30;317000000;446000000;345567;71;9
Louis Hammond;"Jalan Otto Iskandardinata No. 365
Malang, SR 32592";+62 (25) 701 5132;9,08722E+15;32592;14;11;Jambi, 16-07-1990;33;Cerai mati;perempuan;surat panggilan;22;54500000;86000000;446887;63;7
Brian Greene;"Jalan Laswi No. 234
Bontang, Kalimantan Utara 81184";+62 (057) 216 1585;9,75446E+15;81184;5;13;Kalimantan Timur, 18-01-2000;23;Belum menikah;laki-laki;surat panggilan;23;19500000;108500000;375757;18;6
Jason Sandoval;"Gang BKR No. 494
Mataram, JA 45646";+62 (0264) 107-1385;2,94403E+15;45646;7;18;Sulawesi Tenggara, 09-07-1985;38;Cerai hidup;perempuan;surat panggilan;31;151000000;202500000;340734;75;7
James Obrien;"Gang Pasir Koja No. 34
Pariaman, KB 41900";+62-33-005-5284;7,5588E+15;41900;7;7;Kalimantan Tengah, 07-09-1978;45;Cerai mati;perempuan;surat panggilan;27;15500000;30000000;306189;52;7
Paul Moore;"Jalan Bangka Raya No. 1
Ternate, JI 48352";+62-24-188-4269;3,06401E+15;48352;6;11;Nusa Tenggara Timur, 15-11-1961;62;Menikah;laki-laki;surat panggilan;25;299000000;325000000;339020;92;8
