collector_nik,collector_name,collector_birth_place,collector_age,collector_gender,collector_education_level,collector_address,collector_latitude,collector_longitude,collector_zip,collector_rt,collector_rw,collector_workday,collector_worktime
3831844550100518,Jeffrey White,"Kalimantan Selatan, 19-03-1982",41,perempuan,SMA,"Dusun Batukaras, Desa Batukaras, Pangandaran, Jawa Barat, 46595, Indonesia",-7.769772248,108.5020021,4800,9,19,Senin-Jumat,Siang-Malam
1233875419766131,Andrew Tyler,"Lampung, 31-08-1960",63,laki-laki,S1,"Sambimaya, Kabupaten Indramayu, Jawa Barat, Indonesia",-6.43183616,108.3721864,99951,11,20,Senin-Minggu,Sore-Malam
9287330340779671,Clarence Hughes,"Aceh, 27-02-1970",53,perempuan,S1,"Cigunungherang, Cianjur, Jawa Barat, Jawa, Indonesia",-6.63399246,107.2547543,30704,18,15,Senin-Minggu,Sore-Malam
1272162879103143,Brian Barnes,"Bengkulu, 06-04-1964",59,perempuan,SMA,"Jalan Mekar Galih - Cinangsih, Mekargalih, Cianjur, Jawa Barat, Indonesia",-6.6627881,107.2038185,42337,1,14,Senin-Jumat,Sore-Malam
7077433209298717,Brittany Horton,"Maluku Utara, 10-11-1992",31,perempuan,S1,Address not found,-7.837079784,106.3947118,4539,2,8,Senin-Minggu,Pagi-Siang
1682828151455844,Amy Jackson,"Gorontalo, 23-03-2000",23,perempuan,D4,"Somosari, Lamongan, Jawa Timur, Indonesia",-7.023374803,112.3685589,84059,20,4,Senin-Jumat,Siang-Malam
4220089644724951,Jennifer Stanley,"Lampung, 13-04-1989",34,perempuan,SMA,"Banten, Jawa, Indonesia",-7.39582782,105.949596,77550,12,18,Senin-Jumat,Sore-Malam
4226951782369134,Ashley Marshall,"Kalimantan Barat, 06-08-1961",62,laki-laki,S1,"Sekeper, Duren, Semarang, Jawa Tengah, Jawa, 50123, Indonesia",-7.220984597,110.2629787,97220,5,4,Senin-Jumat,Siang-Malam
2078497457592788,Maria Jackson,"Bali, 01-12-1968",55,laki-laki,SMA,"Buara, Brebes, Jawa Tengah, Jawa, Indonesia",-7.021057347,108.9073907,74976,8,16,Senin-Jumat,Siang-Malam
1593682300072349,Lauren Jensen,"Bengkulu, 27-01-1975",48,perempuan,S1,"Jatogopabrik, Jolotigodesa, Pekalongan, Jawa Tengah, Jawa, Indonesia",-7.083020119,109.7306967,79584,16,20,Senin-Jumat,Pagi-Siang
9935197148126287,Alexa Sanchez,"Kalimantan Tengah, 24-06-1993",30,laki-laki,SMA,"Rawaapu, Cilacap, Jawa Tengah, Jawa, Indonesia",-7.653978101,108.7795051,72950,13,19,Senin-Jumat,Pagi-Sore
5252974636182513,Joseph Torres,"Papua, 03-10-1998",25,laki-laki,S1,"Paripurno, Magelang, Jawa Tengah, Jawa, 56162, Indonesia",-7.620442216,110.1686511,55476,20,11,Senin-Jumat,Pagi-Sore
3823501746262114,Alexis Williams,"Papua, 24-02-1984",39,perempuan,S1,"Jawa Tengah, Jawa, Indonesia",-6.626703453,111.7274365,98868,10,10,Senin-Jumat,Pagi-Sore
8674743240924606,Taylor Long,"Kalimantan Barat, 14-09-1991",32,laki-laki,S1,Address not found,-7.75603174,106.7074682,60270,5,18,Senin-Jumat,Pagi-Sore
9860343218402912,Tammy Nguyen MD,"Lampung, 17-07-1962",61,perempuan,S1,Address not found,-7.882187668,106.5588978,80339,8,9,Senin-Jumat,Siang-Malam
5920371789461926,Stephanie Williams,"Sumatera Selatan, 30-07-1963",60,perempuan,SMA,"Jalan Baros, Jayaraksa, Sukabumi, Jawa Barat, 43168, Indonesia",-6.958070181,106.9328635,1657,2,9,Senin-Jumat,Pagi-Siang
1857014381109081,David Hicks,"Sumatera Utara, 28-11-1979",44,perempuan,S1,"Tegalega, Bogor, Jawa Barat, Indonesia",-6.471185001,106.5839455,37795,10,10,Senin-Jumat,Siang-Malam
2787554908543935,Paul Jimenez,"Riau, 17-02-2000",23,laki-laki,S1,Address not found,-7.801359664,106.3194473,54642,7,15,Senin-Jumat,Pagi-Siang
2700301126696294,Jason Vega,"Maluku Utara, 08-08-1989",34,laki-laki,S2,"Singget, Pucangan, Palang, Tuban, Jawa Timur, 62391, Indonesia",-6.944251979,112.1305902,28608,16,20,Senin-Jumat,Pagi-Siang
6.4264E+15,William Rivera III,"Jambi, 19-09-1985",38,perempuan,S1,"Jawa Barat, Jawa, Indonesia",-7.422133778,106.2652513,20120,4,3,Senin-Jumat,Pagi-Siang
5018405929075663,Phillip Reed,"Lampung, 18-08-1997",26,laki-laki,SMA,"Karangwungu, Klaten, Jawa Tengah, Jawa, 17468, Indonesia",-7.684111665,110.7316502,56569,9,11,Senin-Jumat,Pagi-Siang
8460756053846641,Anne Lowery,"Sulawesi Barat, 19-10-1977",46,laki-laki,S1,"Binangun, Cilacap, Jawa Tengah, Jawa, Indonesia",-7.746998721,109.2699673,65163,2,13,Senin-Minggu,Pagi-Siang
3593336899122331,Charles Arias,"Sulawesi Tenggara, 20-10-1969",54,perempuan,S1,"Karangtengah, Kebumen, Jawa Tengah, Indonesia",-7.576739304,109.5966881,45658,5,15,Senin-Jumat,Siang-Malam
4448393344941295,Tina Thompson,"Jawa Timur, 30-09-1963",60,laki-laki,SMA,"Cacaban, Kendal, Jawa Tengah, Jawa, Indonesia",-7.061412196,110.1922422,79188,7,8,Senin-Minggu,Sore-Malam
3969754875695563,Jeanette Carter,"Jambi, 20-03-1977",46,laki-laki,S1,"Perumnas Sektor 1, Parung Panjang, Bogor, Jawa Barat, Indonesia",-6.350918771,106.5572089,82175,16,2,Senin-Jumat,Siang-Malam
3.83783E+15,Maxwell Martinez,"Jawa Barat, 19-07-1981",42,laki-laki,S1,Address not found,-7.65174201,105.8992663,16743,12,19,Senin-Jumat,Pagi-Sore
8218671021726788,Michelle Carpenter,"Kalimantan Selatan, 23-03-1999",24,laki-laki,S2,"Bangkleyan, Blora, Jawa Tengah, Indonesia",-7.261928907,111.2478128,57837,10,11,Senin-Jumat,Siang-Malam
4240164059333498,Belinda Hamilton,"Maluku Utara, 06-12-1994",29,laki-laki,D4,"Ciawi, Tasikmalaya, Jawa Barat, Indonesia",-7.674078464,108.1575661,87334,9,15,Senin-Jumat,Sore-Malam
2052582548011888,Maurice David,"Nusa Tenggara Barat, 01-11-1988",35,laki-laki,S1,"Gambir, Kedungpilang, Boyolali, Jawa Tengah, Jawa, 57382, Indonesia",-7.309261184,110.6318868,54867,3,8,Senin-Jumat,Pagi-Sore
3.3097E+15,Christopher Page,"Kalimantan Tengah, 31-05-1986",37,perempuan,D4,"Krasak, Tridonorejo, Demak, Jawa Tengah, Jawa, 59411, Indonesia",-6.826983146,110.575696,39220,20,4,Senin-Jumat,Sore-Malam
7915205615819895,Steven Alvarado,"Maluku Utara, 15-06-1997",26,laki-laki,S1,Address not found,-7.819298875,106.1334147,53315,3,14,Senin-Jumat,Pagi-Siang
6.4848E+15,Sherry Ramirez,"Kalimantan Tengah, 14-09-1998",25,laki-laki,S2,"Linggarjati, Garut, Jawa Barat, Indonesia",-7.35383596,107.6519983,25919,18,20,Senin-Jumat,Sore-Malam
6250450197878363,Dana Mitchell,"Sumatera Barat, 18-04-1971",52,perempuan,SMA,"Jawa Tengah, Jawa, Indonesia",-6.349617117,110.2585115,7622,17,5,Senin-Jumat,Pagi-Siang
4198885864035984,Joe Good,"Maluku, 15-03-1982",41,laki-laki,S1,"Villa Carita, Puri Gading, Jatiluhur, Kota Bekasi, Jawa Barat, 17426, Indonesia",-6.319990559,106.9406554,70728,7,13,Senin-Jumat,Siang-Malam
6266983748483711,Stephen Lee,"Kalimantan Barat, 30-03-1968",55,perempuan,S1,"Kedawung, Batang, Jawa Tengah, Jawa, Indonesia",-6.893768557,109.9535793,18302,9,17,Senin-Minggu,Sore-Malam
5931672242024229,Rebecca Cole,"Gorontalo, 16-11-1971",52,perempuan,D4,"Setu Sari, Klapanunggal, Bogor, Jawa Barat, 12630, Indonesia",-6.45697575,107.0040381,60930,16,16,Senin-Jumat,Pagi-Sore
6279572917399888,Amanda Cervantes,"Sulawesi Tenggara, 16-04-1984",39,laki-laki,S3,"Jawa Barat, Jawa, Indonesia",-7.65312577,107.2014338,86190,13,8,Senin-Jumat,Pagi-Sore
2186148392738495,Anthony Sloan,"Sumatera Barat, 17-11-1962",61,laki-laki,S1,"Jawa Barat, Jawa, Indonesia",-7.706749956,107.7041552,53706,10,17,Senin-Jumat,Pagi-Sore
8083723668523109,Christine Boyd,"Kalimantan Tengah, 29-12-1963",60,laki-laki,S1,"Suradadi, Tegal, Jawa Tengah, Jawa, Indonesia",-6.87450119,109.2617282,27637,5,13,Senin-Jumat,Sore-Malam
8625294309269653,William Rodriguez,"Bali, 31-07-1991",32,laki-laki,S1,"Sukarame, Bandung, Jawa Barat, Indonesia",-7.16528246,107.7314839,31200,9,9,Senin-Jumat,Pagi-Sore
3103770477604125,Christopher Washington,"DKI Jakarta, 13-12-1961",62,perempuan,S1,"Jawa Tengah, Jawa, Indonesia",-6.563613347,109.0462932,79816,19,2,Senin-Jumat,Pagi-Siang
3863411735209688,Samuel Douglas,"Maluku, 03-03-1964",59,perempuan,S1,"Wotgalih, Tegal, Jawa Tengah, Jawa, Indonesia",-6.988182071,109.2639612,93318,17,19,Senin-Minggu,Sore-Malam
4430014220122993,Elizabeth Fox,"Jawa Timur, 24-12-1998",25,laki-laki,SMA,Address not found,-7.972722293,107.9967171,72712,17,7,Senin-Jumat,Siang-Malam
6197423212556688,Emma Thomas DDS,"Kalimantan Selatan, 12-02-1992",31,perempuan,S2,"Jawa Tengah, Jawa, Indonesia",-6.364444184,111.4520921,74306,1,11,Senin-Jumat,Siang-Malam
9.99907E+15,Jacqueline Henson,"Sumatera Utara, 19-10-1982",41,laki-laki,S2,"Jalan Dalem Wirawangsa, Suka Menak, Margalaksana, Tasikmalaya, Jawa Barat, Jawa, 46184, Indonesia",-7.408678789,108.1731206,80408,1,1,Senin-Jumat,Pagi-Sore
6457894918865236,Jonathan Howard,"Jambi, 12-06-1983",40,laki-laki,S1,"Gabah, Kauman, Jepara, Jawa Tengah, Jawa, 59554, Indonesia",-6.69223471,110.6550127,74036,13,4,Senin-Jumat,Pagi-Sore
4768621069723807,Sarah May,"Nusa Tenggara Barat, 14-03-1971",52,laki-laki,SMA,"Kaligayam, Tegal, Jawa Tengah, Jawa, 52463, Indonesia",-7.14352557,109.0100859,30176,7,9,Sabtu-Minggu,Pagi-Sore
2182668453856316,Jacqueline Rose,"Kepulauan Bangka Belitung, 30-01-1987",36,perempuan,S1,"Blora, Jawa Tengah, Jawa, Indonesia",-7.109968607,111.2598811,90759,17,4,Senin-Minggu,Sore-Malam
5921256880926301,Stacey Morrow,"Bali, 28-08-1963",60,laki-laki,S1,"Kencana Sari, Bangunrejo, Kendal, Jawa Tengah, Jawa, 51314, Indonesia",-6.906040921,110.1866179,49438,11,8,Senin-Jumat,Pagi-Sore
5564804908869279,Louis Porter,"Lampung, 15-06-1960",63,laki-laki,S1,"Cianjur, Jawa Barat, 43266, Indonesia",-7.199242552,107.0549844,73014,17,14,Senin-Minggu,Siang-Malam
3071031858976271,Kathleen Davis,"Aceh, 29-05-1998",25,laki-laki,S1,"Jayapura, Cianjur, Jawa Barat, Indonesia",-7.511496087,107.3048328,74934,10,9,Senin-Jumat,Pagi-Siang
8554823497754611,Margaret Henry,"Kepulauan Bangka Belitung, 30-07-1993",30,perempuan,SMA,"Jemasih, Brebes, Jawa Tengah, Jawa, Indonesia",-7.112103152,108.902486,87966,19,10,Senin-Jumat,Sore-Malam
2794455907727453,Michele Navarro,"Papua, 15-02-1961",62,laki-laki,S1,"Kumpulrejo, Tuban, Jawa Timur, Indonesia",-6.931946525,111.7352204,24232,6,14,Senin-Jumat,Sore-Malam
4795572383293595,Joel Andrade,"Nusa Tenggara Barat, 16-04-1970",53,laki-laki,S1,"Sampit, Jepalo, Pati, Jawa Tengah, Jawa, Indonesia",-6.600329971,110.9471809,66746,14,3,Senin-Jumat,Sore-Malam
2229641792807011,Sarah Long,"Sulawesi Selatan, 13-12-1975",48,laki-laki,SMA,"Jawa Tengah, Jawa, Indonesia",-6.514162104,109.2427591,1045,2,8,Senin-Jumat,Siang-Malam
9421735375687639,Chad Wright,"Jambi, 19-06-1971",52,perempuan,S1,"Jalan Kalasan I, Cibeureum, Cimahi, Jawa Barat, 40535, Indonesia",-6.916255056,107.5580392,68492,2,17,Senin-Jumat,Sore-Malam
7343030210707655,Todd Mendez,"Gorontalo, 01-06-1978",45,laki-laki,S3,Address not found,-7.99829662,106.7524463,80846,17,1,Senin-Jumat,Pagi-Sore
4505512388355857,Stephen Stokes,"Jawa Timur, 11-04-1972",51,perempuan,S1,"Sulursari, Grobogan, Jawa Tengah, Jawa, 58384, Indonesia",-7.182810809,111.2231687,95415,12,17,Senin-Jumat,Sore-Malam
2.59597E+15,Sydney Nelson,"Jawa Barat, 07-11-1993",30,laki-laki,SMA,Address not found,-7.747200208,105.930339,20042,13,7,Senin-Jumat,Siang-Malam
5407309847179264,Andrew Hamilton MD,"Bali, 17-12-1973",50,perempuan,S1,"Pabuaran, Jawa Barat, Indonesia",-6.412990867,107.5803734,83359,14,4,Senin-Jumat,Siang-Malam
8769465777326167,Richard Charles,"Sulawesi Selatan, 01-07-1964",59,laki-laki,S1,"Cikapinis, Tasikmalaya, Jawa Barat, Indonesia",-7.668249127,108.1061856,4739,5,19,Senin-Jumat,Sore-Malam
2593416490732441,Charles Hall,"Sulawesi Utara, 10-02-1985",38,laki-laki,S1,"Jawa Tengah, Jawa, Indonesia",-6.40185307,110.817262,66651,20,17,Senin-Jumat,Pagi-Sore
8428638305917461,Edwin Perry,"Sulawesi Selatan, 26-09-1998",25,laki-laki,S1,"Sidareja, Purbalingga, Jawa Tengah, Jawa, 53392, Indonesia",-7.350199307,109.4406759,49853,9,12,Senin-Jumat,Sore-Malam
7930127484100785,Jordan Reid,"Kalimantan Tengah, 11-02-1985",38,perempuan,S1,"Cikangkung, Sukabumi, Jawa Barat, Indonesia",-7.323039562,106.4838711,26269,16,1,Senin-Minggu,Siang-Malam
4855914522548241,Mary Duran,"Kalimantan Timur, 12-10-1979",44,laki-laki,S1,"Jawa Tengah, Jawa, Indonesia",-6.799591178,109.9183398,32797,11,13,Senin-Jumat,Pagi-Sore
9745790829528639,Ethan Fuller,"Banten, 28-03-1991",32,perempuan,SMA,"Dompyong, Trenggalek, Jawa Timur, Indonesia",-7.923274554,111.7398001,18581,9,20,Senin-Jumat,Sore-Malam
2680222044677999,Vickie Reid,"Aceh, 12-06-1966",57,perempuan,S3,"Sukarasa, Garut, Jawa Barat, Indonesia",-7.028089356,108.038539,14023,6,10,Senin-Jumat,Pagi-Sore
2135936008075826,Elizabeth Sullivan,"Gorontalo, 31-03-1983",40,laki-laki,S1,"Rowo, Temanggung, Jawa Tengah, Jawa, 56281, Indonesia",-7.235683451,110.1689554,2141,4,13,Senin-Jumat,Pagi-Siang
1555119870221233,Dale Alexander,"Sulawesi Selatan, 15-02-1968",55,perempuan,S1,"Banten, Jawa, Indonesia",-7.321306716,105.9326201,35777,20,7,Senin-Jumat,Sore-Malam
1776956716109395,Mrs. Bianca Houston,"Riau, 28-12-1988",35,laki-laki,S1,Address not found,-7.703306878,106.4638708,39873,3,15,Senin-Jumat,Siang-Malam
6271563141009027,Steven Brennan,"Papua Barat, 16-04-1979",44,laki-laki,SMA,"Nungkulan, Wonogiri, Jawa Tengah, Jawa, 57682, Indonesia",-7.80984856,111.0715767,6913,14,6,Senin-Minggu,Siang-Malam
3980394397014507,Sharon Hart,"Kepulauan Riau, 07-02-1960",63,perempuan,S1,"Giyombong, Purworejo, Jawa Tengah, Jawa, Indonesia",-7.515076717,109.9073271,62253,14,13,Senin-Jumat,Pagi-Sore
2565640777256677,Amanda Hamilton,"Sulawesi Selatan, 10-04-1962",61,perempuan,S1,"Jalan Lingkar Timur Kuningan, Padarek, Jawa Barat, 45514, Indonesia",-6.95545125,108.5122068,9957,4,5,Senin-Jumat,Pagi-Siang
5007113418812447,Sarah Williams,"Sulawesi Utara, 27-12-1960",63,perempuan,SMA,"Astanajapura, Jawa Barat, 45181, Indonesia",-6.71118409,108.6120432,68938,8,13,Senin-Jumat,Pagi-Sore
9679164465161101,Isaac Dunn,"Sulawesi Tengah, 12-02-1968",55,perempuan,S1,"Jawa Tengah, Jawa, Indonesia",-6.363905549,109.4624161,65676,19,7,Senin-Minggu,Siang-Malam
9320081199664864,Christina Dunn,"Kalimantan Utara, 24-11-1997",26,laki-laki,S1,"Banyumas, Jawa Tengah, Jawa, Indonesia",-7.449337784,108.9910391,83828,1,14,Senin-Jumat,Pagi-Siang
4647152139136223,Joshua Baxter,"Maluku Utara, 06-05-1990",33,perempuan,S2,"Bogor Selatan, Bogor, Jawa Barat, Jawa, 16740, Indonesia",-6.67406737,106.8218191,31036,16,13,Senin-Minggu,Sore-Malam
8486713574858574,Elizabeth Juarez,"Papua Barat, 09-10-1963",60,perempuan,S1,"Kandangsemangkon, Lamongan, Jawa Timur, Indonesia",-6.878794227,112.3058656,57995,11,18,Senin-Jumat,Pagi-Siang
9.06815E+15,Danielle Hamilton,"Kalimantan Selatan, 19-11-1970",53,perempuan,S2,"Pulokulon, Grobogan, Jawa Tengah, Jawa, Indonesia",-7.120460055,111.0271889,56631,9,4,Senin-Minggu,Pagi-Sore
9603848819670585,Stephen Hunter,"Kalimantan Selatan, 18-07-1998",25,laki-laki,SMA,"Sirnasari, Sukabumi, Jawa Barat, Indonesia",-7.126453013,106.7727116,39837,18,19,Senin-Jumat,Pagi-Siang
9246265120403295,Lucas Clements,"Nusa Tenggara Barat, 30-01-1988",35,laki-laki,S1,"Tol Palimanan - Kanci, Karangasem, Jawa Barat, 45154, Indonesia",-6.69816054,108.4815969,51251,1,19,Senin-Minggu,Pagi-Sore
8904517041367906,Travis Wilkerson,"Sulawesi Utara, 27-02-1967",56,laki-laki,S1,"Bantar Karet, Desa Bantarkaret, Kecamatan Nanggung, Bogor, Jawa Barat, Indonesia",-6.709495999,106.5562648,61910,9,8,Senin-Jumat,Sore-Malam
5947453843541513,Sheena Hamilton,"Jawa Barat, 30-04-1999",24,perempuan,SMA,"Muncangela, Jawa Barat, 45573, Indonesia",-6.963921428,108.5499785,10735,11,8,Senin-Jumat,Sore-Malam
8396290383626943,Angela Johnson,"Kalimantan Timur, 08-12-1981",42,laki-laki,S1,"Jawa Barat, Jawa, Indonesia",-7.69388179,106.8664063,32827,1,17,Senin-Jumat,Sore-Malam
5986526454993538,Melinda Beltran,"Sulawesi Selatan, 12-02-1998",25,laki-laki,SMA,"Mulyorejo, Demak, Jawa Tengah, Jawa, 59511, Indonesia",-6.847598205,110.6988759,15075,4,20,Senin-Jumat,Pagi-Sore
4267645214953594,Casey Schmidt,"Kalimantan Timur, 23-10-1982",41,laki-laki,S1,"Kalipucang, Kebunagung, Semarang, Jawa Tengah, Jawa, 50663, Indonesia",-7.268484684,110.3213154,47284,7,13,Senin-Jumat,Sore-Malam
1679685245076717,Victoria Blair,"Banten, 02-10-1969",54,perempuan,SMA,"Cikelet, Garut, Jawa Barat, 44175, Indonesia",-7.584636394,107.6965967,79219,13,14,Senin-Jumat,Sore-Malam
1778812068371137,Richard Watkins,"Maluku Utara, 05-10-1991",32,perempuan,S1,"Ngambon, Bojonegoro, Jawa Timur, Jawa, Indonesia",-7.359292281,111.7134387,33094,4,10,Senin-Jumat,Siang-Malam
5178786658219663,Anthony Walter,"DI Yogyakarta, 13-08-1972",51,laki-laki,SMA,"Karanganyar, Tasikmalaya, Jawa Barat, 46181, Indonesia",-7.382179413,108.1800183,76526,16,7,Senin-Minggu,Siang-Malam
1692181972260788,Troy Dalton,"Banten, 27-05-2000",23,laki-laki,SMA,"Santosa, Bandung, Jawa Barat, Indonesia",-7.271837135,107.6352227,48156,1,20,Senin-Minggu,Siang-Malam
2648657856731173,Laura Oconnell,"Sulawesi Tengah, 09-11-1986",37,laki-laki,SMA,"Jawa Tengah, Jawa, Indonesia",-6.492177939,109.7800442,93394,11,2,Senin-Jumat,Pagi-Siang
6796725277905914,Tony Howard,"Sulawesi Tenggara, 12-01-1964",59,laki-laki,S1,"Sawarna, Lebak, Banten, Indonesia",-6.990202088,106.3296698,43171,13,8,Senin-Jumat,Siang-Malam
5920422513201762,Emily Ford,"Lampung, 01-07-1997",26,perempuan,S1,"Jawa Barat, Jawa, Indonesia",-7.698780344,107.4736269,42327,12,13,Senin-Jumat,Pagi-Siang
9631735842664573,Christine Zuniga,"Jambi, 25-01-1985",38,laki-laki,D4,"Jawa Timur, Jawa, Indonesia",-6.502064189,111.8872365,11802,9,5,Senin-Jumat,Siang-Malam
2542687820207791,Brenda Powers,"Kalimantan Timur, 13-11-1986",37,perempuan,SMA,"Jawa Barat, Jawa, Indonesia",-6.504365621,108.6275867,65640,12,6,Senin-Minggu,Pagi-Siang
9867504245483832,Lindsay Shannon,"Jambi, 18-01-1998",25,perempuan,SMA,"Cigemblong, Lebak, Banten, Indonesia",-6.706945737,106.1918631,97157,7,20,Senin-Jumat,Siang-Malam
2983936619851171,Austin Harper,"Jawa Tengah, 07-03-1977",46,laki-laki,S2,"Sluke, Rembang, Jawa Tengah, Jawa, Indonesia",-6.570788758,111.4910997,62247,17,14,Senin-Jumat,Sore-Malam
7567726170232835,Danielle Torres DDS,"Gorontalo, 21-03-1981",42,perempuan,S1,"Treck Tour Merapi, Kaliadem, Kepuhharjo, Cangkringan, Sleman, Daerah Istimewa Yogyakarta, Jawa, 55583, Indonesia",-7.584061484,110.4513586,19234,12,14,Senin-Jumat,Siang-Malam
1778953986351546,Virginia Drake,"DKI Jakarta, 17-04-1984",39,laki-laki,S1,"Sakurjaya, Sumedang, Jawa Barat, Indonesia",-6.712460344,108.0839426,75574,14,1,Senin-Jumat,Sore-Malam
4566188640159804,Edward Walters,"Kalimantan Timur, 11-05-1973",50,laki-laki,S1,"Pasir, Jawa Tengah, Indonesia",-7.789936433,109.4201707,33278,14,19,Senin-Minggu,Sore-Malam
6908966301962217,Scott Smith,"Sulawesi Selatan, 08-04-1964",59,laki-laki,S1,"Watuploso, Randusari, Wonogiri, Jawa Tengah, Jawa, 57694, Indonesia",-7.801655822,111.2103618,16678,10,3,Senin-Jumat,Pagi-Siang
2654795128268869,Willie Henson,"Papua Barat, 15-06-1986",37,perempuan,SMA,"Jawa Tengah, Jawa, Indonesia",-7.959238803,108.948668,64739,15,1,Senin-Jumat,Sore-Malam
8238718798130532,Jeff Williams,"Sumatera Barat, 29-07-1961",62,laki-laki,S1,"Kropak, Grobogan, Jawa Tengah, Jawa, 58181, Indonesia",-7.117238357,111.100709,69445,13,8,Senin-Jumat,Pagi-Sore
4905475285790234,Jeffrey Mccoy,"Aceh, 26-04-1994",29,perempuan,S1,"Jawa Barat, Jawa, Indonesia",-6.41758608,108.523686,17364,13,11,Senin-Jumat,Sore-Malam
2876526878782399,Zachary Russell,"Aceh, 21-12-1960",63,perempuan,SMA,"Grogol, Limo, Depok, Bogor, Jawa Barat, Jawa, 16515, Indonesia",-6.382811214,106.7840389,51101,18,18,Senin-Jumat,Pagi-Siang
2154382534198652,Reginald Davies,"Kalimantan Selatan, 15-05-1967",56,perempuan,SMA,"Padamukti, Garut, Jawa Barat, 44162, Indonesia",-7.252245023,107.8073162,5913,18,18,Senin-Jumat,Pagi-Siang
6250113882824715,Jonathan Ferguson,"Kalimantan Tengah, 21-12-1994",29,laki-laki,S1,"Randusanga Kulon, Brebes, Jawa Tengah, Jawa, 52218, Indonesia",-6.811000122,109.0954756,7268,12,3,Senin-Jumat,Siang-Malam
2269420082474589,Kelly Peterson,"Jawa Tengah, 16-05-1995",28,perempuan,S1,"Cianjur, Jawa Barat, 43265, Indonesia",-7.052852348,107.0002538,46694,11,7,Senin-Jumat,Siang-Malam
8909098142698635,Brittany Larson,"Kalimantan Tengah, 08-04-1991",32,laki-laki,SMA,"Pamekaran, Sumedang, Jawa Barat, 45361, Indonesia",-6.837114775,107.8528351,29194,8,3,Senin-Minggu,Pagi-Siang
2850416223635656,Brittany Morgan,"Kalimantan Barat, 20-09-1995",28,perempuan,SMA,"Kalisari, Blora, Jawa Tengah, Jawa, Indonesia",-7.144497501,111.4467671,50336,14,18,Senin-Jumat,Pagi-Siang
1855055859118707,Todd Lozano,"Sulawesi Tenggara, 16-02-1994",29,laki-laki,S1,"Sukabumi, Jawa Barat, Indonesia",-6.796382186,106.5842666,65045,13,11,Senin-Jumat,Pagi-Siang
5254441793108312,Ruth Perez,"Nusa Tenggara Barat, 16-02-1980",43,laki-laki,S2,"Purwasana, Banjarnegara, Jawa Tengah, Jawa, Indonesia",-7.317538806,109.60032,94199,9,3,Senin-Jumat,Pagi-Siang
1791319527657412,Leslie Lam,"Kalimantan Timur, 14-04-1966",57,laki-laki,S1,"Pedeslohor, Tegal, Jawa Tengah, Jawa, Indonesia",-6.955070427,109.0762171,1972,18,15,Senin-Minggu,Pagi-Siang
3848171175226862,Jacob Beck,"Sumatera Barat, 27-12-1974",49,laki-laki,S1,"Tlogotuwung, Blora, Jawa Tengah, Jawa, Indonesia",-7.294408369,111.3459673,20973,16,12,Senin-Jumat,Pagi-Sore
9835743442054278,Donna Clay,"Kalimantan Utara, 31-10-1971",52,perempuan,S2,"Banten, Jawa, Indonesia",-6.919881756,106.0296636,9863,13,15,Senin-Jumat,Sore-Malam
1.74795E+15,Timothy Liu,"Kalimantan Utara, 09-11-1981",42,laki-laki,S1,"Wargasari, Cianjur, Jawa Barat, Indonesia",-7.202713114,106.9976723,20242,5,15,Senin-Jumat,Sore-Malam
9599380541562487,Colleen Edwards,"Sumatera Barat, 10-04-1973",50,perempuan,S1,"Kadiseno, Kaping, Magelang, Jawa Tengah, Jawa, 56481, Indonesia",-7.509959046,110.3420633,19741,8,11,Senin-Jumat,Sore-Malam
8705235153231251,Melinda Bailey,"Kepulauan Bangka Belitung, 13-08-1988",35,perempuan,S1,"Jawa Tengah, Jawa, Indonesia",-6.357778879,109.3672057,28096,19,20,Senin-Jumat,Pagi-Siang
8433148392110055,Tammy Shaw,"Kalimantan Barat, 01-06-1963",60,perempuan,S1,"Cianjur, Jawa Barat, Jawa, Indonesia",-7.380953962,106.8578273,96410,10,5,Senin-Jumat,Sore-Malam
2061448550007448,Abigail Phillips,"Kalimantan Timur, 06-03-1961",62,laki-laki,D4,"Jawa Tengah, Jawa, Indonesia",-6.30443919,108.9894377,43766,1,3,Senin-Jumat,Pagi-Sore
4564611032822897,Colleen Lawrence,"Jambi, 13-08-1963",60,laki-laki,S1,"Banyudono, Dukun, Magelang, Jawa Tengah, Jawa, 56413, Indonesia",-7.548169541,110.3171041,78779,4,13,Senin-Jumat,Pagi-Sore
3193865123413807,Bruce Cook,"Papua, 19-01-1965",58,perempuan,S1,"Jawa Tengah, Jawa, Indonesia",-6.315629898,110.2313881,88720,5,7,Senin-Jumat,Siang-Malam
4962178878118069,Jodi Brandt,"Sulawesi Tengah, 08-10-1965",58,laki-laki,S1,"Jawa Timur, Jawa, Indonesia",-6.546851696,112.0019293,22793,17,17,Senin-Jumat,Sore-Malam
5291960842761973,Daniel Hart,"Sumatera Barat, 02-01-1998",25,perempuan,S1,"Jalan Tol Caruban - Nganjuk, Madiun, Jawa Timur, Indonesia",-7.540669397,111.8253384,52390,2,4,Senin-Minggu,Siang-Malam
8272848959187763,Sara Davis,"Sumatera Selatan, 24-06-1988",35,perempuan,SMA,"Tajur, Majalengka, Jawa Barat, 45411, Indonesia",-6.844046601,108.2705788,72892,20,9,Senin-Minggu,Pagi-Sore
