debtor_nik,debtor_name,debtor_gender,debtor_birth_place,debtor_age,debtor_address,debtor_zip,debtor_rt,debtor_rw,debtor_marital_status,debtor_occupation,debtor_company,debtor_number,collection_day_type,best_collection_time,loan_amount,debtor_education_level,credit_score,aging,previous_collection_status,previous_payment_status,amount_of_late_days,tenure,best_collection_method,debtor_latitude,debtor_longitude
9718397106029271,Dasa Kusumo,perempuan,"Jawa Barat, 21-05-1966",57,"Gg. Cempaka No. 0
Yogyakarta, JK 92745",92745,10,5,Cerai mati,Profesional,Perum Utami Permadi,+62 (042) 185 5043,Hari kerja,"pagi, malam",102865378.46505909,D-4,609,Lancar,Berhasil,Tepat waktu,4,21,WhatsApp,-6.718409,109.431244
3919212579465164,KH. Laswi Hidayanto,perempuan,"DKI Jakarta, 27-12-1965",58,"Jl. Rawamangun No. 1
Manado, ST 90557",90557,5,1,Menikah,Profesional,CV Simbolon Natsir,+62 (568) 924-7900,Hari kerja,"pagi, malam",24399981.55104445,D-3,613,Diragukan,Gagal,Terlambat,0,5,Telepon,-7.338508,109.487374
3379245051744286,Nurul Wibowo,laki-laki,"Sulawesi Barat, 02-08-1983",40,"Gang Pasirkoja No. 0
Ternate, JK 38310",38310,2,6,Belum menikah,Pegawai Negeri,CV Tamba,-6020,Hari libur nasional/cuti bersama,"pagi, sore, malam",1000000,S-1,677,Macet,Gagal,Terlambat,2,6,Telepon,-7.2677,106.130439
1684804895140788,Silvia Firgantoro,laki-laki,"Kepulauan Riau, 21-05-1962",61,"Jalan Ir. H. Djuanda No. 308
Pangkalpinang, MU 62683",62683,10,19,Cerai hidup,Pegawai Negeri,UD Widiastuti,+62 (026) 809-6177,Hari kerja,malam,43921607.31,SD,635,Macet,Gagal,Terlambat,0,6,Telepon,-7.478829,111.958287
4911896188592852,Aisyah Nasyiah,perempuan,"Riau, 24-12-1978",45,"Jalan Rumah Sakit No. 8
Bau-Bau, SS 32681",32681,8,3,Belum menikah,Profesional,UD Utama Tbk,+62 (010) 531 3744,Hari kerja,"pagi, malam",22120724.816666342,S-1,648,Dalam Perhatian Khusus,Berhasil,Terlambat,0,3,Telepon,-6.052373,112.648127
2654266798446616,"Sutan Waluyo Januar, S.Pd",laki-laki,"Sulawesi Selatan, 19-10-1969",54,"Gang Jend. Sudirman No. 56
Manado, NB 92756",92756,2,7,Belum menikah,Pegawai Swasta,Perum Winarno Widodo Tbk,+62 (002) 504 0905,Hari kerja,"pagi, malam",55919171.07159613,S-1,750,Macet,Berhasil,Terlambat,11,11,Telepon,-7.762901,107.136005
9985948104371273,Cawuk Wastuti,laki-laki,"Kepulauan Bangka Belitung, 14-08-1999",24,"Gg. Gardujati No. 7
Banda Aceh, Kepulauan Bangka Belitung 94630",94630,11,3,Menikah,Pegawai Swasta,PD Susanti,+62 (0979) 814-4941,Hari kerja,"pagi, malam",80368399.21022499,SMP,489,Lancar,Berhasil,Tepat waktu,0,14,WhatsApp,-6.804175,111.314491
2892884859432161,"Indah Simbolon, M.Ak",laki-laki,"Kepulauan Riau, 24-09-1962",61,"Jl. Cihampelas No. 43
Bukittinggi, RI 06745",6745,14,6,Menikah,Buruh,PD Usada Purwanti,+62 (23) 902 7716,Hari kerja,malam,57648129.19409069,SMA,485,Dalam Perhatian Khusus,Berhasil,Terlambat,0,11,Telepon,-6.269862,111.308784
2471538820591259,Qori Yolanda,laki-laki,"Bengkulu, 26-05-1978",45,"Gg. M.H Thamrin No. 33
Kota Administrasi Jakarta Utara, Kalimantan Selatan 18259",18259,9,11,Cerai mati,Pegawai Negeri,PD Mansur Sihombing,+62 (53) 789-5125,Akhir pekan,"pagi, sore, malam",63955710.95518988,S-1,650,Dalam Perhatian Khusus,Berhasil,Terlambat,1,15,Telepon,-6.317484,113.407697
8033571105649164,"Dr. Yessi Uwais, S.Psi",perempuan,"Nusa Tenggara Barat, 12-05-1989",34,"Gang Astana Anyar No. 674
Serang, JA 53360",53360,12,6,Cerai mati,Pengusaha,Perum Sinaga Utama Tbk,+62 (796) 795-1723,Akhir pekan,"pagi, sore, malam",61220103.267872296,D-4,464,Diragukan,Berhasil,Tepat waktu,7,18,WhatsApp,-6.988194,109.713056
6470182300926397,"R. Banara Wibisono, S.Gz",perempuan,"Jawa Barat, 10-09-1962",61,"Gg. Ciumbuleuit No. 1
Cilegon, MA 84532",84532,14,2,Menikah,Pegawai Swasta,CV Napitupulu Sitorus,+62 (058) 229 8346,Hari kerja,"pagi, malam",63127606.317652464,SD,558,Dalam Perhatian Khusus,Berhasil,Tepat waktu,0,12,WhatsApp,-6.809801,110.490178
6474278682768317,Tomi Nasyidah,perempuan,"Lampung, 25-10-1972",51,"Gang Gedebage Selatan No. 4
Sibolga, Sumatera Utara 78864",78864,10,17,Menikah,Pegawai Negeri,PT Permata Situmorang,-1270,Hari libur nasional/cuti bersama,"pagi, sore, malam",122707921.95895629,D-4,699,Kurang Lancar,Berhasil,Tepat waktu,7,33,WhatsApp,-7.160797,111.4268
1901422213248552,Zulaikha Andriani,laki-laki,"Kepulauan Riau, 05-08-1981",42,"Jalan Dr. Djunjunan No. 441
Salatiga, SR 44156",44156,17,15,Menikah,Pegawai Swasta,UD Haryanti,+62 (085) 205 3172,Hari kerja,"pagi, malam",20765823.071521483,S-3,545,Lancar,Berhasil,Terlambat,0,6,Telepon,-6.855201,109.533118
4508666024202322,Genta Yuniar,perempuan,"Riau, 21-03-1991",32,"Jalan Ronggowarsito No. 16
Padang Sidempuan, KS 79163",79163,16,13,Cerai mati,Pegawai Swasta,UD Mangunsong,+62 (937) 893-7002,Akhir pekan,"pagi, sore, malam",1000000,SMP,388,Dalam Perhatian Khusus,Gagal,Terlambat,0,4,Telepon,-7.379225,111.637682
9005946706708462,Garda Ramadan,laki-laki,"Kalimantan Utara, 06-03-1982",41,"Gg. Waringin No. 5
Jayapura, Gorontalo 96335",96335,10,13,Belum menikah,Profesional,CV Waskita Simbolon (Persero) Tbk,+62 (81) 060 3824,Hari libur nasional/cuti bersama,"pagi, sore, malam",18555810.61922696,S-3,605,Diragukan,Berhasil,Terlambat,3,5,Telepon,-7.377424,106.019486
1630730284918103,Sutan Gangsa Pratama,laki-laki,"Kepulauan Riau, 29-07-1994",29,"Jalan Tebet Barat Dalam No. 940
Dumai, Kalimantan Utara 25835",25835,18,17,Cerai mati,Pengusaha,CV Salahudin Kuswoyo Tbk,+62 (223) 211-8197,Hari kerja,"pagi, malam",74318504.78,S-2,791,Lancar,Berhasil,Tepat waktu,0,16,WhatsApp,-7.893061,111.725073
8969070716121835,Oliva Aryani,perempuan,"Lampung, 18-12-1993",30,"Jalan Veteran No. 54
Sungai Penuh, BA 02888",2888,9,3,Belum menikah,Pegawai Negeri,UD Hariyah Nasyiah (Persero) Tbk,-3801,Hari kerja,malam,120444275.84299628,SMA,592,Lancar,Berhasil,Terlambat,0,36,Telepon,-7.556082,112.569272
9981939492293569,Martaka Melani,laki-laki,"Jawa Barat, 12-04-1987",36,"Gang Tebet Barat Dalam No. 7
Pematangsiantar, RI 03765",3765,9,17,Belum menikah,Buruh,PT Prakasa Hidayanto,-9414,Akhir pekan,"pagi, malam",42160414.289654896,SMP,591,Diragukan,Berhasil,Terlambat,3,15,Telepon,-8.296762,113.056694
4953629477735745,Cahya Pradipta,laki-laki,"Papua Barat, 26-02-1963",60,"Gg. Sadang Serang No. 71
Mataram, DI Yogyakarta 04152",4152,17,13,Menikah,Pegawai Swasta,PT Sinaga Sihombing Tbk,-2663,Hari kerja,"pagi, malam",63110927.03226309,D-3,830,Dalam Perhatian Khusus,Gagal,Terlambat,0,12,Telepon,-6.274906,106.083746
8988902800421834,"H. Lega Hidayanto, S.IP",laki-laki,"Kalimantan Timur, 08-02-1961",62,"Jalan Suryakencana No. 780
Pontianak, Jawa Tengah 60197",60197,3,1,Cerai mati,Buruh,UD Sirait Prasasta (Persero) Tbk,+62 (28) 775-4869,Akhir pekan,"pagi, malam",34436739.94,SD,524,Macet,Gagal,Terlambat,9,12,Field,-6.573785,110.398897
1002194404877594,Pardi Lestari,laki-laki,"Kalimantan Timur, 13-07-1960",63,"Jl. M.H Thamrin No. 372
Probolinggo, Sumatera Utara 00608",608,16,13,Belum menikah,Pegawai Swasta,UD Suryono Hartati (Persero) Tbk,+62 (81) 070 3827,Akhir pekan,"pagi, sore, malam",148610684.96050543,S-2,549,Dalam Perhatian Khusus,Berhasil,Terlambat,5,42,Telepon,-6.258771,112.031325
5283416472732673,Harja Saputra,perempuan,"Riau, 12-02-1967",56,"Gang Kapten Muslihat No. 42
Banjarbaru, AC 38227",38227,17,15,Cerai hidup,Pegawai Negeri,CV Siregar Hasanah,-5039,Hari kerja,malam,16424610.79760249,SMA,735,Diragukan,Gagal,Terlambat,11,9,Field,-7.036009,113.642075
4747083869241714,Padmi Setiawan,laki-laki,"Jambi, 23-04-1987",36,"Gg. Rumah Sakit No. 277
Bau-Bau, Kalimantan Timur 50477",50477,13,11,Cerai hidup,Pegawai Negeri,PT Utami Tbk,+62 (0189) 278 1310,Hari kerja,malam,43275377.16462068,S-3,552,Dalam Perhatian Khusus,Berhasil,Tepat waktu,0,6,WhatsApp,-7.622291,111.683051
2437993155083537,"Nadia Handayani, M.Kom.",laki-laki,"Sulawesi Selatan, 09-05-1965",58,"Jl. Suniaraja No. 11
Binjai, Papua 25920",25920,9,20,Menikah,Profesional,PT Permata Sudiati,+62 (050) 196 1182,Hari libur nasional/cuti bersama,"pagi, sore, malam",1000000,S-3,722,Kurang Lancar,Berhasil,Terlambat,13,3,Telepon,-6.476178,106.960193
2320681205202319,Kardi Wasita,perempuan,"Kepulauan Riau, 27-11-1988",35,"Jl. Dipatiukur No. 52
Sabang, RI 87851",87851,19,8,Cerai hidup,Pegawai Swasta,PD Astuti Namaga,+62 (601) 641 4894,Akhir pekan,"pagi, sore, malam",27941036.56352243,S-3,590,Kurang Lancar,Gagal,Terlambat,3,7,Telepon,-8.030945,111.569774
5914141982305778,drg. Nova Habibi,laki-laki,"Bengkulu, 01-12-1980",43,"Jl. Pasir Koja No. 80
Batam, Jawa Timur 35928",35928,16,20,Cerai hidup,Pegawai Swasta,Perum Wulandari Prakasa (Persero) Tbk,+62 (091) 652-3106,Hari kerja,"pagi, malam",53593959.62855044,S-3,600,Kurang Lancar,Gagal,Terlambat,12,15,Field,-8.234566,111.900568
6610266338657463,Humaira Situmorang,perempuan,"Jawa Barat, 14-01-1977",46,"Gang Jend. A. Yani No. 9
Gorontalo, Sumatera Barat 42574",42574,5,10,Menikah,Pegawai Swasta,PD Mustofa,-10762,Hari kerja,"pagi, malam",47611474.60959932,SD,558,Macet,Berhasil,Tepat waktu,10,8,WhatsApp,-6.619487,112.202333
4873450440677345,Jinawi Pratiwi,laki-laki,"Riau, 25-04-1982",41,"Jalan Ahmad Yani No. 87
Tangerang Selatan, SG 17009",17009,5,7,Cerai hidup,Pengusaha,UD Utama (Persero) Tbk,-8315,Akhir pekan,"pagi, sore, malam",75547772.55862775,S-2,644,Dalam Perhatian Khusus,Berhasil,Tepat waktu,0,18,WhatsApp,-7.825237,110.222502
3978231892270231,Dono Haryanto,laki-laki,"DKI Jakarta, 18-01-1977",46,"Jl. Jend. A. Yani No. 4
Dumai, PA 48115",48115,11,9,Menikah,Pegawai Negeri,PT Purwanti,-2442,Akhir pekan,"pagi, sore, malam",53712535.87113103,S-2,661,Dalam Perhatian Khusus,Berhasil,Terlambat,0,15,Telepon,-7.246131,107.508858
7264193614704237,"Rusman Wulandari, S.H.",laki-laki,"Sulawesi Tengah, 01-02-1981",42,"Jalan Tebet Barat Dalam No. 9
Medan, Kalimantan Tengah 37058",37058,10,6,Cerai hidup,Pengusaha,PT Rahimah Rajata (Persero) Tbk,+62 (073) 742-2496,Hari libur nasional/cuti bersama,"pagi, sore, malam",57027964.48016763,S-1,604,Diragukan,Berhasil,Terlambat,12,10,Telepon,-6.702407,107.814674
5884328471469313,"Padma Mandasari, M.Ak",perempuan,"Sumatera Selatan, 03-02-1960",63,"Jl. Kutai No. 25
Palembang, SR 48302",48302,1,7,Belum menikah,Pengusaha,PD Purnawati,+62 (0123) 276-4546,Hari kerja,"pagi, malam",85896449.89142221,SD,547,Macet,Berhasil,Terlambat,16,16,Field,-6.275949,109.123928
6468058625001608,Harja Zulkarnain,laki-laki,"Kalimantan Barat, 05-05-1993",30,"Gg. M.H Thamrin No. 3
Salatiga, Sulawesi Barat 40199",40199,14,7,Belum menikah,Pegawai Negeri,CV Hasanah Kurniawan,+62 (076) 793-7219,Hari kerja,malam,31847214.28960837,D-3,493,Macet,Gagal,Terlambat,10,7,Field,-7.040846,110.452417
9235085923243757,Jati Mandasari,perempuan,"Sulawesi Tenggara, 17-10-1969",54,"Jalan Cempaka No. 049
Tidore Kepulauan, NT 57763",57763,17,20,Menikah,Pegawai Swasta,CV Wijayanti Tbk,+62 (070) 517-0374,Hari kerja,"pagi, malam",41620430.59611871,SD,645,Macet,Gagal,Terlambat,13,15,Field,-7.658261,106.692752
9224517456057132,Ratih Permata,perempuan,"Jambi, 07-05-1975",48,"Gang Pasir Koja No. 48
Purwokerto, JK 95428",95428,17,1,Cerai hidup,Buruh,CV Irawan Halim (Persero) Tbk,-3754,Akhir pekan,"pagi, malam",98786499.10554412,D-3,567,Diragukan,Gagal,Terlambat,0,21,Telepon,-8.001514,113.020297
6477834466581222,Dadap Nuraini,laki-laki,"Banten, 30-09-1993",30,"Gg. Ciwastra No. 64
Bau-Bau, Sulawesi Utara 95723",95723,14,18,Cerai mati,Buruh,PT Mandasari Anggriawan,+62 (0916) 291-8570,Akhir pekan,"pagi, malam",29848047.95360852,S-3,706,Dalam Perhatian Khusus,Berhasil,Terlambat,0,13,Telepon,-7.035039,112.425264
7124614435466071,Farhunnisa Wibowo,laki-laki,"Maluku, 04-05-1988",35,"Jl. Joyoboyo No. 0
Tarakan, Nusa Tenggara Timur 45689",45689,1,1,Cerai hidup,Pengusaha,PT Purwanti Handayani,+62 (31) 003-3860,Hari kerja,"pagi, malam",56628914.93680111,S-3,673,Kurang Lancar,Berhasil,Terlambat,0,14,Telepon,-7.094659,113.014572
6785770773097578,Ir. Darmanto Nashiruddin,laki-laki,"Kalimantan Tengah, 08-07-1998",25,"Jalan Kutai No. 1
Bima, KI 11788",11788,19,6,Menikah,Pegawai Swasta,PD Mardhiyah Agustina Tbk,+62 (0245) 696-4567,Akhir pekan,"pagi, sore, malam",95318671.51,SD,411,Lancar,Gagal,Terlambat,0,17,Telepon,-6.772739,106.547973
6557770522372051,"Pangestu Siregar, S.Pt",perempuan,"Jawa Tengah, 02-11-1973",50,"Jl. Medokan Ayu No. 0
Malang, JI 79098",79098,4,13,Cerai hidup,Buruh,UD Prasasta Iswahyudi,-8432,Hari kerja,malam,13207533.971143693,S-2,637,Macet,Berhasil,Tepat waktu,9,3,WhatsApp,-7.088009,111.495102
9489567341541122,"R.A. Zamira Utami, S.I.Kom",laki-laki,"Bali, 26-07-1998",25,"Gg. Gardujati No. 73
Banjarbaru, NB 60124",60124,10,19,Menikah,Pengusaha,PD Mangunsong (Persero) Tbk,+62 (983) 555 5560,Akhir pekan,"pagi, sore, malam",1000000,S-3,642,Kurang Lancar,Gagal,Terlambat,4,5,Telepon,-8.111508,107.900522
6429877313192206,"Humaira Nuraini, M.M.",laki-laki,"Jambi, 14-09-1998",25,"Jalan Cihampelas No. 04
Payakumbuh, Banten 54320",54320,4,15,Cerai hidup,Profesional,PT Saragih Hutasoit,+62 (430) 541-1884,Akhir pekan,"pagi, sore, malam",41844540.67535001,S-2,566,Diragukan,Berhasil,Terlambat,18,4,Field,-6.950568,113.264513
7811653469700474,Dr. Arsipatra Padmasari,perempuan,"Nusa Tenggara Timur, 23-04-1970",53,"Jalan Indragiri No. 044
Solok, SB 19249",19249,13,15,Belum menikah,Profesional,CV Sihombing Hassanah,+62 (0033) 251-5313,Hari kerja,"pagi, malam",133325502.52252208,SD,585,Dalam Perhatian Khusus,Gagal,Terlambat,0,28,Telepon,-6.673154,111.768726
6766758790965538,Nova Suryono,laki-laki,"Sulawesi Utara, 06-10-1971",52,"Gang HOS. Cokroaminoto No. 438
Pekalongan, Maluku 00882",882,12,5,Cerai mati,Pegawai Negeri,UD Damanik,-4063,Hari kerja,malam,2237319.8379810005,D-4,499,Lancar,Berhasil,Terlambat,0,3,Telepon,-7.835228,111.587648
1745229003129903,"Ridwan Hakim, M.Kom.",perempuan,"Jambi, 01-03-1999",24,"Gg. M.T Haryono No. 6
Palu, SB 34542",34542,17,1,Belum menikah,Pengusaha,PD Wahyuni Puspita,+62 (22) 012 3522,Hari kerja,"pagi, malam",106242917.06597222,SD,438,Dalam Perhatian Khusus,Berhasil,Tepat waktu,0,31,WhatsApp,-8.153634,108.304448
9715336040060155,Mitra Mansur,perempuan,"Sumatera Barat, 11-12-1981",42,"Jalan Jamika No. 27
Tebingtinggi, Kalimantan Timur 95484",95484,7,18,Menikah,Profesional,Perum Damanik Maryadi,+62 (073) 595 8737,Akhir pekan,"pagi, sore, malam",39224772.29880386,SMP,630,Diragukan,Gagal,Terlambat,8,12,Field,-6.504038,111.622729
7282621445594135,"Aisyah Prasetyo, M.TI.",perempuan,"Aceh, 12-08-1995",28,"Jalan Soekarno Hatta No. 0
Makassar, Aceh 80531",80531,1,9,Menikah,Pegawai Negeri,CV Adriansyah Tbk,+62 (560) 246 8841,Hari kerja,malam,186670152.74529892,S-2,596,Dalam Perhatian Khusus,Berhasil,Tepat waktu,0,40,WhatsApp,-8.027601,108.129821
3725160338145102,Hendra Wulandari,laki-laki,"Bengkulu, 29-06-1981",42,"Gg. Waringin No. 303
Padang, BT 57724",57724,19,10,Belum menikah,Pegawai Negeri,Perum Prakasa,+62 (0086) 352 6975,Hari kerja,malam,10805507.188747086,S-3,865,Diragukan,Berhasil,Terlambat,12,8,Telepon,-7.878742,110.031393
4347998710678794,Empluk Astuti,perempuan,"Bengkulu, 15-10-1985",38,"Gang Sadang Serang No. 5
Surakarta, Nusa Tenggara Timur 82918",82918,16,16,Cerai mati,Pegawai Negeri,UD Sihotang Yolanda Tbk,+62 (005) 496 9649,Hari kerja,malam,34098316.39665454,S-2,468,Dalam Perhatian Khusus,Berhasil,Tepat waktu,0,7,WhatsApp,-8.082799,112.055898
8162857419568519,Farah Suartini,laki-laki,"Papua, 23-10-1973",50,"Gg. Surapati No. 63
Ternate, Riau 82243",82243,13,1,Menikah,Profesional,UD Mansur Permata,+62 (35) 050 3272,Hari kerja,"pagi, malam",20677292.18713268,SMA,598,Kurang Lancar,Gagal,Terlambat,8,5,Field,-7.34563,112.559715
9972225374552819,Raden Waluyo,perempuan,"Jawa Tengah, 30-03-1974",49,"Jl. Soekarno Hatta No. 990
Palu, Kalimantan Barat 83902",83902,4,1,Menikah,Pegawai Swasta,PD Hutasoit (Persero) Tbk,-3673,Akhir pekan,"pagi, sore, malam",58812832.80656932,D-3,586,Lancar,Berhasil,Terlambat,0,19,Telepon,-7.793988,111.504468
1245319126409751,"Vanesa Suryatmi, M.Pd",perempuan,"Sulawesi Utara, 25-08-1962",61,"Jalan Sukajadi No. 2
Tanjungpinang, NB 74445",74445,8,13,Cerai mati,Pengusaha,CV Suartini,+62 (053) 952 7016,Hari kerja,"pagi, malam",105192945.49253544,D-4,740,Diragukan,Gagal,Terlambat,10,24,Field,-7.536129,107.524351
4599492616741748,Bakiman Adriansyah,laki-laki,"Kepulauan Bangka Belitung, 11-05-1966",57,"Gg. Wonoayu No. 7
Kediri, AC 13936",13936,5,8,Menikah,Pengusaha,PD Anggriawan Yuliarti (Persero) Tbk,+62 (0505) 542-9239,Akhir pekan,"pagi, sore, malam",1000000,SMA,389,Diragukan,Berhasil,Terlambat,12,5,Telepon,-6.639568,110.394353
6654068429465334,Ratih Widiastuti,laki-laki,"Sulawesi Tenggara, 26-04-1973",50,"Gang Wonoayu No. 70
Sungai Penuh, JB 09164",9164,18,5,Cerai hidup,Profesional,UD Winarsih,-8194,Akhir pekan,"pagi, sore, malam",21794506.40692795,SD,567,Kurang Lancar,Berhasil,Tepat waktu,8,9,WhatsApp,-6.507624,110.70056
4135377479397424,"Kiandra Yolanda, S.Psi",laki-laki,"Kepulauan Bangka Belitung, 20-07-1977",46,"Jl. Medokan Ayu No. 58
Kendari, Kepulauan Bangka Belitung 61314",61314,14,1,Menikah,Buruh,UD Budiyanto Suwarno Tbk,+62 (98) 289 9560,Hari kerja,malam,142526670.7790235,D-3,634,Dalam Perhatian Khusus,Berhasil,Terlambat,7,29,Telepon,-6.031935,108.189618
5233673178135086,R.A. Yessi Hidayat,perempuan,"Sulawesi Selatan, 15-01-1987",36,"Jalan Dipatiukur No. 553
Palangkaraya, Nusa Tenggara Timur 47573",47573,11,10,Belum menikah,Pegawai Negeri,CV Kurniawan Wasita,+62 (059) 742 6115,Hari kerja,malam,88243109.91,SMA,636,Diragukan,Berhasil,Tepat waktu,7,27,WhatsApp,-6.422005,106.962608
6833986972909876,"Ir. Wulan Widiastuti, M.Pd",perempuan,"DKI Jakarta, 16-11-1970",53,"Jalan Rajawali Timur No. 38
Batu, Banten 71184",71184,9,12,Belum menikah,Pegawai Swasta,PD Hardiansyah Firgantoro,+62 (010) 717 5034,Hari kerja,"pagi, malam",62713885.35,S-3,608,Macet,Berhasil,Terlambat,8,19,Telepon,-8.150227,112.521132
7305655495644738,"Opung Yuniar, M.Kom.",perempuan,"Aceh, 12-07-1977",46,"Jl. Yos Sudarso No. 7
Serang, Jawa Timur 44262",44262,20,3,Cerai hidup,Pegawai Swasta,UD Kurniawan Nashiruddin Tbk,+62 (002) 288-2343,Akhir pekan,"pagi, sore, malam",26045644.702238344,SD,700,Kurang Lancar,Gagal,Terlambat,17,5,Field,-7.278711,110.830691
1663650846919720,"R.A. Ratna Mulyani, S.Gz",perempuan,"Sumatera Utara, 30-10-2000",23,"Gg. Ahmad Yani No. 74
Bogor, AC 50748",50748,11,4,Cerai hidup,Profesional,Perum Prastuti Tbk,+62 (038) 257-2591,Hari kerja,"pagi, malam",17452775.135960132,D-3,900,Kurang Lancar,Berhasil,Tepat waktu,28,4,Field,-6.801826,111.938298
3310497268743405,Pranata Purwanti,laki-laki,"Kepulauan Bangka Belitung, 25-11-1986",37,"Gang Gardujati No. 4
Tasikmalaya, SU 84095",84095,6,4,Belum menikah,Pengusaha,CV Megantara Nasyiah Tbk,+62 (862) 579-2099,Akhir pekan,"pagi, sore, malam",96040859.83026811,SMA,556,Kurang Lancar,Berhasil,Terlambat,24,27,Field,-8.005941,111.115412
2608049798765545,Hani Manullang,perempuan,"Sulawesi Tenggara, 26-04-1995",28,"Gang Ir. H. Djuanda No. 439
Yogyakarta, JB 22746",22746,15,12,Cerai hidup,Pengusaha,PT Latupono,-6967,Hari kerja,"pagi, malam",67404689.62456554,SMA,730,Macet,Berhasil,Terlambat,4,13,Telepon,-6.744055,113.933761
5689654052303416,Mitra Haryanto,laki-laki,"Bengkulu, 11-06-1977",46,"Gang Tebet Barat Dalam No. 57
Pagaralam, SR 76384",76384,4,8,Menikah,Buruh,PD Gunawan,+62 (073) 093 6608,Hari kerja,malam,51411671.59152169,D-4,670,Kurang Lancar,Gagal,Terlambat,17,14,Field,-6.504154,107.344574
1113123412195020,"Cut Umi Permata, S.I.Kom",perempuan,"Papua Barat, 07-05-1971",52,"Jl. Monginsidi No. 4
Bengkulu, Sumatera Selatan 40236",40236,11,10,Menikah,Profesional,CV Nashiruddin Tbk,+62 (039) 764-9493,Akhir pekan,"pagi, sore, malam",1000000,S-1,491,Macet,Gagal,Terlambat,18,3,Field,-6.974186,110.462098
6379644371099635,Zelda Zulkarnain,laki-laki,"DKI Jakarta, 09-04-1982",41,"Jl. Stasiun Wonokromo No. 73
Tegal, Kalimantan Tengah 40235",40235,20,4,Cerai hidup,Profesional,PT Prasetya Megantara (Persero) Tbk,+62 (069) 278-8620,Hari kerja,"pagi, malam",38882581.99256959,D-4,620,Lancar,Berhasil,Tepat waktu,0,6,WhatsApp,-6.8593,107.731788
6029607749756310,"Ir. Jessica Prasetya, S.Sos",laki-laki,"Nusa Tenggara Timur, 02-09-1977",46,"Jalan Pelajar Pejuang No. 9
Balikpapan, Nusa Tenggara Timur 19913",19913,14,2,Cerai mati,Buruh,PD Rahimah Tbk,+62 (18) 103-2297,Hari kerja,malam,69546675.41920651,D-4,501,Macet,Gagal,Terlambat,8,23,Field,-7.442034,106.921039
5613641421985250,Hafshah Jailani,perempuan,"Sulawesi Tenggara, 27-04-1979",44,"Gang Pasirkoja No. 328
Pekalongan, SB 35678",35678,17,12,Cerai hidup,Buruh,Perum Hassanah Mahendra,-5329,Hari kerja,malam,1000000,SD,673,Macet,Berhasil,Terlambat,15,3,Field,-7.906241,107.238034
6955146167557980,Gaman Saptono,laki-laki,"Kalimantan Timur, 30-05-1963",60,"Jalan Sentot Alibasa No. 8
Bekasi, Kalimantan Selatan 81470",81470,12,6,Menikah,Pegawai Swasta,CV Rajasa,+62 (0566) 911-1973,Akhir pekan,"pagi, sore, malam",67700224.13000283,D-4,824,Diragukan,Berhasil,Terlambat,20,18,Field,-7.337552,113.318069
4098095510589293,"Tirta Nainggolan, M.Pd",laki-laki,"Kalimantan Selatan, 31-05-1972",51,"Jalan Kutisari Selatan No. 716
Dumai, Maluku Utara 89602",89602,20,1,Cerai hidup,Pengusaha,CV Samosir,+62 (0801) 910-9975,Hari libur nasional/cuti bersama,"pagi, sore, malam",11852094.04473541,D-3,686,Dalam Perhatian Khusus,Gagal,Terlambat,0,7,Telepon,-7.697295,107.542868
6860130607827252,Safina Namaga,perempuan,"Kalimantan Selatan, 27-11-1988",35,"Jl. H.J Maemunah No. 623
Sorong, MU 96285",96285,4,2,Belum menikah,Profesional,PD Mandasari Anggraini,+62 (0301) 324 0617,Hari kerja,"pagi, malam",39147696.61132524,S-2,711,Dalam Perhatian Khusus,Berhasil,Terlambat,0,7,Telepon,-7.067416,109.846698
4606496602531195,"Cut Uli Farida, S.E.I",perempuan,"Bengkulu, 31-10-1988",35,"Gang Waringin No. 461
Medan, Aceh 27039",27039,20,19,Cerai mati,Pengusaha,CV Waskita Dongoran Tbk,+62 (084) 779-1336,Akhir pekan,"pagi, sore, malam",40312673.323528096,SMA,769,Lancar,Gagal,Terlambat,0,6,Telepon,-7.245858,113.680383
5708056586089399,Hesti Sudiati,laki-laki,"DKI Jakarta, 30-10-1973",50,"Jl. Pasirkoja No. 87
Purwokerto, Jambi 87007",87007,4,11,Cerai mati,Buruh,PD Padmasari (Persero) Tbk,+62 (203) 380 8499,Hari kerja,malam,88817795.64059311,SMP,608,Diragukan,Gagal,Terlambat,3,16,Telepon,-7.126852,110.57226
3941821371054175,"Adhiarja Halimah, M.Farm",perempuan,"Maluku, 15-06-1979",44,"Gang K.H. Wahid Hasyim No. 005
Balikpapan, JI 64685",64685,2,13,Belum menikah,Buruh,CV Kuswandari Santoso Tbk,+62 (91) 642 7042,Hari kerja,malam,39632381.37181044,SMP,680,Lancar,Berhasil,Tepat waktu,1,4,WhatsApp,-6.982116,110.159634
5660192922518594,"Gaman Kusmawati, S.Kom",perempuan,"Sulawesi Tenggara, 05-04-1982",41,"Gg. Cihampelas No. 731
Palopo, KT 48152",48152,15,19,Cerai hidup,Pengusaha,PT Hidayanto Tbk,-928,Akhir pekan,"pagi, sore, malam",109662879.70808724,S-3,666,Kurang Lancar,Gagal,Terlambat,8,24,Field,-7.825298,108.922468
