debtor_name,debtor_gender,debtor_age,debtor_marital_status,number_of_number_of_dependents,debtor_education_level,employment_year,monthly_income,monthly_expenses,asset_value,down_payment_percentage,paid_down_payment,loan_amount,interest_rate,tenor,monthly_payment,loan_income_expenses_ratio,total_capital,clasify_total_capital,ses,default_risk,loan_purpose,default_score,default_potential,recommendation
"Uchita Sihombing, S.Gz",perempuan,43,Sudah menikah,3,SMA,3,4500000,1100000,130000000.0,0.15,52500000,297500000,5,72,4791217,140.92,110800000.0,Lemah,Menengah,Sangat Beresiko,kredit usaha,2050,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 297500000 dengan cicilan per bulan sebesar 4791217 dan bunga pertahun sebesar 5%."
Silvia Pradana,laki-laki,49,Sudah menikah,3,S1,1,18500000,10700000,590000000.0,0.25,75000000,225000000,5,48,5181591,66.43,375600000.0,Sangat Kuat,Sangat Tinggi,Beresiko,kredit kendaraan bermotor,1050,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 225000000 dengan cicilan per bulan sebesar 5181591 dan bunga pertahun sebesar 5%."
Carla Santoso,perempuan,29,Sudah menikah,1,S1,5,23000000,9000000,340000000.0,0.15,450000,2550000,9,72,45965,0.33,483000000.0,Sangat Kuat,Tinggi,Sangat Baik,kredit usaha,0,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 2550000 dengan cicilan per bulan sebesar 45965 dan bunga pertahun sebesar 9%."
"Cut Najwa Hassanah, S.Pd",laki-laki,39,Sudah menikah,2,S1,5,15500000,3100000,650000000.0,0.2,60000000,240000000,11,48,6202925,50.02,404800000.0,Sangat Kuat,Sangat Tinggi,Beresiko,kredit kendaraan bermotor,950,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 240000000 dengan cicilan per bulan sebesar 6202925 dan bunga pertahun sebesar 11%."
"Tirta Nashiruddin, M.M.",perempuan,35,Sudah menikah,3,S1,5,10500000,5300000,150000000.0,0.2,60000000,240000000,9,48,5972410,114.85,208400000.0,Cukup,Menengah,Sangat Beresiko,kredit kendaraan bermotor,2050,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 240000000 dengan cicilan per bulan sebesar 5972410 dan bunga pertahun sebesar 9%."
"Balijan Rahayu, S.I.Kom",laki-laki,41,Cerai Hidup,1,S1,4,18000000,9700000,480000000.0,0.3,150000000,350000000,10,120,4625276,55.73,367600000.0,Sangat Kuat,Tinggi,Beresiko,kredit properti,1250,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan cicilan per bulan sebesar 4625276 dan bunga pertahun sebesar 10%."
R. Uchita Nashiruddin,perempuan,31,Cerai Hidup,0,S1,5,24000000,5100000,740000000.0,0.3,240000000,560000000,11,120,7714001,40.81,593800000.0,Sangat Kuat,Sangat Tinggi,Beresiko,kredit properti,1150,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 560000000 dengan cicilan per bulan sebesar 7714001 dan bunga pertahun sebesar 11%."
Olga Pradipta,perempuan,40,Belum menikah,0,S1,2,14500000,6400000,420000000.0,0.2,60000000,240000000,7,48,5747099,70.95,315200000.0,Kuat,Tinggi,Sangat Beresiko,kredit kendaraan bermotor,1900,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 240000000 dengan cicilan per bulan sebesar 5747099 dan bunga pertahun sebesar 7%."
Gaiman Pradana,perempuan,21,Belum menikah,0,SMA,1,5000000,2700000,300000000.0,0.2,70000000,280000000,10,72,5187235,225.53,118600000.0,Lemah,Sangat Rendah,Sangat Beresiko,kredit usaha,2650,Suspicious,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 280000000 dengan cicilan per bulan sebesar 5187235 dan bunga pertahun sebesar 10%."
Humaira Fujiati,perempuan,27,Belum menikah,0,SMA,3,5000000,1400000,240000000.0,0.3,150000000,350000000,11,120,4821250,133.92,130200000.0,Lemah,Tinggi,Sangat Beresiko,kredit properti,1800,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan cicilan per bulan sebesar 4821250 dan bunga pertahun sebesar 11%."
Emong Lestari,laki-laki,20,Sudah menikah,3,SMA,0,5500000,1300000,190000000.0,0.2,16000000,64000000,5,48,1473875,35.09,135400000.0,Lemah,Menengah,Baik,kredit kendaraan bermotor,850,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 64000000 dengan cicilan per bulan sebesar 1473875 dan bunga pertahun sebesar 5%."
Nova Manullang,laki-laki,39,Belum menikah,0,S1,6,24000000,5900000,420000000.0,0.3,240000000,560000000,12,120,8034373,44.39,553200000.0,Sangat Kuat,Tinggi,Beresiko,kredit properti,1150,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 560000000 dengan cicilan per bulan sebesar 8034373 dan bunga pertahun sebesar 12%."
Zahra Putra,perempuan,42,Sudah menikah,4,S1,8,26000000,8500000,100000000.0,0.2,600000,2400000,5,72,38652,0.22,540000000.0,Sangat Kuat,Tinggi,Sangat Baik,kredit usaha,0,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 2400000 dengan cicilan per bulan sebesar 38652 dan bunga pertahun sebesar 5%."
"R.M. Ikin Nababan, M.Kom.",perempuan,34,Sudah menikah,1,S2,1,19000000,8100000,140000000.0,0.2,600000,2400000,3,72,36465,0.33,373800000.0,Sangat Kuat,Menengah,Sangat Baik,kredit usaha,350,Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 2400000 dengan cicilan per bulan sebesar 36465 dan bunga pertahun sebesar 3%."
Kamaria Sihotang,perempuan,32,Belum menikah,0,SMA,3,3500000,1100000,140000000.0,0.35,175000000,325000000,8,120,3943147,164.3,87800000.0,Sangat Lemah,Sangat Rendah,Sangat Beresiko,kredit properti,2550,Suspicious,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 325000000 dengan cicilan per bulan sebesar 3943147 dan bunga pertahun sebesar 8%."
Dr. Ifa Budiyanto,perempuan,42,Cerai Hidup,1,S2,5,26000000,15200000,550000000.0,0.2,600000,2400000,7,72,40918,0.38,501600000.0,Sangat Kuat,Sangat Tinggi,Sangat Baik,kredit usaha,0,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 2400000 dengan cicilan per bulan sebesar 40918 dan bunga pertahun sebesar 7%."
Dimaz Hidayat,perempuan,38,Sudah menikah,4,S1,6,38500000,14400000,530000000.0,0.3,240000000,560000000,6,120,6217148,25.8,810200000.0,Sangat Kuat,Sangat Tinggi,Netral,kredit properti,800,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 560000000 dengan cicilan per bulan sebesar 6217148 dan bunga pertahun sebesar 6%."
"Padmi Hardiansyah, S.IP",laki-laki,21,Belum menikah,0,SMA,1,4500000,1100000,90000000.0,0.3,150000000,350000000,6,120,3885718,114.29,104800000.0,Lemah,Rendah,Sangat Beresiko,kredit properti,2400,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan cicilan per bulan sebesar 3885718 dan bunga pertahun sebesar 6%."
Kambali Budiman,laki-laki,29,Cerai Mati,1,D3,6,10500000,3100000,380000000.0,0.15,450000,2550000,3,72,38744,0.52,258800000.0,Kuat,Tinggi,Sangat Baik,kredit usaha,0,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 2550000 dengan cicilan per bulan sebesar 38744 dan bunga pertahun sebesar 3%."
Yoga Riyanti,laki-laki,34,Sudah menikah,1,S1,6,38500000,13200000,300000000.0,0.2,100000000,400000000,7,72,6819603,26.95,801600000.0,Sangat Kuat,Tinggi,Netral,kredit kendaraan bermotor,800,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 400000000 dengan cicilan per bulan sebesar 6819603 dan bunga pertahun sebesar 7%."
Salimah Andriani,perempuan,51,Belum menikah,0,S3,5,27500000,6400000,180000000.0,0.2,100000000,400000000,11,72,7613632,36.08,606200000.0,Sangat Kuat,Menengah,Netral,kredit kendaraan bermotor,1150,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 400000000 dengan cicilan per bulan sebesar 7613632 dan bunga pertahun sebesar 11%."
"Tgk. Anastasia Aryani, M.Farm",perempuan,57,Belum menikah,0,D4,8,23500000,9100000,750000000.0,0.2,100000000,400000000,5,72,6441973,44.74,537800000.0,Sangat Kuat,Sangat Tinggi,Beresiko,kredit kendaraan bermotor,1150,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 400000000 dengan cicilan per bulan sebesar 6441973 dan bunga pertahun sebesar 5%."
Vanesa Prasasta,laki-laki,34,Sudah menikah,5,D4,2,19000000,6400000,400000000.0,0.2,60000000,240000000,8,48,5859101,46.5,421200000.0,Sangat Kuat,Tinggi,Beresiko,kredit kendaraan bermotor,1250,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 240000000 dengan cicilan per bulan sebesar 5859101 dan bunga pertahun sebesar 8%."
"Cut Jane Anggraini, M.Farm",perempuan,36,Belum menikah,0,SMA,7,11500000,2300000,140000000.0,0.2,600000,2400000,3,72,36465,0.4,269400000.0,Kuat,Menengah,Sangat Baik,kredit usaha,250,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 2400000 dengan cicilan per bulan sebesar 36465 dan bunga pertahun sebesar 3%."
Mulya Mulyani,laki-laki,48,Sudah menikah,5,SMA,4,5500000,2400000,180000000.0,0.15,52500000,297500000,9,72,5362597,172.99,125200000.0,Lemah,Menengah,Sangat Beresiko,kredit usaha,2050,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 297500000 dengan cicilan per bulan sebesar 5362597 dan bunga pertahun sebesar 9%."
T. Mahmud Haryanti,perempuan,32,Sudah menikah,1,S1,2,10000000,2700000,440000000.0,0.25,125000000,375000000,8,120,4549785,62.33,253600000.0,Kuat,Tinggi,Sangat Beresiko,kredit properti,1600,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 375000000 dengan cicilan per bulan sebesar 4549785 dan bunga pertahun sebesar 8%."
dr. Cawuk Hardiansyah,perempuan,39,Sudah menikah,3,SMA,7,13000000,2900000,170000000.0,0.2,60000000,240000000,5,48,5527030,54.72,301200000.0,Kuat,Menengah,Beresiko,kredit kendaraan bermotor,1500,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 240000000 dengan cicilan per bulan sebesar 5527030 dan bunga pertahun sebesar 5%."
Elvina Maryati,laki-laki,56,Sudah menikah,4,D4,5,14500000,4600000,680000000.0,0.2,60000000,240000000,8,48,5859101,59.18,365800000.0,Sangat Kuat,Sangat Tinggi,Beresiko,kredit kendaraan bermotor,950,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 240000000 dengan cicilan per bulan sebesar 5859101 dan bunga pertahun sebesar 8%."
Rahmi Pudjiastuti,perempuan,64,Belum menikah,0,SMA,5,8000000,2200000,130000000.0,0.3,150000000,350000000,10,120,4625276,79.75,183600000.0,Cukup,Menengah,Sangat Beresiko,kredit properti,2050,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan cicilan per bulan sebesar 4625276 dan bunga pertahun sebesar 10%."
Ir. Devi Setiawan,perempuan,56,Sudah menikah,5,SMA,6,12000000,4600000,110000000.0,0.15,450000,2550000,8,72,44710,0.6,249800000.0,Cukup,Menengah,Sangat Baik,kredit usaha,250,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 2550000 dengan cicilan per bulan sebesar 44710 dan bunga pertahun sebesar 8%."
Siska Sudiati,laki-laki,39,Belum menikah,0,S1,7,19500000,4900000,100000000.0,0.3,150000000,350000000,12,120,5021483,34.39,426200000.0,Sangat Kuat,Menengah,Netral,kredit properti,1150,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan cicilan per bulan sebesar 5021483 dan bunga pertahun sebesar 12%."
drg. Talia Sirait,perempuan,32,Sudah menikah,2,SMA,6,7500000,3500000,240000000.0,0.25,125000000,375000000,9,120,4750342,118.76,168000000.0,Cukup,Tinggi,Sangat Beresiko,kredit properti,1800,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 375000000 dengan cicilan per bulan sebesar 4750342 dan bunga pertahun sebesar 9%."
"R. Danu Pangestu, S.Kom",perempuan,29,Cerai Hidup,0,S1,3,17000000,3900000,630000000.0,0.2,600000,2400000,7,72,40918,0.31,427200000.0,Sangat Kuat,Sangat Tinggi,Sangat Baik,kredit usaha,0,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 2400000 dengan cicilan per bulan sebesar 40918 dan bunga pertahun sebesar 7%."
Salimah Habibi,laki-laki,39,Belum menikah,0,SMA,7,13000000,6800000,230000000.0,0.2,60000000,240000000,6,48,5636407,90.91,260400000.0,Kuat,Sangat Rendah,Sangat Beresiko,kredit kendaraan bermotor,2550,Suspicious,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 240000000 dengan cicilan per bulan sebesar 5636407 dan bunga pertahun sebesar 6%."
Jaiman Suartini,laki-laki,34,Belum menikah,0,SD,4,7000000,1600000,100000000.0,0.2,70000000,280000000,7,72,4773722,88.4,162800000.0,Cukup,Menengah,Sangat Beresiko,kredit usaha,2050,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 280000000 dengan cicilan per bulan sebesar 4773722 dan bunga pertahun sebesar 7%."
Vera Dongoran,laki-laki,39,Sudah menikah,1,S2,5,25500000,15200000,870000000.0,0.25,200000000,600000000,6,120,6661230,64.67,521600000.0,Sangat Kuat,Sangat Tinggi,Sangat Beresiko,kredit properti,1500,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 600000000 dengan cicilan per bulan sebesar 6661230 dan bunga pertahun sebesar 6%."
Hilda Wijaya,perempuan,41,Belum menikah,0,D4,6,19500000,10800000,90000000.0,0.3,150000000,350000000,10,120,4625276,53.16,353400000.0,Sangat Kuat,Menengah,Beresiko,kredit properti,1500,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan cicilan per bulan sebesar 4625276 dan bunga pertahun sebesar 10%."
"Jarwi Wijayanti, M.Ak",perempuan,37,Belum menikah,0,SMA,4,9000000,2900000,290000000.0,0.2,16000000,64000000,7,48,1532560,25.12,214200000.0,Cukup,Tinggi,Baik,kredit kendaraan bermotor,250,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 64000000 dengan cicilan per bulan sebesar 1532560 dan bunga pertahun sebesar 7%."
"Hj. Kartika Tampubolon, S.Kom",laki-laki,26,Belum menikah,0,S1,2,6500000,2400000,740000000.0,0.2,16000000,64000000,12,48,1685365,41.11,203200000.0,Cukup,Sangat Tinggi,Baik,kredit kendaraan bermotor,450,Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 64000000 dengan cicilan per bulan sebesar 1685365 dan bunga pertahun sebesar 12%."
Amalia Hastuti,perempuan,32,Sudah menikah,3,S1,4,6500000,1300000,670000000.0,0.25,87500000,262500000,5,72,4227545,81.3,211400000.0,Cukup,Sangat Tinggi,Sangat Beresiko,kredit usaha,1500,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 262500000 dengan cicilan per bulan sebesar 4227545 dan bunga pertahun sebesar 5%."
"Sutan Prayoga Sitorus, S.Psi",perempuan,35,Belum menikah,0,S1,5,8000000,1800000,210000000.0,0.15,52500000,297500000,7,72,5072079,81.81,196400000.0,Cukup,Menengah,Sangat Beresiko,kredit usaha,2050,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 297500000 dengan cicilan per bulan sebesar 5072079 dan bunga pertahun sebesar 7%."
Novi Pranowo,perempuan,20,Sudah menikah,2,D3,0,15500000,9100000,350000000.0,0.25,125000000,375000000,11,120,5165625,80.71,297800000.0,Kuat,Tinggi,Sangat Beresiko,kredit properti,2050,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 375000000 dengan cicilan per bulan sebesar 5165625 dan bunga pertahun sebesar 11%."
"Cinta Nasyidah, S.IP",perempuan,30,Cerai Mati,1,SMA,6,4000000,2200000,250000000.0,0.2,16000000,64000000,11,48,1654113,91.9,100600000.0,Lemah,Sangat Rendah,Sangat Beresiko,kredit kendaraan bermotor,2250,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 64000000 dengan cicilan per bulan sebesar 1654113 dan bunga pertahun sebesar 11%."
"Hj. Amalia Palastri, S.Pt",laki-laki,26,Belum menikah,0,S1,2,5000000,2400000,240000000.0,0.2,70000000,280000000,8,72,4909307,188.82,117200000.0,Lemah,Menengah,Sangat Beresiko,kredit usaha,2150,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 280000000 dengan cicilan per bulan sebesar 4909307 dan bunga pertahun sebesar 8%."
Hj. Humaira Widodo,perempuan,50,Sudah menikah,3,S3,3,18000000,8600000,620000000.0,0.15,450000,2550000,4,72,39895,0.42,393800000.0,Sangat Kuat,Tinggi,Sangat Baik,kredit usaha,0,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 2550000 dengan cicilan per bulan sebesar 39895 dan bunga pertahun sebesar 4%."
"Fitria Yuniar, S.Pd",perempuan,43,Belum menikah,0,S1,5,24000000,13200000,440000000.0,0.15,450000,2550000,9,72,45965,0.43,466600000.0,Sangat Kuat,Tinggi,Sangat Baik,kredit usaha,0,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 2550000 dengan cicilan per bulan sebesar 45965 dan bunga pertahun sebesar 9%."
Puspa Handayani,laki-laki,38,Sudah menikah,5,D4,10,15500000,7300000,320000000.0,0.2,600000,2400000,9,72,43261,0.53,326400000.0,Kuat,Tinggi,Sangat Baik,kredit usaha,0,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 2400000 dengan cicilan per bulan sebesar 43261 dan bunga pertahun sebesar 9%."
"Hj. Farhunnisa Marbun, M.Pd",laki-laki,42,Sudah menikah,2,S1,6,22500000,12000000,510000000.0,0.25,750000,2250000,7,72,38360,0.37,453000000.0,Sangat Kuat,Sangat Tinggi,Sangat Baik,kredit usaha,0,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 2250000 dengan cicilan per bulan sebesar 38360 dan bunga pertahun sebesar 7%."
"KH. Jabal Prakasa, S.H.",laki-laki,55,Cerai Mati,0,S1,3,8500000,2200000,550000000.0,0.2,16000000,64000000,8,48,1562427,24.8,235600000.0,Cukup,Sangat Tinggi,Sangat Baik,kredit kendaraan bermotor,0,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 64000000 dengan cicilan per bulan sebesar 1562427 dan bunga pertahun sebesar 8%."
Cut Raina Nugroho,laki-laki,39,Belum menikah,0,S1,7,25500000,11600000,500000000.0,0.35,280000000,520000000,6,120,5773066,41.53,529800000.0,Sangat Kuat,Sangat Tinggi,Beresiko,kredit properti,1150,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 520000000 dengan cicilan per bulan sebesar 5773066 dan bunga pertahun sebesar 6%."
Zahra Habibi,perempuan,28,Belum menikah,0,SMA,6,10500000,4600000,190000000.0,0.2,600000,2400000,9,72,43261,0.73,221800000.0,Cukup,Menengah,Sangat Baik,kredit usaha,250,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 2400000 dengan cicilan per bulan sebesar 43261 dan bunga pertahun sebesar 9%."
Pia Anggraini,laki-laki,34,Cerai Hidup,2,SMA,6,15000000,3600000,270000000.0,0.2,600000,2400000,9,72,43261,0.38,349800000.0,Kuat,Tinggi,Sangat Baik,kredit usaha,0,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 2400000 dengan cicilan per bulan sebesar 43261 dan bunga pertahun sebesar 9%."
"R. Yuliana Mandala, M.Pd",laki-laki,35,Sudah menikah,2,S2,6,45500000,23800000,860000000.0,0.2,100000000,400000000,11,72,7613632,35.09,898400000.0,Sangat Kuat,Sangat Tinggi,Baik,kredit kendaraan bermotor,350,Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 400000000 dengan cicilan per bulan sebesar 7613632 dan bunga pertahun sebesar 11%."
R.M. Dono Pratiwi,perempuan,38,Belum menikah,0,S1,3,13000000,4800000,340000000.0,0.25,125000000,375000000,12,120,5380161,65.61,291400000.0,Kuat,Tinggi,Sangat Beresiko,kredit properti,1500,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 375000000 dengan cicilan per bulan sebesar 5380161 dan bunga pertahun sebesar 12%."
Qori Lailasari,laki-laki,28,Sudah menikah,3,SMA,7,10000000,5500000,210000000.0,0.15,450000,2550000,3,72,38744,0.86,202000000.0,Cukup,Sangat Rendah,Sangat Baik,kredit usaha,750,Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 2550000 dengan cicilan per bulan sebesar 38744 dan bunga pertahun sebesar 3%."
Hani Hasanah,perempuan,26,Sudah menikah,4,S1,2,15500000,9000000,470000000.0,0.2,60000000,240000000,4,48,5418973,83.37,313000000.0,Kuat,Tinggi,Sangat Beresiko,kredit kendaraan bermotor,1900,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 240000000 dengan cicilan per bulan sebesar 5418973 dan bunga pertahun sebesar 4%."
KH. Nasim Dongoran,laki-laki,33,Cerai Mati,3,S2,5,23000000,8000000,820000000.0,0.15,450000,2550000,4,72,39895,0.27,543000000.0,Sangat Kuat,Sangat Tinggi,Sangat Baik,kredit usaha,0,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 2550000 dengan cicilan per bulan sebesar 39895 dan bunga pertahun sebesar 4%."
drg. Siti Jailani,laki-laki,40,Cerai Mati,3,S2,1,15500000,4200000,860000000.0,0.2,600000,2400000,9,72,43261,0.38,408600000.0,Sangat Kuat,Sangat Tinggi,Sangat Baik,kredit usaha,100,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 2400000 dengan cicilan per bulan sebesar 43261 dan bunga pertahun sebesar 9%."
Ulva Nainggolan,laki-laki,53,Sudah menikah,4,SD,8,11500000,3800000,280000000.0,0.3,150000000,350000000,7,120,4063797,52.78,266400000.0,Kuat,Tinggi,Beresiko,kredit properti,1250,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan cicilan per bulan sebesar 4063797 dan bunga pertahun sebesar 7%."
"R. Jumari Agustina, S.E.",perempuan,43,Sudah menikah,4,SMA,6,8000000,3800000,190000000.0,0.3,150000000,350000000,6,120,3885718,92.52,171400000.0,Cukup,Menengah,Sangat Beresiko,kredit properti,2050,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan cicilan per bulan sebesar 3885718 dan bunga pertahun sebesar 6%."
Ulva Andriani,perempuan,29,Belum menikah,0,SMA,6,14000000,4300000,200000000.0,0.15,450000,2550000,8,72,44710,0.46,310400000.0,Kuat,Tinggi,Sangat Baik,kredit usaha,0,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 2550000 dengan cicilan per bulan sebesar 44710 dan bunga pertahun sebesar 8%."
"Tania Gunawan, M.M.",laki-laki,43,Belum menikah,0,SMA,6,7000000,2100000,90000000.0,0.25,87500000,262500000,6,72,4350383,88.78,157800000.0,Cukup,Rendah,Sangat Beresiko,kredit usaha,2300,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 262500000 dengan cicilan per bulan sebesar 4350383 dan bunga pertahun sebesar 6%."
Tirta Widodo,laki-laki,33,Belum menikah,0,SMA,6,7000000,3000000,80000000.0,0.2,16000000,64000000,8,48,1562427,39.06,146000000.0,Lemah,Rendah,Netral,kredit kendaraan bermotor,1400,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 64000000 dengan cicilan per bulan sebesar 1562427 dan bunga pertahun sebesar 8%."
