debtor_name,debtor_gender,debtor_age,debtor_marital_status,number_of_number_of_dependents,debtor_education_level,employment_year,monthly_income,monthly_expenses,asset_value,down_payment_percentage,paid_down_payment,loan_amount,interest_rate,tenor,monthly_payment,loan_income_expenses_ratio,total_capital,clasify_total_capital,ses,default_risk,loan_purpose,default_score,default_potential,recommendation
"Ir. Cinthia Astuti, S.E.",perempuan,38,Sudah menikah,3,S2,5,24000000,12200000,430000000.0,0.2,600000,2400000,4,72,37548.44,0.32,477600000.0,Sangat Kuat,Tinggi,Sangat Baik,kredit usaha,0,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 3000000 dengan bunga sebesar 4% dengan cicilan selama 72 bulan"
Dt. Jaeman Zulaika,laki-laki,39,Sudah menikah,5,SD,3,4000000,900000,170000000.0,0.2,16000000,64000000,8,48,1562427.03,50.4,105200000.0,Lemah,Menengah,Beresiko,kredit kendaraan bermotor,1200,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 80000000 dengan bunga sebesar 8% dengan cicilan selama 48 bulan"
Waluyo Saragih,perempuan,33,Sudah menikah,4,S2,5,21000000,8300000,340000000.0,0.3,240000000,560000000,7,120,6502074.84,51.2,443400000.0,Sangat Kuat,Tinggi,Beresiko,kredit properti,1250,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 800000000 dengan bunga sebesar 7% dengan cicilan selama 120 bulan"
R.M. Reza Kuswandari,perempuan,38,Sudah menikah,5,SMA,4,7500000,3000000,80000000.0,0.2,70000000,280000000,5,72,4509381.15,100.21,156000000.0,Cukup,Rendah,Sangat Beresiko,kredit usaha,2300,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan bunga sebesar 5% dengan cicilan selama 72 bulan"
"Anita Wacana, S.Farm",perempuan,23,Belum menikah,0,S1,0,8000000,4600000,570000000.0,0.15,52500000,297500000,7,72,5072079.43,149.18,193800000.0,Cukup,Sangat Tinggi,Sangat Beresiko,kredit usaha,2050,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan bunga sebesar 7% dengan cicilan selama 72 bulan"
"Ir. Malik Pangestu, S.Farm",laki-laki,39,Belum menikah,0,S3,3,18000000,6800000,170000000.0,0.2,60000000,240000000,7,48,5747098.72,51.31,370400000.0,Sangat Kuat,Menengah,Beresiko,kredit kendaraan bermotor,1500,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 300000000 dengan bunga sebesar 7% dengan cicilan selama 48 bulan"
Wahyu Damanik,laki-laki,29,Cerai Mati,2,S3,0,18000000,6800000,290000000.0,0.25,125000000,375000000,12,120,5380160.57,48.04,379400000.0,Sangat Kuat,Menengah,Beresiko,kredit properti,1650,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 12% dengan cicilan selama 120 bulan"
H. Wawan Haryanto,perempuan,32,Belum menikah,0,S1,8,24000000,5900000,720000000.0,0.2,100000000,400000000,4,72,6258073.23,34.57,585200000.0,Sangat Kuat,Sangat Tinggi,Netral,kredit kendaraan bermotor,900,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 4% dengan cicilan selama 72 bulan"
Zalindra Irawan,laki-laki,44,Belum menikah,0,S1,6,25000000,14000000,100000000.0,0.2,600000,2400000,9,72,43261.29,0.39,448000000.0,Sangat Kuat,Menengah,Sangat Baik,kredit usaha,250,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 3000000 dengan bunga sebesar 9% dengan cicilan selama 72 bulan"
"Dariati Lailasari, S.E.",perempuan,37,Sudah menikah,1,S2,8,53000000,30500000,310000000.0,0.2,100000000,400000000,9,72,7210214.87,32.05,945000000.0,Sangat Kuat,Sangat Tinggi,Netral,kredit kendaraan bermotor,900,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 9% dengan cicilan selama 72 bulan"
Pangestu Hakim,perempuan,43,Cerai Hidup,2,S1,6,35500000,11200000,260000000.0,0.2,600000,2400000,3,72,36464.82,0.15,749600000.0,Sangat Kuat,Tinggi,Sangat Baik,kredit usaha,0,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 3000000 dengan bunga sebesar 3% dengan cicilan selama 72 bulan"
Gilang Mansur,perempuan,32,Belum menikah,0,SMA,5,10000000,4900000,90000000.0,0.25,125000000,375000000,10,120,4955652.63,97.17,195200000.0,Cukup,Menengah,Sangat Beresiko,kredit properti,2050,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 10% dengan cicilan selama 120 bulan"
Zulfa Permata,perempuan,34,Sudah menikah,1,SMA,5,6500000,3100000,140000000.0,0.2,70000000,280000000,4,72,4380651.26,128.84,137800000.0,Lemah,Menengah,Sangat Beresiko,kredit usaha,2050,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan bunga sebesar 4% dengan cicilan selama 72 bulan"
"Ciaobella Kusmawati, S.Sos",perempuan,31,Sudah menikah,5,S3,1,19500000,4500000,860000000.0,0.2,60000000,240000000,10,48,6087020.02,40.58,501000000.0,Sangat Kuat,Sangat Tinggi,Beresiko,kredit kendaraan bermotor,950,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 300000000 dengan bunga sebesar 10% dengan cicilan selama 48 bulan"
Aurora Nainggolan,perempuan,35,Sudah menikah,3,S1,3,7500000,4300000,570000000.0,0.25,125000000,375000000,7,120,4354067.97,136.06,188400000.0,Cukup,Sangat Tinggi,Sangat Beresiko,kredit properti,1800,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 7% dengan cicilan selama 120 bulan"
Candrakanta Usada,perempuan,35,Cerai Mati,3,S2,1,17500000,5100000,650000000.0,0.2,600000,2400000,8,72,42079.78,0.34,424800000.0,Sangat Kuat,Sangat Tinggi,Sangat Baik,kredit usaha,100,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 3000000 dengan bunga sebesar 8% dengan cicilan selama 72 bulan"
"R. Carla Suryono, S.Farm",laki-laki,31,Sudah menikah,1,S1,4,19500000,5500000,360000000.0,0.3,150000000,350000000,11,120,4821250.4,34.44,442000000.0,Sangat Kuat,Tinggi,Netral,kredit properti,900,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 11% dengan cicilan selama 120 bulan"
Cinta Riyanti,perempuan,28,Sudah menikah,2,S2,1,13500000,2700000,550000000.0,0.3,150000000,350000000,12,120,5021483.19,46.5,347600000.0,Kuat,Sangat Tinggi,Beresiko,kredit properti,1250,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 12% dengan cicilan selama 120 bulan"
Adinata Salahudin,laki-laki,49,Sudah menikah,1,D4,4,24500000,9000000,80000000.0,0.25,200000000,600000000,10,120,7929044.21,51.16,492000000.0,Sangat Kuat,Tinggi,Beresiko,kredit properti,1250,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 800000000 dengan bunga sebesar 10% dengan cicilan selama 120 bulan"
Ani Farida,perempuan,34,Cerai Hidup,3,S2,2,19000000,10300000,280000000.0,0.2,60000000,240000000,9,48,5972410.17,68.65,362400000.0,Sangat Kuat,Menengah,Sangat Beresiko,kredit kendaraan bermotor,1850,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 300000000 dengan bunga sebesar 9% dengan cicilan selama 48 bulan"
Baktianto Usamah,perempuan,27,Belum menikah,0,SMP,3,4000000,1800000,270000000.0,0.2,16000000,64000000,6,48,1503041.86,68.32,104400000.0,Lemah,Tinggi,Beresiko,kredit kendaraan bermotor,950,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 80000000 dengan bunga sebesar 6% dengan cicilan selama 48 bulan"
"Vega Yuniar, S.H.",laki-laki,29,Belum menikah,0,SMA,1,5500000,1700000,210000000.0,0.25,125000000,375000000,10,120,4955652.63,130.41,133600000.0,Lemah,Tinggi,Sangat Beresiko,kredit properti,1900,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 10% dengan cicilan selama 120 bulan"
"Sakura Puspasari, M.TI.",laki-laki,38,Sudah menikah,1,S3,7,55000000,18000000,150000000.0,0.2,100000000,400000000,11,72,7613631.6,20.58,1126000000.0,Sangat Kuat,Tinggi,Netral,kredit kendaraan bermotor,800,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 11% dengan cicilan selama 72 bulan"
Elvina Hidayanto,laki-laki,33,Sudah menikah,4,SMA,2,5000000,2900000,300000000.0,0.25,87500000,262500000,10,72,4863032.42,231.57,117200000.0,Lemah,Sangat Rendah,Sangat Beresiko,kredit usaha,2650,Suspicious,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan bunga sebesar 10% dengan cicilan selama 72 bulan"
"Tgk. Bahuraksa Wahyudin, S.Sos",perempuan,35,Sudah menikah,1,S1,6,20500000,7500000,610000000.0,0.15,450000,2550000,9,72,45965.12,0.35,469000000.0,Sangat Kuat,Sangat Tinggi,Sangat Baik,kredit usaha,0,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 3000000 dengan bunga sebesar 9% dengan cicilan selama 72 bulan"
Drs. Vinsen Kusumo,laki-laki,25,Belum menikah,0,S1,1,16500000,5300000,560000000.0,0.2,600000,2400000,7,72,40917.62,0.37,389400000.0,Sangat Kuat,Sangat Tinggi,Sangat Baik,kredit usaha,100,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 3000000 dengan bunga sebesar 7% dengan cicilan selama 72 bulan"
Ida Prastuti,perempuan,30,Sudah menikah,5,S1,5,7500000,2900000,590000000.0,0.15,52500000,297500000,4,72,4654441.96,101.18,209200000.0,Cukup,Sangat Tinggi,Sangat Beresiko,kredit usaha,1800,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan bunga sebesar 4% dengan cicilan selama 72 bulan"
Yessi Yuliarti,laki-laki,53,Sudah menikah,5,SMA,8,5000000,2300000,80000000.0,0.2,16000000,64000000,4,48,1445059.5,53.52,108400000.0,Lemah,Rendah,Beresiko,kredit kendaraan bermotor,1750,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 80000000 dengan bunga sebesar 4% dengan cicilan selama 48 bulan"
Rafid Prasetyo,perempuan,32,Sudah menikah,3,S2,5,25500000,7800000,150000000.0,0.2,100000000,400000000,9,72,7210214.87,40.74,538400000.0,Sangat Kuat,Tinggi,Beresiko,kredit kendaraan bermotor,1150,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 9% dengan cicilan selama 72 bulan"
Nilam Thamrin,laki-laki,35,Belum menikah,0,SMA,5,4500000,1600000,140000000.0,0.15,52500000,297500000,7,72,5072079.43,174.9,107800000.0,Lemah,Menengah,Sangat Beresiko,kredit usaha,2050,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan bunga sebesar 7% dengan cicilan selama 72 bulan"
Aurora Mahendra,laki-laki,27,Sudah menikah,3,SMA,6,6000000,1900000,80000000.0,0.2,16000000,64000000,9,48,1592642.71,38.84,135200000.0,Lemah,Rendah,Netral,kredit kendaraan bermotor,1400,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 80000000 dengan bunga sebesar 9% dengan cicilan selama 48 bulan"
Fathonah Sinaga,perempuan,34,Sudah menikah,5,SMA,8,10000000,2600000,110000000.0,0.2,600000,2400000,7,72,40917.62,0.55,227800000.0,Cukup,Menengah,Sangat Baik,kredit usaha,250,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 3000000 dengan bunga sebesar 7% dengan cicilan selama 72 bulan"
Hani Samosir,perempuan,38,Belum menikah,0,D4,0,19500000,9000000,560000000.0,0.2,60000000,240000000,5,48,5527030.46,52.64,416000000.0,Sangat Kuat,Sangat Tinggi,Beresiko,kredit kendaraan bermotor,1200,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 300000000 dengan bunga sebesar 5% dengan cicilan selama 48 bulan"
"R.A. Eva Hardiansyah, M.Farm",perempuan,53,Belum menikah,0,S1,6,24500000,5800000,330000000.0,0.25,200000000,600000000,10,120,7929044.21,42.4,557400000.0,Sangat Kuat,Tinggi,Beresiko,kredit properti,1150,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 800000000 dengan bunga sebesar 10% dengan cicilan selama 120 bulan"
Taswir Wahyudin,laki-laki,41,Sudah menikah,1,SMA,6,4000000,2000000,170000000.0,0.2,16000000,64000000,7,48,1532559.66,76.63,95000000.0,Sangat Lemah,Menengah,Beresiko,kredit kendaraan bermotor,1500,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 80000000 dengan bunga sebesar 7% dengan cicilan selama 48 bulan"
"Prabowo Pertiwi, M.Farm",perempuan,27,Cerai Mati,3,S2,0,18000000,4200000,920000000.0,0.3,150000000,350000000,8,120,4246465.8,30.77,473600000.0,Sangat Kuat,Sangat Tinggi,Baik,kredit properti,600,Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 8% dengan cicilan selama 120 bulan"
Winda Kurniawan,laki-laki,40,Sudah menikah,1,S2,2,19500000,7300000,670000000.0,0.3,150000000,350000000,9,120,4433652.08,36.34,449400000.0,Sangat Kuat,Sangat Tinggi,Netral,kredit properti,1000,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 9% dengan cicilan selama 120 bulan"
Karimah Damanik,perempuan,49,Belum menikah,0,D3,3,16500000,5300000,480000000.0,0.2,60000000,240000000,4,48,5418973.11,48.38,383400000.0,Sangat Kuat,Tinggi,Beresiko,kredit kendaraan bermotor,850,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 300000000 dengan bunga sebesar 4% dengan cicilan selama 48 bulan"
Tgk. Prasetya Wacana,laki-laki,32,Belum menikah,0,SMA,2,5500000,2000000,160000000.0,0.2,70000000,280000000,9,72,5047150.41,144.2,126000000.0,Lemah,Menengah,Sangat Beresiko,kredit usaha,2150,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan bunga sebesar 9% dengan cicilan selama 72 bulan"
Amelia Najmudin,laki-laki,24,Sudah menikah,4,S1,0,7000000,3300000,220000000.0,0.2,70000000,280000000,10,72,5187234.58,140.2,150400000.0,Cukup,Menengah,Sangat Beresiko,kredit usaha,2300,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan bunga sebesar 10% dengan cicilan selama 72 bulan"
R. Gawati Maryadi,laki-laki,47,Sudah menikah,1,S1,8,18500000,10000000,450000000.0,0.2,60000000,240000000,9,48,5972410.17,70.26,377000000.0,Sangat Kuat,Tinggi,Sangat Beresiko,kredit kendaraan bermotor,1800,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 300000000 dengan bunga sebesar 9% dengan cicilan selama 48 bulan"
"Unggul Pranowo, S.Pd",laki-laki,35,Sudah menikah,2,S2,8,32000000,16100000,290000000.0,0.2,100000000,400000000,9,72,7210214.87,45.35,611800000.0,Sangat Kuat,Tinggi,Beresiko,kredit kendaraan bermotor,1150,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 9% dengan cicilan selama 72 bulan"
R.M. Lega Pangestu,perempuan,44,Sudah menikah,2,S2,4,24000000,9000000,620000000.0,0.15,450000,2550000,3,72,38743.87,0.26,534000000.0,Sangat Kuat,Sangat Tinggi,Sangat Baik,kredit usaha,0,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 3000000 dengan bunga sebesar 3% dengan cicilan selama 72 bulan"
"Ella Hastuti, M.M.",perempuan,27,Sudah menikah,3,S1,3,7500000,2400000,100000000.0,0.35,175000000,325000000,7,120,3773525.57,73.99,164200000.0,Cukup,Menengah,Sangat Beresiko,kredit properti,2050,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 7% dengan cicilan selama 120 bulan"
Vivi Pranowo,laki-laki,44,Sudah menikah,1,S1,8,30000000,6600000,150000000.0,0.2,100000000,400000000,10,72,7410335.11,31.67,663800000.0,Sangat Kuat,Tinggi,Netral,kredit kendaraan bermotor,900,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 10% dengan cicilan selama 72 bulan"
Nadine Winarsih,perempuan,32,Cerai Mati,3,D4,5,12500000,2900000,650000000.0,0.2,600000,2400000,8,72,42079.78,0.44,335200000.0,Kuat,Sangat Tinggi,Sangat Baik,kredit usaha,0,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 3000000 dengan bunga sebesar 8% dengan cicilan selama 72 bulan"
Usyi Halim,laki-laki,11,Belum menikah,0,SD,0,4000000,1500000,290000000.0,0.2,70000000,280000000,3,72,4254229.23,170.17,107000000.0,Lemah,Tinggi,Sangat Beresiko,kredit usaha,2050,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan bunga sebesar 3% dengan cicilan selama 72 bulan"
Dariati Usada,laki-laki,32,Sudah menikah,1,SMA,8,12000000,5400000,110000000.0,0.2,60000000,240000000,5,48,5527030.46,83.74,242200000.0,Cukup,Menengah,Sangat Beresiko,kredit kendaraan bermotor,2050,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 300000000 dengan bunga sebesar 5% dengan cicilan selama 48 bulan"
Jono Setiawan,perempuan,34,Sudah menikah,2,SMA,7,7500000,3400000,230000000.0,0.2,70000000,280000000,9,72,5047150.41,123.1,169200000.0,Cukup,Tinggi,Sangat Beresiko,kredit usaha,1800,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan bunga sebesar 9% dengan cicilan selama 72 bulan"
"Cemplunk Padmasari, S.I.Kom",laki-laki,33,Belum menikah,0,D4,7,24500000,9200000,360000000.0,0.2,600000,2400000,9,72,43261.29,0.28,520600000.0,Sangat Kuat,Tinggi,Sangat Baik,kredit usaha,0,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 3000000 dengan bunga sebesar 9% dengan cicilan selama 72 bulan"
Tina Santoso,perempuan,40,Sudah menikah,3,D4,6,25500000,8900000,210000000.0,0.25,200000000,600000000,6,120,6661230.12,40.13,532200000.0,Sangat Kuat,Tinggi,Beresiko,kredit properti,1150,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 800000000 dengan bunga sebesar 6% dengan cicilan selama 120 bulan"
"Dimas Hasanah, S.I.Kom",laki-laki,40,Sudah menikah,2,SMA,4,10000000,5600000,300000000.0,0.2,60000000,240000000,6,48,5636406.97,128.1,206800000.0,Cukup,Sangat Rendah,Sangat Beresiko,kredit kendaraan bermotor,2550,Suspicious,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 300000000 dengan bunga sebesar 6% dengan cicilan selama 48 bulan"
drg. Jaeman Rahayu,laki-laki,24,Sudah menikah,3,S1,0,7000000,3400000,660000000.0,0.15,52500000,297500000,7,72,5072079.43,140.89,193200000.0,Cukup,Sangat Tinggi,Sangat Beresiko,kredit usaha,1750,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan bunga sebesar 7% dengan cicilan selama 72 bulan"
Artanto Nasyiah,perempuan,42,Belum menikah,0,S3,6,47500000,23100000,210000000.0,0.3,240000000,560000000,8,120,6794345.28,27.85,889800000.0,Sangat Kuat,Tinggi,Netral,kredit properti,800,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 800000000 dengan bunga sebesar 8% dengan cicilan selama 120 bulan"
Salimah Marbun,laki-laki,30,Sudah menikah,4,S1,5,11500000,6200000,350000000.0,0.25,75000000,225000000,5,48,5181591.05,97.77,241600000.0,Cukup,Tinggi,Sangat Beresiko,kredit kendaraan bermotor,1800,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 300000000 dengan bunga sebesar 5% dengan cicilan selama 48 bulan"
Saadat Dongoran,perempuan,26,Belum menikah,0,SMA,4,7500000,4000000,250000000.0,0.3,150000000,350000000,11,120,4821250.4,137.75,161000000.0,Cukup,Sangat Rendah,Sangat Beresiko,kredit properti,2550,Suspicious,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 11% dengan cicilan selama 120 bulan"
Dr. Lutfan Dabukke,laki-laki,21,Sudah menikah,4,SMA,1,6000000,3100000,200000000.0,0.2,16000000,64000000,4,48,1445059.5,49.83,127800000.0,Lemah,Sangat Rendah,Beresiko,kredit kendaraan bermotor,1700,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 80000000 dengan bunga sebesar 4% dengan cicilan selama 48 bulan"
Bella Sirait,laki-laki,22,Sudah menikah,4,SMA,2,4500000,1600000,300000000.0,0.2,16000000,64000000,7,48,1532559.66,52.85,120800000.0,Lemah,Tinggi,Beresiko,kredit kendaraan bermotor,1050,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 80000000 dengan bunga sebesar 7% dengan cicilan selama 48 bulan"
"Ismail Gunarto, S.E.",perempuan,37,Sudah menikah,5,S1,6,32500000,12300000,600000000.0,0.2,100000000,400000000,7,72,6819602.59,33.76,698400000.0,Sangat Kuat,Sangat Tinggi,Netral,kredit kendaraan bermotor,900,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 7% dengan cicilan selama 72 bulan"
Usyi Wacana,perempuan,36,Belum menikah,0,D4,5,15500000,7900000,490000000.0,0.3,150000000,350000000,12,120,5021483.19,66.07,331200000.0,Kuat,Tinggi,Sangat Beresiko,kredit properti,1500,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 12% dengan cicilan selama 120 bulan"
"Cinthia Maulana, S.H.",laki-laki,34,Belum menikah,0,S1,6,32000000,15500000,190000000.0,0.15,450000,2550000,8,72,44709.76,0.27,607000000.0,Sangat Kuat,Tinggi,Sangat Baik,kredit usaha,0,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 3000000 dengan bunga sebesar 8% dengan cicilan selama 72 bulan"
Icha Santoso,perempuan,20,Sudah menikah,3,D3,0,18500000,8400000,100000000.0,0.2,60000000,240000000,6,48,5636406.97,55.81,353200000.0,Sangat Kuat,Menengah,Beresiko,kredit kendaraan bermotor,1750,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 300000000 dengan bunga sebesar 6% dengan cicilan selama 48 bulan"
Talia Uyainah,laki-laki,46,Belum menikah,0,S1,5,7500000,2200000,580000000.0,0.2,16000000,64000000,4,48,1445059.5,27.27,216600000.0,Cukup,Sangat Tinggi,Sangat Baik,kredit kendaraan bermotor,0,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 80000000 dengan bunga sebesar 4% dengan cicilan selama 48 bulan"
Balidin Gunawan,perempuan,46,Belum menikah,0,S1,2,17000000,3800000,330000000.0,0.3,150000000,350000000,7,120,4063796.77,30.79,397400000.0,Sangat Kuat,Tinggi,Netral,kredit properti,1000,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 7% dengan cicilan selama 120 bulan"
Adhiarja Nugroho,laki-laki,32,Belum menikah,0,S2,5,27000000,9200000,640000000.0,0.15,450000,2550000,10,72,47240.89,0.27,606600000.0,Sangat Kuat,Sangat Tinggi,Sangat Baik,kredit usaha,0,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 3000000 dengan bunga sebesar 10% dengan cicilan selama 72 bulan"
