collector_name,collector_address,collector_number,collector_nik,collector_zip,collector_rt,collector_rw,collector_birth_place,collector_age,collector_marital_status,collector_gender,collector_location,collector_vehicle,collector_id,collector_location_coord,workload_score
Lisa Cameron,"Jl. Rungkut Industri No. 2
Tanjungpinang, Kalimantan Selatan 66257",+62 (88) 206-1467,6931082148285072,66257,11,16,"Sulawesi Selatan, 01-04-1997",26,Belum menikah,perempuan,Mataram,Punya,C0251,-8.5837726:116.10685,697.3502477774455
Andrew Smith,"Gang Pasirkoja No. 3
Parepare, Kalimantan Selatan 58520",+62 (0626) 981 8168,2541144493045320,58520,1,6,"Lampung, 16-06-1986",37,Menikah,perempuan,Semarang,Punya,C0252,-6.9903988:110.4229104,607.305742145516
Tiffany Patton,"Gang Suryakencana No. 8
Makassar, Lampung 58295",+62-018-406-4557,6265898252821463,58295,16,10,"Jambi, 11-05-1971",52,Cerai mati,laki-laki,Balikpapan,Punya,C0253,-1.2398711:116.8593379,639.445193118212
Roy Wood,"Jl. Veteran No. 2
Magelang, Gorontalo 84139",+62 (092) 363 6249,7939154392066311,84139,12,8,"Riau, 08-11-1966",57,Cerai mati,perempuan,Batam,Punya,C0254,1.1030815:104.0383696,346.6366636362218
Sean Wilcox,"Jalan Surapati No. 3
Padang Sidempuan, GO 33119",+62 (99) 757-2005,9971438022096582,33119,12,4,"Papua, 12-10-1976",47,Cerai mati,perempuan,Jakarta,Punya,C0255,-6.175247:106.8270488,134.09013658866752
Julia Snyder,"Gang Siliwangi No. 29
Langsa, NB 35210",+62-008-229-8602,4246964417896821,35210,16,8,"Kalimantan Timur, 30-12-1994",29,Cerai mati,laki-laki,Semarang,Tidak Punya,C0256,-6.9903988:110.4229104,734.172281176754
Kathleen Hood,"Jl. Dipatiukur No. 4
Sibolga, Sulawesi Utara 49337",+62 (292) 936 8601,9980027503610454,49337,9,19,"Maluku, 05-01-1970",53,Cerai mati,laki-laki,Semarang,Punya,C0257,-6.9903988:110.4229104,365.2083908217901
Barbara Romero,"Jl. Rawamangun No. 7
Cirebon, Nusa Tenggara Barat 32475",+62-10-055-6014,5354958347179586,32475,1,6,"Lampung, 24-08-1968",55,Cerai hidup,perempuan,Pontianak,Punya,C0258,-0.0226903:109.3447488,557.7250363784551
Todd Rollins,"Gang Pacuan Kuda No. 257
Yogyakarta, Nusa Tenggara Timur 06481",+62-72-111-0687,1041912238494388,6481,19,16,"Nusa Tenggara Timur, 14-09-1993",30,Cerai hidup,perempuan,Makassar,Punya,C0259,-5.1342962:119.4124282,447.91922514743055
Christopher Martin,"Gang Monginsidi No. 660
Bekasi, KT 51375",+62-0572-739-4967,2954538518885139,51375,7,1,"Kalimantan Barat, 22-09-1982",41,Cerai hidup,perempuan,Malang,Punya,C0260,-7.9771206:112.6340291,577.3781892477709
Madeline Davis,"Gg. Moch. Toha No. 04
Tasikmalaya, LA 79428",+62 (30) 958-9355,6163567560490933,79428,14,2,"Jambi, 19-11-1960",63,Menikah,laki-laki,Mataram,Punya,C0261,-8.5837726:116.10685,282.13979397932417
Melissa Griffith,"Gang Jayawijaya No. 6
Cimahi, Papua 21910",+62 (865) 062-1444,8910248967323838,21910,5,15,"Lampung, 22-01-1997",26,Cerai mati,laki-laki,Pontianak,Punya,C0262,-0.0226903:109.3447488,791.5764459866914
Autumn Steele,"Jalan Kiaracondong No. 27
Banjarbaru, JA 89280",+62-0687-707-2821,3892176700770790,89280,6,17,"Papua Barat, 24-03-1984",39,Menikah,perempuan,Balikpapan,Punya,C0263,-1.2398711:116.8593379,607.1236162674031
Ross Skinner,"Jl. Surapati No. 175
Subulussalam, SB 04699",+62-083-591-5431,8702574447503567,4699,11,2,"Maluku Utara, 10-01-1960",63,Cerai mati,perempuan,Jakarta,Punya,C0264,-6.175247:106.8270488,261.39980746849324
Nicole Robertson,"Gg. Cempaka No. 87
Kendari, Kalimantan Tengah 71956",+62 (91) 164-1774,4706834477773331,71956,5,14,"Kalimantan Tengah, 10-04-1973",50,Cerai mati,perempuan,Manado,Punya,C0265,1.4900578:124.8408708,629.2870040286216
Shawn Smith,"Jalan Pelajar Pejuang No. 505
Lubuklinggau, BB 57684",+62 (062) 722 2810,1614200351151072,57684,11,8,"Kalimantan Timur, 31-07-1988",35,Belum menikah,laki-laki,Balikpapan,Punya,C0266,-1.2398711:116.8593379,320.4707704260072
Sherry Russell,"Gg. Joyoboyo No. 6
Palangkaraya, Kalimantan Tengah 64617",+62 (0519) 501-8042,5806699780508751,64617,3,8,"Nusa Tenggara Barat, 27-02-1993",30,Cerai hidup,perempuan,Bogor,Punya,C0267,-6.5962986:106.7972421,387.3448401271016
Alyssa Tucker,"Jl. K.H. Wahid Hasyim No. 2
Kotamobagu, PB 78325",+62 (009) 768 9248,2733616991694060,78325,20,9,"Lampung, 19-06-1961",62,Menikah,laki-laki,Malang,Punya,C0268,-7.9771206:112.6340291,225.69161396520207
Phyllis James,"Gg. R.E Martadinata No. 25
Sabang, Maluku 25271",+62-39-175-9886,2220401100306503,25271,1,13,"DKI Jakarta, 20-11-1968",55,Cerai hidup,perempuan,Balikpapan,Punya,C0269,-1.2398711:116.8593379,493.13291461835615
Jason Chen,"Gang Rumah Sakit No. 65
Purwokerto, Kepulauan Riau 64178",+62 (151) 588 9984,9266861992234915,64178,15,11,"Gorontalo, 17-04-1973",50,Cerai mati,laki-laki,Makassar,Punya,C0270,-5.1342962:119.4124282,789.2197632553289
Ashley Phelps,"Jl. Surapati No. 4
Malang, Kalimantan Utara 28367",+62 (09) 896-4215,8796843768957851,28367,14,6,"Gorontalo, 01-12-1988",35,Belum menikah,laki-laki,Bekasi,Punya,C0271,-6.2349858:106.9945444,837.4516592934087
David Mullins,"Jl. Rungkut Industri No. 46
Tangerang Selatan, SN 36089",+62 (0059) 466 0689,4525943295713552,36089,8,8,"Sulawesi Barat, 03-08-1987",36,Menikah,perempuan,Bekasi,Punya,C0272,-6.2349858:106.9945444,603.5863975631364
Janice Young,"Jalan Jend. A. Yani No. 226
Prabumulih, Sumatera Selatan 81491",+62 (800) 825-0881,6891295931920277,81491,14,14,"Riau, 21-05-1990",33,Menikah,perempuan,Semarang,Punya,C0273,-6.9903988:110.4229104,117.41664583660896
Molly Torres,"Gang Antapani Lama No. 936
Sukabumi, BB 06208",+62 (04) 278 1979,4596584838349270,6208,7,17,"Nusa Tenggara Barat, 24-02-1975",48,Menikah,laki-laki,Tangerang,Tidak Punya,C0274,-6.1761924:106.6382161,745.1199486594705
Glenn Little,"Gg. Cempaka No. 3
Kendari, Gorontalo 71151",+62-638-756-6005,4626967386144850,71151,17,9,"Gorontalo, 30-01-1971",52,Belum menikah,laki-laki,Surabaya,Punya,C0275,-7.2459717:112.7378266,558.6318034755823
Jacob Walker,"Gang Joyoboyo No. 80
Depok, JT 20320",+62 (0783) 191 0403,3105927401601841,20320,4,7,"Jawa Barat, 26-02-1998",25,Menikah,laki-laki,Jakarta,Punya,C0276,-6.175247:106.8270488,444.2667874448816
Jessica Choi,"Jalan S. Parman No. 065
Subulussalam, Kalimantan Timur 37978",+62 (65) 356-3631,6838371013322065,37978,2,9,"DI Yogyakarta, 28-02-1998",25,Menikah,perempuan,Samarinda,Punya,C0277,-0.5017804:117.1393089,369.08319657537504
Kimberly Adams,"Jl. Raya Setiabudhi No. 5
Sibolga, SB 96657",+62 (0427) 103 1711,4646996386704915,96657,12,15,"Sumatera Utara, 10-10-1969",54,Belum menikah,laki-laki,Bekasi,Punya,C0278,-6.2349858:106.9945444,412.1479384828126
Sandra Trevino,"Gg. Kutai No. 85
Lhokseumawe, JT 92819",+62-589-577-5084,2004869612711883,92819,13,2,"Sulawesi Tenggara, 01-08-1963",60,Menikah,perempuan,Medan,Punya,C0279,3.5896654:98.6738261,543.6906658256485
Tracy Park,"Gg. Pasirkoja No. 10
Pasuruan, KR 67808",+62-810-990-0381,4702013994009534,67808,16,10,"Sumatera Selatan, 15-12-1971",52,Cerai hidup,perempuan,Tangerang,Punya,C0280,-6.1761924:106.6382161,474.3082360060071
Hannah Bailey,"Jl. Rajawali Barat No. 5
Pagaralam, Maluku 09322",+62 (51) 270-9075,5998170338762991,9322,11,14,"Kalimantan Barat, 15-03-1963",60,Menikah,perempuan,Jakarta,Punya,C0281,-6.175247:106.8270488,342.2897795357567
Brianna Jackson,"Gang Kutisari Selatan No. 41
Pontianak, LA 86511",+62 (277) 871 1737,3043866057710274,86511,19,7,"Sumatera Selatan, 03-12-1988",35,Menikah,perempuan,Pontianak,Punya,C0282,-0.0226903:109.3447488,361.5733202241827
Emma Arroyo,"Gg. Kapten Muslihat No. 74
Surakarta, SB 97068",+62-47-628-1050,7460721212830039,97068,1,3,"Sulawesi Utara, 29-10-1966",57,Belum menikah,laki-laki,Yogyakarta,Punya,C0283,-7.9778383999999996:110.36722565020224,620.3662685230665
John Mann,"Gang Cikutra Timur No. 642
Padang, NB 81002",+62-142-384-1300,8944491328708540,81002,9,17,"Nusa Tenggara Barat, 22-01-1982",41,Belum menikah,perempuan,Makassar,Punya,C0284,-5.1342962:119.4124282,635.5831511312281
Thomas Wolf,"Gang Jend. Sudirman No. 097
Madiun, PA 68046",+62 (912) 662-8350,1171293840201162,68046,11,6,"Sulawesi Tengah, 19-10-1961",62,Cerai mati,laki-laki,Batam,Tidak Punya,C0285,1.1030815:104.0383696,465.3913691185298
Matthew Dorsey,"Jl. Sadang Serang No. 7
Bandung, BB 22109",+62 (0753) 152-3630,5514201369256381,22109,16,4,"Sulawesi Tengah, 26-06-1979",44,Menikah,perempuan,Malang,Punya,C0286,-7.9771206:112.6340291,733.052164567518
Christopher Smith,"Gang Medokan Ayu No. 9
Pariaman, KS 85573",+62 (67) 726 9783,8018118676497235,85573,2,19,"Kalimantan Barat, 02-05-1984",39,Belum menikah,perempuan,Palembang,Tidak Punya,C0287,-2.9888243:104.7568507,530.7290388958354
Joseph Macias,"Gang Cihampelas No. 1
Tebingtinggi, Banten 39374",+62-090-840-3306,7221636184544181,39374,16,6,"Sulawesi Utara, 01-09-1965",58,Cerai hidup,laki-laki,Bekasi,Punya,C0288,-6.2349858:106.9945444,243.8936314808961
Cynthia Rojas,"Jl. Pasirkoja No. 3
Kediri, DKI Jakarta 88758",+62 (041) 941-3707,9731487261010740,88758,3,3,"Sumatera Selatan, 08-01-2000",23,Cerai mati,perempuan,Bandung,Punya,C0289,-6.9215529:107.6110212,501.3371470046113
Linda George,"Jl. Dr. Djunjunan No. 71
Tarakan, Nusa Tenggara Barat 67280",+62 (300) 745-7022,8461452181939302,67280,20,1,"Jawa Barat, 30-08-1989",34,Cerai mati,laki-laki,Samarinda,Punya,C0290,-0.5017804:117.1393089,516.128581770492
Shelley Martin,"Gang Astana Anyar No. 572
Makassar, Sulawesi Tengah 48288",+62-842-758-2261,2595135134181435,48288,8,12,"Sulawesi Tenggara, 21-12-1993",30,Cerai mati,laki-laki,Palembang,Punya,C0291,-2.9888243:104.7568507,449.7562458287284
Nicholas Williams,"Gang Wonoayu No. 456
Banjar, GO 33756",+62 (646) 002-0341,5332960259785819,33756,2,19,"Riau, 26-12-1994",29,Belum menikah,laki-laki,Malang,Tidak Punya,C0292,-7.9771206:112.6340291,323.12767521006754
Ryan Williams,"Jalan BKR No. 8
Banjarmasin, SN 06183",+62-0285-112-0023,1643037991249693,6183,10,4,"Sumatera Barat, 07-06-1987",36,Cerai mati,laki-laki,Pontianak,Punya,C0293,-0.0226903:109.3447488,729.3259815034398
Gary Cabrera MD,"Gg. Jakarta No. 9
Dumai, NT 16276",+62 (0089) 779-4016,1975561694121801,16276,17,8,"Maluku, 27-05-1992",31,Menikah,laki-laki,Malang,Punya,C0294,-7.9771206:112.6340291,432.39694992880686
Dr. Lisa Martinez,"Gang Suniaraja No. 1
Blitar, Banten 08367",+62 (13) 730 8274,2841793914950183,8367,20,6,"Nusa Tenggara Timur, 09-03-1998",25,Menikah,laki-laki,Balikpapan,Punya,C0295,-1.2398711:116.8593379,772.7538966049615
Brittany Little,"Gang Rawamangun No. 3
Batam, RI 34230",+62-0182-772-1287,3920291698011002,34230,7,13,"Riau, 06-03-1996",27,Cerai mati,perempuan,Tangerang,Punya,C0296,-6.1761924:106.6382161,317.78348389081657
Karl Rose,"Gg. Cihampelas No. 1
Sorong, JK 03229",+62 (0358) 824-2929,1462567727968844,3229,20,7,"Maluku, 27-06-1982",41,Belum menikah,perempuan,Surabaya,Punya,C0297,-7.2459717:112.7378266,627.8408538471558
Nicole Curtis,"Jl. Gegerkalong Hilir No. 67
Kota Administrasi Jakarta Barat, NT 19288",+62-0206-437-0833,2943152806028330,19288,14,18,"Aceh, 09-04-1962",61,Cerai mati,perempuan,Manado,Punya,C0298,1.4900578:124.8408708,238.8695782944269
Kimberly Finley,"Jalan W.R. Supratman No. 531
Bitung, SU 59334",+62-302-381-3476,6444575330097188,59334,6,16,"Kepulauan Bangka Belitung, 09-02-1988",35,Cerai mati,perempuan,Surabaya,Punya,C0299,-7.2459717:112.7378266,309.44141562323784
Krystal Torres,"Jalan Ciumbuleuit No. 80
Prabumulih, Maluku Utara 94460",+62-284-914-3235,8532306074220284,94460,8,12,"Jawa Timur, 08-03-1971",52,Cerai hidup,perempuan,Samarinda,Punya,C0300,-0.5017804:117.1393089,611.5997271727247
Pamela Frost,"Jl. Antapani Lama No. 9
Jayapura, Sulawesi Utara 68712",+62-024-682-5185,1178332055307191,68712,17,7,"Kalimantan Timur, 24-11-1966",57,Cerai hidup,laki-laki,Balikpapan,Punya,C0301,-1.2398711:116.8593379,412.5216950629838
Samantha Boyd,"Jl. Rajawali Timur No. 366
Kota Administrasi Jakarta Barat, Jawa Barat 20154",+62-648-122-0999,8553167165269138,20154,2,15,"Nusa Tenggara Timur, 14-05-1981",42,Belum menikah,perempuan,Samarinda,Punya,C0302,-0.5017804:117.1393089,256.3930007876188
Ms. Kristina King,"Jl. Pacuan Kuda No. 497
Blitar, Papua Barat 62913",+62 (816) 168 7175,2978906840578507,62913,17,6,"Gorontalo, 26-01-1997",26,Belum menikah,perempuan,Tangerang,Punya,C0303,-6.1761924:106.6382161,514.8621410506021
April Riggs,"Gg. Cihampelas No. 912
Pangkalpinang, Kepulauan Riau 13921",+62 (0246) 084 3802,4604769805801791,13921,14,5,"DKI Jakarta, 14-08-1962",61,Cerai mati,perempuan,Batam,Punya,C0304,1.1030815:104.0383696,296.04818348999834
Charles Sanchez DVM,"Gang Sadang Serang No. 00
Kota Administrasi Jakarta Timur, BA 99893",+62 (0806) 987 3942,1137494441962592,99893,3,18,"Kalimantan Selatan, 06-04-1961",62,Cerai hidup,perempuan,Bandung,Punya,C0305,-6.9215529:107.6110212,425.5870305964781
Kimberly Brown,"Gang Jend. A. Yani No. 79
Banjarbaru, SB 98672",+62 (770) 509-2832,2688251115013398,98672,5,2,"Riau, 25-05-1966",57,Menikah,laki-laki,Bandung,Punya,C0306,-6.9215529:107.6110212,721.0600601632323
Don Hayes,"Gg. Dr. Djunjunan No. 3
Madiun, Riau 40416",+62 (0329) 685-7208,3544785156358044,40416,9,4,"Jawa Tengah, 14-01-1974",49,Menikah,perempuan,Malang,Punya,C0307,-7.9771206:112.6340291,639.5421331850812
Melinda Taylor,"Jl. Dipatiukur No. 764
Magelang, Sulawesi Utara 85863",+62-645-198-0765,9582575708669893,85863,16,14,"DKI Jakarta, 22-08-1981",42,Menikah,perempuan,Tangerang,Punya,C0308,-6.1761924:106.6382161,442.4201340356376
Tanya Diaz,"Gg. Ahmad Dahlan No. 855
Payakumbuh, Maluku Utara 97397",+62 (086) 042-2593,9113379790457040,97397,16,2,"Papua Barat, 08-05-1963",60,Belum menikah,laki-laki,Manado,Punya,C0309,1.4900578:124.8408708,533.2725973646156
Thomas Murray,"Jalan S. Parman No. 82
Probolinggo, DI Yogyakarta 61055",+62 (673) 274-2053,5179231174499097,61055,18,18,"Gorontalo, 28-09-1971",52,Belum menikah,perempuan,Makassar,Tidak Punya,C0310,-5.1342962:119.4124282,514.5230009966181
Allison Gomez,"Gang Suryakencana No. 23
Ambon, Jawa Barat 30010",+62 (0744) 012 3961,9003113786928266,30010,7,6,"DI Yogyakarta, 24-03-1984",39,Menikah,laki-laki,Pekanbaru,Punya,C0311,0.5262455:101.4515727,448.7256652836513
Andre Gonzalez,"Jalan HOS. Cokroaminoto No. 0
Lhokseumawe, SG 17357",+62 (05) 811-6982,9709798564690434,17357,20,13,"Jawa Barat, 05-12-1993",30,Cerai mati,laki-laki,Surabaya,Punya,C0312,-7.2459717:112.7378266,433.0892461623298
Kathleen Weiss,"Gang Joyoboyo No. 12
Gorontalo, KU 80899",+62 (23) 580 7931,1387349713527734,80899,15,13,"Gorontalo, 07-06-1974",49,Cerai mati,perempuan,Samarinda,Punya,C0313,-0.5017804:117.1393089,403.3801447135338
Michael Parker,"Jalan Siliwangi No. 512
Bukittinggi, Sulawesi Tenggara 93912",+62 (0537) 175 6446,4846502628134711,93912,15,8,"Aceh, 22-04-1984",39,Menikah,laki-laki,Medan,Punya,C0314,3.5896654:98.6738261,532.1466108371678
Jordan Sanders,"Gg. Lembong No. 550
Bima, RI 71203",+62 (795) 185-2179,4134012728668781,71203,2,14,"Bengkulu, 28-03-1982",41,Belum menikah,perempuan,Mataram,Punya,C0315,-8.5837726:116.10685,221.9725717899564
David Hernandez,"Jl. Suniaraja No. 5
Malang, Kepulauan Riau 10943",+62 (0417) 476 9303,1689651141430971,10943,19,17,"Banten, 11-12-1978",45,Cerai mati,perempuan,Tangerang,Punya,C0316,-6.1761924:106.6382161,402.3738325030136
Jamie Green,"Gg. Kutai No. 915
Kota Administrasi Jakarta Pusat, Riau 51981",+62 (35) 892-0563,5220877442671460,51981,9,5,"Sumatera Utara, 11-08-1996",27,Menikah,perempuan,Mataram,Punya,C0317,-8.5837726:116.10685,478.3954148153716
Paula Cowan,"Jalan Kapten Muslihat No. 8
Pariaman, Sumatera Selatan 43530",+62-672-535-8359,6949964525064631,43530,20,15,"Sumatera Utara, 26-01-1990",33,Cerai hidup,laki-laki,Bandung,Punya,C0318,-6.9215529:107.6110212,476.7869187540782
Elizabeth Perkins,"Gg. Indragiri No. 780
Pangkalpinang, SU 64094",+62 (0025) 016-8729,9587051419601584,64094,10,18,"Sumatera Selatan, 14-06-1968",55,Menikah,laki-laki,Tangerang,Punya,C0319,-6.1761924:106.6382161,476.84513876677374
Michelle Davidson,"Gang Jamika No. 14
Bitung, Kalimantan Barat 88451",+62 (001) 230 4048,3222785214905435,88451,14,7,"Aceh, 02-10-1979",44,Cerai hidup,laki-laki,Palembang,Punya,C0320,-2.9888243:104.7568507,477.55038111124304
Kelsey Stewart,"Gg. Asia Afrika No. 483
Padang Sidempuan, SS 56589",+62-071-271-5627,3109339214668115,56589,20,5,"Bali, 21-12-1983",40,Belum menikah,laki-laki,Manado,Punya,C0321,1.4900578:124.8408708,535.318636904296
Debbie King,"Gang Otto Iskandardinata No. 646
Kendari, KI 40031",+62 (34) 114 6661,1255634683755959,40031,7,6,"Papua Barat, 10-04-1976",47,Menikah,laki-laki,Yogyakarta,Punya,C0322,-7.9778383999999996:110.36722565020224,405.0168653544679
Joshua Melton,"Gang Gedebage Selatan No. 7
Serang, Kalimantan Utara 60751",+62-0957-121-2272,7613216931667857,60751,6,8,"Gorontalo, 27-10-1977",46,Cerai hidup,perempuan,Balikpapan,Punya,C0323,-1.2398711:116.8593379,466.6861250202637
Bradley Davenport,"Jalan Dr. Djunjunan No. 36
Mataram, KU 86088",+62 (0329) 399 5359,1425900810122933,86088,9,3,"Papua Barat, 22-08-1970",53,Belum menikah,perempuan,Bekasi,Punya,C0324,-6.2349858:106.9945444,438.2812333887268
Kayla Beck,"Gg. W.R. Supratman No. 9
Tidore Kepulauan, SB 71775",+62 (47) 843-4929,6327465201654780,71775,2,14,"Lampung, 29-06-1993",30,Belum menikah,perempuan,Bekasi,Punya,C0325,-6.2349858:106.9945444,467.068012896605
Kelly Johnson,"Gang Rawamangun No. 3
Binjai, JI 25091",+62 (047) 280-8590,3511042385944306,25091,8,1,"Sumatera Utara, 26-09-1997",26,Cerai mati,laki-laki,Malang,Punya,C0326,-7.9771206:112.6340291,752.7665791480104
David Davis,"Gang Indragiri No. 50
Kediri, DKI Jakarta 86947",+62-073-601-3053,5207515033162333,86947,20,16,"Riau, 31-05-1996",27,Cerai hidup,perempuan,Palembang,Punya,C0327,-2.9888243:104.7568507,309.8589750214014
Aaron Smith,"Jalan Dipatiukur No. 420
Magelang, SN 58899",+62-780-896-5957,7334304156619216,58899,9,13,"Sulawesi Tenggara, 22-01-1968",55,Cerai mati,perempuan,Bekasi,Punya,C0328,-6.2349858:106.9945444,173.46601910729078
Amy Garcia,"Jalan Joyoboyo No. 148
Bau-Bau, Kalimantan Timur 13751",+62 (764) 527-8426,6396965530472026,13751,7,10,"Kalimantan Tengah, 27-09-1981",42,Menikah,perempuan,Manado,Punya,C0329,1.4900578:124.8408708,499.0902665437607
Tiffany Reynolds,"Gg. Rumah Sakit No. 08
Ambon, KI 87852",+62-69-835-6818,1381507632327252,87852,17,2,"Lampung, 08-02-1987",36,Menikah,perempuan,Tangerang,Punya,C0330,-6.1761924:106.6382161,661.1605753653275
Timothy Reyes,"Jalan R.E Martadinata No. 2
Kota Administrasi Jakarta Utara, Kalimantan Utara 54795",+62 (0107) 231 4943,9887182960713002,54795,10,4,"Banten, 15-11-1984",39,Cerai hidup,laki-laki,Mataram,Punya,C0331,-8.5837726:116.10685,443.9417648787203
David Riddle,"Jl. M.H Thamrin No. 8
Dumai, NT 18181",+62-42-443-9958,8216751293404544,18181,9,19,"Maluku Utara, 04-10-1980",43,Cerai hidup,perempuan,Bogor,Punya,C0332,-6.5962986:106.7972421,715.4207529532723
Donna Valenzuela,"Gg. Sukabumi No. 76
Tanjungpinang, GO 41880",+62-57-262-4548,4312737149913741,41880,3,20,"Jawa Barat, 23-01-1968",55,Belum menikah,perempuan,Pekanbaru,Punya,C0333,0.5262455:101.4515727,286.2190255591413
Matthew Reynolds,"Jl. Yos Sudarso No. 73
Banjar, NB 90211",+62 (021) 090-8086,8093511192487290,90211,11,8,"Sulawesi Tengah, 30-03-1987",36,Cerai hidup,laki-laki,Semarang,Tidak Punya,C0334,-6.9903988:110.4229104,513.1281147197005
Heather Lopez,"Jl. Suryakencana No. 5
Palembang, PA 41094",+62 (061) 823-0464,9536959343396178,41094,9,13,"Aceh, 17-05-1975",48,Menikah,perempuan,Pekanbaru,Punya,C0335,0.5262455:101.4515727,869.9365982873132
John Nelson,"Gg. Kutai No. 277
Purwokerto, Kalimantan Barat 76689",+62 (60) 156 1940,5837212729294762,76689,3,20,"Jawa Barat, 12-12-1981",42,Cerai mati,perempuan,Bogor,Tidak Punya,C0336,-6.5962986:106.7972421,622.6784174236818
Kenneth Thomas,"Gang Lembong No. 507
Payakumbuh, Kepulauan Bangka Belitung 38401",+62 (315) 500-2937,8321308439912752,38401,7,11,"Sulawesi Selatan, 30-05-1964",59,Belum menikah,laki-laki,Pontianak,Punya,C0337,-0.0226903:109.3447488,622.4298410731717
Antonio Newman,"Jl. Laswi No. 23
Cilegon, KR 90007",+62 (002) 832-3313,6886730401951487,90007,19,17,"DKI Jakarta, 02-10-1987",36,Belum menikah,laki-laki,Semarang,Punya,C0338,-6.9903988:110.4229104,583.8372013127664
Stephanie Dennis,"Jalan Pelajar Pejuang No. 2
Dumai, Kalimantan Tengah 06298",+62 (019) 966 2806,4004258106526950,6298,4,5,"Kalimantan Tengah, 15-06-1981",42,Belum menikah,perempuan,Depok,Punya,C0339,-6.40719:106.8158371,503.46242059418
Patricia Williams,"Jalan Cikutra Barat No. 57
Sorong, BA 33651",+62 (0989) 381 6613,9897271262184337,33651,14,5,"Sumatera Selatan, 13-04-1973",50,Belum menikah,laki-laki,Pekanbaru,Punya,C0340,0.5262455:101.4515727,746.3509250737552
Laura Perez,"Jalan Dr. Djunjunan No. 5
Banjarmasin, Sulawesi Tengah 33189",+62-026-214-8557,8949442552641417,33189,6,7,"Jawa Timur, 20-01-1978",45,Belum menikah,perempuan,Manado,Punya,C0341,1.4900578:124.8408708,530.7026504474634
Susan Rogers,"Jl. Rumah Sakit No. 556
Tual, Jambi 56209",+62 (307) 692-0486,5238372761558721,56209,5,4,"Kalimantan Selatan, 22-10-1998",25,Cerai hidup,perempuan,Medan,Punya,C0342,3.5896654:98.6738261,666.8315895331616
Kevin Wright,"Gg. Tubagus Ismail No. 43
Padang Sidempuan, YO 51944",+62-195-714-7721,1813687358724910,51944,15,3,"Kalimantan Utara, 29-03-1974",49,Menikah,perempuan,Tangerang,Punya,C0343,-6.1761924:106.6382161,711.9207029481186
Daniel Smith,"Jl. Cempaka No. 670
Tanjungpinang, PA 25191",+62-721-269-7447,9991172195459546,25191,20,13,"Sulawesi Tengah, 27-08-1960",63,Belum menikah,laki-laki,Makassar,Punya,C0344,-5.1342962:119.4124282,469.414805716282
Charles Howe DDS,"Jl. HOS. Cokroaminoto No. 7
Madiun, SU 88664",+62 (071) 413 7684,5311081542985915,88664,12,6,"Sulawesi Tenggara, 22-06-1974",49,Belum menikah,laki-laki,Palembang,Punya,C0345,-2.9888243:104.7568507,477.9784574248188
Angela Mccormick,"Jl. Suryakencana No. 514
Tangerang, JK 21875",+62 (0718) 933 8913,5210723711007111,21875,19,2,"Sulawesi Tengah, 27-03-1977",46,Belum menikah,perempuan,Yogyakarta,Punya,C0346,-7.9778383999999996:110.36722565020224,671.7931012181216
Nicholas Anderson,"Jalan Kutai No. 994
Purwokerto, Riau 87372",+62-010-864-2062,6023872665897721,87372,17,20,"Aceh, 29-10-1970",53,Cerai hidup,laki-laki,Pontianak,Punya,C0347,-0.0226903:109.3447488,698.5632508167182
Louis Hammond,"Jalan Otto Iskandardinata No. 365
Malang, SR 32592",+62 (25) 701 5132,9087217188870798,32592,14,11,"Jambi, 16-07-1990",33,Cerai mati,perempuan,Semarang,Punya,C0348,-6.9903988:110.4229104,575.9204974716413
Brian Greene,"Jalan Laswi No. 234
Bontang, Kalimantan Utara 81184",+62 (057) 216 1585,9754455946250615,81184,5,13,"Kalimantan Timur, 18-01-2000",23,Belum menikah,laki-laki,Malang,Punya,C0349,-7.9771206:112.6340291,290.64705867509474
Jason Sandoval,"Gang BKR No. 494
Mataram, JA 45646",+62 (0264) 107-1385,2944029182706783,45646,7,18,"Sulawesi Tenggara, 09-07-1985",38,Cerai hidup,perempuan,Palembang,Punya,C0350,-2.9888243:104.7568507,479.0080780971039
James Obrien,"Gang Pasir Koja No. 34
Pariaman, KB 41900",+62-33-005-5284,7558798809994789,41900,7,7,"Kalimantan Tengah, 07-09-1978",45,Cerai mati,perempuan,Tangerang,Punya,C0351,-6.1761924:106.6382161,631.2212324459688
Paul Moore,"Jalan Bangka Raya No. 1
Ternate, JI 48352",+62-24-188-4269,3064010227535237,48352,6,11,"Nusa Tenggara Timur, 15-11-1961",62,Menikah,laki-laki,Semarang,Tidak Punya,C0352,-6.9903988:110.4229104,574.8188758234319
Jerome Fletcher,"Gg. Tebet Barat Dalam No. 1
Tidore Kepulauan, Kalimantan Tengah 70520",+62 (060) 576-6979,8502228016503727,70520,15,11,"Banten, 08-01-1985",38,Cerai hidup,perempuan,Bekasi,Punya,C0353,-6.2349858:106.9945444,381.6073175420461
Angelica Barnes,"Gg. Pasteur No. 80
Palu, KS 41985",+62 (0010) 139 3412,9518131816430677,41985,4,14,"Nusa Tenggara Timur, 26-02-1982",41,Belum menikah,perempuan,Tangerang,Tidak Punya,C0354,-6.1761924:106.6382161,487.4989703456522
