collector_name,collector_number,collector_address,collector_nik,collector_gender,collector_education_level,collector_location,action_code_history,collector_personality,collector_martial_status
Javier Hahn,(0163) 889 2406,"Jalan Cikapayang No. 980
Blitar, BA 76899",9059431247077651,laki-laki,SMA,Depok,DISP,kalem,Belum menikah
Kelly Sherman,0812295721,"Gg. Ir. H. Djuanda No. 32
Pangkalpinang, Sulawesi Selatan 17611",5201450328829311,laki-laki,S1,Malang,WRPH,sedang,Belum menikah
Phyllis Elliott,+62 (961) 690-6498,"Jalan KH Amin Jasuta No. 43
Padang, Kepulauan Bangka Belitung 66588",9957690518294724,laki-laki,S1,Yogyakarta,DISC,sedang,Menikah
Kevin Smith,(0651) 928 2012,"Gg. Rumah Sakit No. 372
Tomohon, ST 08881",8554239175636534,laki-laki,D3,Bekasi,WRPH,sedang,Menikah
Becky Montes,(029) 640-7773,"Gg. Otto Iskandardinata No. 18
Kota Administrasi Jakarta Timur, DI Yogyakarta 60592",3370415489390657,laki-laki,D3,Depok,INCO,sedang,Belum menikah
Olivia Foster,+62-076-961-1530,"Jalan Monginsidi No. 44
Purwokerto, NB 99458",1165563636779264,laki-laki,SMA,Tangerang,DISP,kalem,Belum menikah
Jeffrey Rodriguez,+62-133-261-8146,"Jalan Erlangga No. 722
Salatiga, SU 71078",5262611076336758,laki-laki,SMA,Yogyakarta,PTPR,kalem,Belum menikah
Scott Lynch,+62 (0509) 579-2830,"Gg. Gegerkalong Hilir No. 00
Medan, BA 61834",3334064254088405,laki-laki,SMA,Malang,DISC,sedang,Menikah
Michelle Buchanan,+62-080-325-0110,"Jalan Waringin No. 633
Sungai Penuh, PB 31489",9950102380467744,laki-laki,D3,Yogyakarta,PTPR,sedang,Belum menikah
Crystal Brown,+62 (41) 707 0767,"Gg. Jend. Sudirman No. 62
Pematangsiantar, SG 62314",8397363042837486,laki-laki,D3,Bekasi,DISP,sedang,Menikah
Cameron Leonard,(014) 219 7590,"Jalan Peta No. 57
Kupang, Kalimantan Utara 26907",8613653962164283,laki-laki,SMA,Bekasi,DISP,kalem,Belum menikah
Jordan Mcbride,+62 (352) 969-7422,"Jl. Suryakencana No. 65
Pangkalpinang, Maluku Utara 24312",1530140686831592,laki-laki,D3,Yogyakarta,OTHR,sedang,Menikah
Alicia Williams,+62 (015) 313 0730,"Jl. Ahmad Dahlan No. 800
Banjarbaru, Nusa Tenggara Timur 93496",6159871813616436,laki-laki,S1,Yogyakarta,MUPD,sedang,Menikah
Amanda Webster,(0745) 203-2760,"Jalan Raya Setiabudhi No. 027
Pagaralam, Kalimantan Barat 64245",4989550234771940,laki-laki,SMP,Depok,WRPH,kalem,Menikah
Crystal Dean,+62 (042) 467-8288,"Gang Ahmad Dahlan No. 36
Pematangsiantar, SG 47767",9753645504212663,laki-laki,SMA,Depok,OTHR,kalem,Belum menikah
Stephanie Sanchez,(007) 631 0017,"Gang Cikutra Timur No. 1
Balikpapan, Kepulauan Riau 23938",8111128090141847,laki-laki,SMA,Bekasi,ATPU,sedang,Menikah
Dennis Butler,+62 (10) 495 8793,"Jalan Kapten Muslihat No. 99
Pekanbaru, Sulawesi Tenggara 90651",7677259854766720,laki-laki,SMA,Yogyakarta,INCO,sedang,Menikah
Kelly Smith,+62-693-880-5474,"Gg. Wonoayu No. 22
Bogor, LA 85032",6833321229029080,laki-laki,D3,Bekasi,WRPH,kalem,Belum menikah
Matthew Blevins,0835789544,"Jalan Abdul Muis No. 0
Banda Aceh, Kalimantan Selatan 01633",4962772555676849,laki-laki,S1,Malang,WRPH,sedang,Menikah
Susan Graves,+62 (45) 461-6379,"Jalan Kebonjati No. 89
Blitar, AC 09341",1023779205987679,laki-laki,SMA,Semarang,LMSG,kalem,Belum menikah
Lori Obrien,+62 (08) 884 8073,"Jalan Dipenogoro No. 31
Parepare, Papua Barat 47335",3418874410192502,laki-laki,D3,Bekasi,WRPH,kalem,Menikah
Jessica Graham,+62 (97) 774 2326,"Jl. Rumah Sakit No. 04
Tegal, Gorontalo 39496",5703564377234292,laki-laki,D3,Depok,MUPD,kalem,Menikah
Dustin Davis,+62 (0847) 282-6281,"Gg. Dipenogoro No. 075
Jayapura, Riau 34123",5356477045479501,laki-laki,D3,Bekasi,DISC,sedang,Menikah
Sandra Gross,+62 (84) 914-8751,"Gg. Sadang Serang No. 5
Kota Administrasi Jakarta Barat, AC 64565",2212636500267451,laki-laki,D3,Yogyakarta,INCO,sedang,Menikah
Gabriela Rose,+62-0427-654-7849,"Jl. Gardujati No. 35
Tidore Kepulauan, Nusa Tenggara Timur 34821",1983186322996373,laki-laki,SMA,Bekasi,WRPH,sedang,Menikah
Mary Ortiz,+62 (052) 444 9290,"Gang Pelajar Pejuang No. 606
Tarakan, Lampung 85133",2793274045208922,laki-laki,SMP,Palembang,CBLT,kalem,Belum menikah
Clayton Rodriguez,(005) 506-7858,"Jalan Cikapayang No. 6
Pematangsiantar, Papua Barat 65015",8316186573224883,laki-laki,D3,Bogor,HUPD,sedang,Menikah
Erin Matthews,+62-670-165-3016,"Gang Soekarno Hatta No. 3
Pagaralam, KU 86997",1992876560953701,laki-laki,SMA,Tangerang,OTHR,sedang,Menikah
Cheryl Holmes,088 116 4655,"Gang Soekarno Hatta No. 69
Gorontalo, KU 10171",4215440025913365,laki-laki,D3,Tangerang,DISC,kalem,Menikah
Evan Hunt,+62-652-310-2418,"Jalan Monginsidi No. 281
Kediri, AC 11714",1082752131957731,laki-laki,SMA,Malang,PTPR,kalem,Menikah
Theresa May,0815433347,"Jalan Gardujati No. 90
Bengkulu, Kalimantan Selatan 39556",4165049561248281,laki-laki,SMA,Palembang,WRPH,kalem,Belum menikah
Nicholas Austin,+62 (0779) 829 9495,"Jalan Jend. Sudirman No. 74
Ternate, SR 44546",5636914667083697,laki-laki,SMA,Tangerang,CBLT,sedang,Belum menikah
Seth Jones,(0100) 069 8086,"Jl. S. Parman No. 1
Padangpanjang, NT 52183",4962144755478050,laki-laki,D3,Makassar,INCO,sedang,Menikah
Joanne Carr,+62-0705-494-1922,"Gang Setiabudhi No. 6
Manado, PA 47289",6818463020518296,laki-laki,D3,Yogyakarta,WRPH,sedang,Menikah
Andrew Bishop,(062) 698 2720,"Jalan Cihampelas No. 606
Bau-Bau, JA 79461",6290909658048141,laki-laki,D3,Yogyakarta,PTPR,sedang,Menikah
Matthew Haynes,(028) 035-9351,"Gang Rajiman No. 72
Banjar, KU 44648",6788659871564711,laki-laki,SMA,Depok,ATPU,kalem,Menikah
Kenneth Adams,(0694) 352 1742,"Gang Cikutra Barat No. 8
Surabaya, JA 44363",5863564088808145,laki-laki,SMA,Tangerang,CBLT,kalem,Belum menikah
Nicole Wilkins,+62 (038) 258-7796,"Jalan Raya Setiabudhi No. 7
Denpasar, Sumatera Utara 72833",4949455314125024,laki-laki,D3,Malang,DISP,sedang,Menikah
Timothy Johnson,(0689) 445 9975,"Gang Sukajadi No. 19
Bau-Bau, Maluku 51883",7404164899008730,laki-laki,S1,Bogor,WRPH,sedang,Menikah
Gail Daniels,(0331) 903-4534,"Jl. Suryakencana No. 7
Palangkaraya, SB 64608",2312259467640384,laki-laki,D3,Bekasi,DISC,kalem,Menikah
Anita Townsend,(077) 665-4025,"Gang Yos Sudarso No. 79
Sabang, JK 98447",2028724271048431,laki-laki,D3,Malang,DISC,sedang,Menikah
Patty Smith,080 319 6927,"Jl. Antapani Lama No. 110
Tasikmalaya, Jawa Barat 95357",2847276382863604,laki-laki,SMA,Malang,WRPH,kalem,Menikah
Ryan Grant,+62 (504) 381 7510,"Jl. S. Parman No. 589
Palangkaraya, KR 14218",2245394176463143,laki-laki,D3,Batam,DISP,sedang,Menikah
Michael Cabrera,+62 (689) 247 9009,"Gang Cihampelas No. 2
Magelang, NB 22525",2335235761065020,laki-laki,D3,Yogyakarta,WRPH,sedang,Menikah
Alicia Bryant,+62 (59) 830-8140,"Gang Pasteur No. 07
Tanjungbalai, KS 83101",6217179838826081,laki-laki,SMP,Semarang,CBLT,kalem,Belum menikah
Gregory Cook,+62 (0512) 230 8275,"Jl. Soekarno Hatta No. 6
Purwokerto, Sumatera Utara 23844",6731881072078570,laki-laki,SMA,Bekasi,INCO,sedang,Menikah
Michael Johnson,(054) 582 5987,"Gg. S. Parman No. 051
Palangkaraya, SS 96177",6849854875196721,laki-laki,S1,Balikpapan,MUPD,sedang,Menikah
Ian Garner,+62 (037) 446-5649,"Jl. Veteran No. 1
Malang, Papua 11053",7102412759064166,laki-laki,S1,Bogor,DISC,sedang,Menikah
Derek Moore,(056) 446 0150,"Gang Tubagus Ismail No. 59
Padangpanjang, JI 56786",5093049194924125,laki-laki,SMP,Tangerang,ATPU,kalem,Belum menikah
Kristina Snyder,(0178) 984-0469,"Jl. Jamika No. 04
Salatiga, Banten 40683",1216277926106500,laki-laki,SMA,Palembang,INCO,kalem,Belum menikah
Richard Potter,+62-0044-497-9814,"Jl. R.E Martadinata No. 1
Singkawang, SG 62762",4883748862568999,laki-laki,S1,Bogor,FDBK,sedang,Menikah
Sara Fisher,+62 (0067) 453 6822,"Gg. Erlangga No. 0
Kediri, ST 43226",8000798379957227,laki-laki,SMP,Tangerang,OTHR,kalem,Belum menikah
Joshua Weber,+62 (018) 259-2624,"Gg. Cihampelas No. 601
Banda Aceh, Papua Barat 33443",8998612677340882,laki-laki,D3,Bogor,DISC,sedang,Menikah
Michelle Jackson,+62-16-741-9135,"Gg. Stasiun Wonokromo No. 5
Cilegon, Maluku Utara 73857",1398241429134071,laki-laki,D3,Bekasi,WRPH,sedang,Menikah
Jonathan Taylor,+62 (172) 324 1371,"Jalan W.R. Supratman No. 5
Semarang, Sulawesi Tenggara 79679",2848982968249273,laki-laki,SMA,Malang,WRPH,sedang,Belum menikah
Karen Johnston,+62-550-582-2983,"Gg. Ahmad Dahlan No. 9
Prabumulih, Maluku 32932",7815054685988054,laki-laki,D3,Bogor,MUPD,sedang,Menikah
Donald Thomas,+62-0095-037-5560,"Jalan Kapten Muslihat No. 761
Mataram, SU 78864",4616740506525711,laki-laki,SMA,Semarang,OTHR,kalem,Belum menikah
Willie Alvarado,+62 (098) 683 4415,"Gang S. Parman No. 6
Pekalongan, BE 04419",8364411227879120,laki-laki,SMA,Palembang,CBLT,kalem,Belum menikah
Debbie Collins MD,+62 (036) 306-5344,"Gang Surapati No. 72
Padang, JK 70742",9652599717220813,laki-laki,SMA,Tangerang,ATPU,kalem,Belum menikah
Mark Brandt,+62-0172-685-0852,"Jalan Lembong No. 67
Balikpapan, Kepulauan Riau 85205",8808948607371365,laki-laki,D3,Tangerang,WUPD,sedang,Menikah
Dean Wood,+62-789-370-0232,"Gg. Jayawijaya No. 630
Salatiga, JA 30525",3283100068845202,laki-laki,SMA,Yogyakarta,INCO,kalem,Menikah
Gregory French,+62-0650-281-0603,"Gang Joyoboyo No. 43
Banda Aceh, PB 35896",2923383813984357,laki-laki,D3,Tangerang,DISC,sedang,Menikah
Alexa Johnson,+62-0952-583-5734,"Jalan Tebet Barat Dalam No. 5
Batu, Aceh 09963",9402185335603386,laki-laki,D3,Malang,HUPD,kalem,Menikah
Chelsey Bryan,+62 (452) 645-4100,"Jalan Jend. A. Yani No. 3
Sukabumi, DKI Jakarta 81974",8551027803356596,laki-laki,D3,Malang,INCO,sedang,Menikah
Marissa Rhodes,0827465975,"Gang Rawamangun No. 0
Bekasi, Kalimantan Barat 33311",2768817325642758,laki-laki,D3,Tangerang,WRPH,sedang,Menikah
Emily Schaefer,+62 (083) 996-9928,"Jl. Cihampelas No. 52
Kendari, YO 42665",2754575024746978,laki-laki,D3,Depok,WRPH,sedang,Menikah
Jennifer Boyle,0861547371,"Gang Yos Sudarso No. 11
Samarinda, DI Yogyakarta 04152",2133510259706830,laki-laki,D3,Bekasi,HUPD,sedang,Menikah
Joseph Rosario,082 160 1979,"Jl. Cikapayang No. 330
Tebingtinggi, Nusa Tenggara Timur 37801",9727597000646827,laki-laki,SMA,Tangerang,WRPH,kalem,Menikah
Felicia Lee,+62 (87) 754 8693,"Jalan Gedebage Selatan No. 8
Gorontalo, NT 13522",6702613264542791,laki-laki,D3,Bekasi,PTPR,kalem,Belum menikah
Emily Powell,(044) 712-8107,"Jl. M.H Thamrin No. 372
Probolinggo, Sumatera Utara 00608",5098568871028125,laki-laki,D3,Yogyakarta,MUPD,sedang,Menikah
Jeffery Price,+62-822-723-5763,"Gg. Surapati No. 07
Surabaya, Maluku 20000",9290891009846877,laki-laki,SMP,Semarang,DISP,kalem,Belum menikah
Megan Scott,088 126 8983,"Jalan Pasirkoja No. 3
Palembang, Nusa Tenggara Timur 05642",9919145428359484,laki-laki,SMA,Yogyakarta,PTPR,kalem,Belum menikah
Lisa Gibson,+62-54-189-2781,"Jl. Ronggowarsito No. 21
Langsa, NB 47794",8647712997723793,laki-laki,SMA,Depok,DISP,kalem,Menikah
Jordan Zuniga,+62 (59) 202 0996,"Gg. Abdul Muis No. 23
Pasuruan, DKI Jakarta 51952",3640419062918851,laki-laki,SMP,Medan,CBLT,kalem,Belum menikah
James Gibson,082 454 1314,"Jalan Indragiri No. 369
Tegal, MU 19611",4940517104861922,laki-laki,S1,Bogor,INCO,sedang,Menikah
Sandra Chan,0886244129,"Gg. Cikutra Barat No. 7
Bima, KB 68779",8242751209397463,laki-laki,SMP,Medan,ATPU,kalem,Belum menikah
James Schaefer,+62-041-290-3592,"Jl. Tubagus Ismail No. 14
Banjarmasin, JI 13458",8026026371815529,laki-laki,D3,Tangerang,ATPU,sedang,Menikah
Lee King,+62 (46) 729 9973,"Gg. Antapani Lama No. 1
Subulussalam, NB 31062",1532276343375387,laki-laki,S1,Bekasi,INCO,sedang,Menikah
Jeremy Edwards,+62 (0886) 754 9097,"Jalan Sentot Alibasa No. 41
Blitar, BA 28049",2419914203720242,laki-laki,SMP,Makassar,LMSG,kalem,Belum menikah
Lori Cochran,+62-006-979-9196,"Gang Dipatiukur No. 00
Langsa, PA 36987",6118902095581234,laki-laki,SMA,Bekasi,ATPU,sedang,Menikah
Kristin Thompson,080 689 8080,"Jl. Pasteur No. 357
Pekalongan, JA 51083",4671603092277343,laki-laki,S1,Bogor,DISC,sedang,Menikah
Peter Hayes,(0194) 317 3742,"Jl. Surapati No. 0
Medan, Kalimantan Tengah 37058",6609719391855136,laki-laki,SMA,Palembang,NOCO,kalem,Belum menikah
Jesus Henry,+62 (0830) 289-1796,"Gang Kendalsari No. 1
Banjarbaru, Sulawesi Tengah 52763",6821122886915928,laki-laki,SMA,Depok,CBLT,kalem,Belum menikah
Sarah Brown,+62 (462) 160-7831,"Gg. Pasir Koja No. 853
Tomohon, Gorontalo 32764",2355687349532877,laki-laki,S1,Balikpapan,MUPD,sedang,Menikah
Daniel Anderson,+62-0721-976-1583,"Jalan Cikutra Timur No. 9
Jayapura, SG 17679",8377399153742337,laki-laki,D3,Depok,PTPR,sedang,Menikah
Lauren Lopez,+62-885-170-5170,"Gg. Rungkut Industri No. 2
Tidore Kepulauan, GO 77634",4408644271302987,laki-laki,D3,Depok,INCO,sedang,Menikah
Sheila Watson,(0954) 287-2108,"Jalan Sentot Alibasa No. 3
Kota Administrasi Jakarta Pusat, Kepulauan Bangka Belitung 48081",3973946917010547,laki-laki,D3,Depok,INCO,sedang,Menikah
Kevin Graham,+62-005-096-1564,"Jalan Rajiman No. 034
Sibolga, Maluku 62911",6579978062756967,laki-laki,D3,Depok,WRPH,sedang,Menikah
Tony Johnston,+62 (91) 857 0438,"Gang Rungkut Industri No. 72
Bogor, BE 04916",1557451544374290,laki-laki,SMA,Makassar,MUPD,kalem,Belum menikah
Toni Davis,(0791) 841 8569,"Jl. Rumah Sakit No. 5
Kota Administrasi Jakarta Timur, Papua 89218",2587984565249085,laki-laki,D3,Tangerang,OTHR,sedang,Menikah
Valerie Hodge MD,+62 (083) 183 9941,"Jl. Cihampelas No. 338
Ambon, KT 66839",7940663032060850,laki-laki,S1,Batam,FDBK,sedang,Menikah
Carl Ruiz,(0927) 030 9085,"Gang S. Parman No. 44
Kota Administrasi Jakarta Pusat, Nusa Tenggara Barat 96456",9368184914464625,laki-laki,D3,Malang,DISC,sedang,Menikah
Sherry Smith,081 200 5524,"Gg. Kutisari Selatan No. 982
Kota Administrasi Jakarta Barat, JK 40334",6611721656021015,laki-laki,SMA,Tangerang,PTPR,sedang,Menikah
Christine Edwards,0835555560,"Jalan Raya Ujungberung No. 556
Bitung, Kalimantan Barat 57235",4093974816058684,laki-laki,SMA,Depok,ATPU,kalem,Belum menikah
Terry Coleman,+62 (04) 175-1658,"Gg. Cikapayang No. 704
Payakumbuh, Banten 54320",2310203514273638,laki-laki,SMA,Bekasi,CBLT,sedang,Belum menikah
Mrs. Heather Hall,(046) 391 0444,"Jl. Soekarno Hatta No. 30
Tangerang, Kepulauan Bangka Belitung 18845",3830702219079753,laki-laki,D3,Malang,MUPD,sedang,Menikah
Daniel Turner,+62 (153) 137 3196,"Jl. Pelajar Pejuang No. 9
Jambi, MA 40332",5904562187342529,laki-laki,D3,Yogyakarta,WRPH,sedang,Belum menikah
Kelsey Joyce,+62-34-407-9228,"Gg. Kiaracondong No. 7
Binjai, BE 88204",8195582319323462,laki-laki,D3,Malang,PTPR,kalem,Belum menikah
Morgan Scott,+62 (78) 729 1378,"Gang K.H. Wahid Hasyim No. 86
Palu, Sumatera Barat 34542",9505148878432723,laki-laki,SMA,Bekasi,LMSG,kalem,Belum menikah
Melinda Lopez,+62 (0592) 252 7338,"Jl. Jakarta No. 2
Bau-Bau, Jawa Barat 52271",3009111655481715,laki-laki,D3,Malang,INCO,sedang,Menikah
Amanda Cooper,(0370) 004 9150,"Gang Jend. A. Yani No. 9
Bukittinggi, JK 35958",1510861103713787,laki-laki,SMP,Palembang,OTHR,kalem,Menikah
Lisa Gibson,+62 (0556) 024 6884,"Jl. Stasiun Wonokromo No. 0
Dumai, Gorontalo 20998",5299921917259519,laki-laki,D3,Yogyakarta,HUPD,sedang,Menikah
Brad Stanley,+62 (772) 419 3864,"Jalan Cikutra Barat No. 7
Cilegon, Kalimantan Utara 30605",3288862042224828,laki-laki,SMA,Depok,WRPH,kalem,Belum menikah
Kelly Rodriguez,+62-86-352-6975,"Gang Moch. Ramdan No. 8
Kendari, Maluku 00294",5209851839179720,laki-laki,D3,Bekasi,DISC,sedang,Menikah
Thomas Adams,+62 (0899) 096 4241,"Gg. Rajiman No. 54
Banda Aceh, Jawa Barat 89655",3311721634621842,laki-laki,SMA,Bekasi,PTPR,kalem,Belum menikah
Jamie Russell,+62-969-782-2432,"Gang Ahmad Yani No. 49
Bitung, Lampung 76663",3641258843616350,laki-laki,S1,Bekasi,PTPR,sedang,Menikah
Daniel Holland,+62-990-472-4839,"Jl. Siliwangi No. 503
Pariaman, JI 07135",3341929065935774,laki-laki,SMP,Semarang,OTHR,kalem,Belum menikah
Rachel Brown,+62 (79) 686 9899,"Gang Ciwastra No. 3
Sorong, Riau 74339",1137757208857340,laki-laki,SMA,Yogyakarta,ATPU,sedang,Menikah
Jaime Love,(039) 916-6855,"Jalan Stasiun Wonokromo No. 95
Palu, KR 45129",5084140211894180,laki-laki,SMA,Tangerang,INCO,kalem,Belum menikah
Matthew Smith PhD,+62-0001-393-6760,"Gg. Gegerkalong Hilir No. 01
Kota Administrasi Jakarta Pusat, Sulawesi Tengah 26976",9617216153376054,laki-laki,SMA,Malang,INCO,sedang,Menikah
Megan Hancock,(0052) 800 9164,"Jalan Raya Ujungberung No. 42
Depok, Sulawesi Tenggara 65797",6780168900871393,laki-laki,D3,Depok,DISP,kalem,Belum menikah
Barbara Ramirez,086 343 6131,"Jl. Jend. A. Yani No. 479
Bandar Lampung, Kepulauan Bangka Belitung 12365",9501074733629359,laki-laki,SMA,Palembang,NOAN,kalem,Belum menikah
Theresa Scott,+62 (98) 289 9560,"Jalan Peta No. 69
Tomohon, PB 88345",3698873250877719,laki-laki,D3,Bekasi,WRPH,kalem,Menikah
Richard Brown,+62 (547) 573-2316,"Gang H.J Maemunah No. 2
Tomohon, BE 53668",4848737414884430,laki-laki,SMA,Bekasi,ATPU,sedang,Menikah
Doris Lambert,+62-0888-210-8171,"Gang Jakarta No. 11
Surabaya, DKI Jakarta 04244",2162838120398398,laki-laki,SMA,Palembang,OTHR,kalem,Belum menikah
John Little,+62-007-211-8181,"Gg. Cikapayang No. 667
Banda Aceh, Bengkulu 23666",2876142740055787,laki-laki,S1,Bogor,HUPD,sedang,Menikah
Jason Dyer,+62-0177-699-2964,"Gg. Dipatiukur No. 071
Tangerang, MU 34035",6682010979309246,laki-laki,S1,Batam,FDBK,sedang,Menikah
Christine Swanson,082 343 8451,"Jalan Monginsidi No. 51
Salatiga, PA 00228",5015580912239857,laki-laki,SMA,Tangerang,PTPR,sedang,Belum menikah
Alexandria Lam,+62 (038) 257-2591,"Gang Pacuan Kuda No. 903
Banjarbaru, SB 84896",9218902611868600,laki-laki,D3,Tangerang,INCO,sedang,Menikah
Margaret Harrison,+62 (88) 865 8625,"Gang Cihampelas No. 468
Pematangsiantar, KR 95872",4134782411561463,laki-laki,SMA,Palembang,OTHR,kalem,Belum menikah
Nicholas Cooke,+62 (227) 461-1133,"Gg. Rungkut Industri No. 55
Bontang, JA 39328",4477614458039691,laki-laki,SMP,Tangerang,WRPH,kalem,Menikah
Amy Morrison,(0066) 276-3841,"Jalan Setiabudhi No. 5
Tasikmalaya, Bengkulu 66465",8357293196725170,laki-laki,D3,Bekasi,LMSG,kalem,Belum menikah
Trevor West,084 518 1402,"Gg. Kiaracondong No. 936
Banjarmasin, PB 86823",9856915188673546,laki-laki,SMA,Palembang,DISP,sedang,Belum menikah
Stephanie Williams DDS,0811332867,"Jalan K.H. Wahid Hasyim No. 50
Sibolga, Sulawesi Utara 49493",3399443171770109,laki-laki,S1,Yogyakarta,WRPH,sedang,Menikah
Daniel Obrien,+62 (78) 862 0958,"Gg. Pasir Koja No. 235
Tanjungpinang, DKI Jakarta 21169",7248445593628490,laki-laki,SMA,Semarang,OTHR,kalem,Belum menikah
Regina Johnson,+62 (696) 218-1032,"Jalan Pelajar Pejuang No. 9
Balikpapan, Nusa Tenggara Timur 19913",6642196712818259,laki-laki,SMA,Makassar,CBLT,kalem,Belum menikah
Morgan Morgan,+62-035-678-3872,"Gang Siliwangi No. 7
Kota Administrasi Jakarta Selatan, Gorontalo 28587",3290821595412186,laki-laki,D3,Depok,DISP,sedang,Belum menikah
Vanessa Miller,(009) 856-6472,"Gg. PHH. Mustofa No. 77
Mataram, JK 70121",6038457181186958,laki-laki,D3,Yogyakarta,DISC,sedang,Menikah
Jesse Johnson,+62 (0701) 247 7173,"Jl. Setiabudhi No. 9
Malang, SS 13781",7551162276461488,laki-laki,D3,Tangerang,DISP,sedang,Belum menikah
James Short,+62-219-862-9271,"Gang Cihampelas No. 4
Mojokerto, Sulawesi Barat 11973",2064921402924112,laki-laki,SMA,Yogyakarta,WRPH,sedang,Menikah
Morgan Bates,+62 (091) 099-7534,"Gg. Sukabumi No. 9
Bandung, JT 34480",4074309895738151,laki-laki,SMA,Depok,DISP,kalem,Belum menikah
Gail Brown,+62-0776-430-1324,"Jl. W.R. Supratman No. 2
Dumai, Maluku Utara 96285",8949692273157700,laki-laki,D3,Bogor,WRPH,sedang,Belum menikah
Jason Bates,086 505 2703,"Gg. Kendalsari No. 065
Tual, Sulawesi Utara 46199",9424681622877842,laki-laki,D3,Malang,WRPH,sedang,Menikah
Wayne Powers,(074) 521 3045,"Jalan Otto Iskandardinata No. 79
Pematangsiantar, RI 57899",6102649015756423,laki-laki,D3,Bekasi,WRPH,sedang,Menikah
Heidi Hunter,+62 (0672) 929 9826,"Gg. Surapati No. 72
Tangerang Selatan, JB 31579",5102206779054364,laki-laki,SMA,Tangerang,DISP,kalem,Menikah
Laura Murphy,(091) 012-0458,"Gg. Laswi No. 797
Banjarmasin, Kepulauan Bangka Belitung 79133",7580608619570236,laki-laki,SMA,Makassar,PTPR,kalem,Menikah
Kylie Freeman,+62 (0569) 608-8730,"Gg. Jayawijaya No. 00
Malang, PB 78425",6817429880031374,laki-laki,D3,Bekasi,WRPH,sedang,Menikah
Debra Ward,+62 (000) 530 2164,"Gg. Jamika No. 338
Purwokerto, Kepulauan Bangka Belitung 73462",6114649377221802,laki-laki,D3,Malang,WRPH,sedang,Menikah
Wesley Thomas,(053) 400-7313,"Jalan Ronggowarsito No. 72
Meulaboh, BB 70427",7724288389076973,laki-laki,D3,Bogor,PTPR,sedang,Menikah
Sheila Hill,+62-059-542-6520,"Gg. S. Parman No. 524
Batu, SN 70325",8042948213333421,laki-laki,SMP,Semarang,OTHR,kalem,Belum menikah
Susan Wilkerson,(0992) 007 1914,"Jl. Indragiri No. 02
Subulussalam, KS 68371",9390261818400369,laki-laki,S1,Bekasi,DISC,sedang,Menikah
Kent Adams,+62-791-277-5733,"Gang H.J Maemunah No. 28
Langsa, Sulawesi Barat 14020",9995757355209303,laki-laki,D3,Bekasi,DISC,sedang,Menikah
Kenneth Copeland,+62 (78) 147-2668,"Jl. Merdeka No. 2
Palopo, PA 67111",6738133653885789,laki-laki,SMA,Tangerang,DISP,kalem,Menikah
Frank Schmidt,+62-60-570-9105,"Jalan Tubagus Ismail No. 03
Bandar Lampung, SU 99415",6540828721407909,laki-laki,SMA,Depok,DISP,kalem,Belum menikah
Joshua Wright,+62-258-880-0778,"Jl. Pasir Koja No. 97
Kupang, Sumatera Selatan 21042",3382221128900850,laki-laki,SMA,Palembang,OTHR,kalem,Belum menikah
Brendan Cochran,+62 (44) 801 6650,"Gang Rajawali Barat No. 54
Mojokerto, Bali 78160",3949377713519581,laki-laki,S2,Batam,MUPD,sedang,Menikah
Michelle Wyatt,+62-887-130-8218,"Jl. Surapati No. 17
Kotamobagu, Kalimantan Utara 73633",9011819990086922,laki-laki,S1,Padang,FDBK,sedang,Menikah
Michele Gonzalez,(0029) 367 3853,"Gang Medokan Ayu No. 506
Singkawang, SS 36245",8202425154786203,laki-laki,SMP,Semarang,NOAN,kalem,Belum menikah
Victoria Ibarra,+62-28-881-4420,"Gang Raya Ujungberung No. 08
Tangerang Selatan, Kepulauan Riau 37982",6773165765608599,laki-laki,D3,Malang,HUPD,sedang,Menikah
Marie Bailey,+62 (0754) 194 9222,"Jl. Laswi No. 14
Palangkaraya, PA 22421",1827004166773642,laki-laki,D3,Bekasi,PTPR,sedang,Menikah
Jose Curtis,+62 (0009) 015-1095,"Gang M.H Thamrin No. 4
Surabaya, Sulawesi Tenggara 81541",9100731914403794,laki-laki,SMA,Tangerang,WRPH,kalem,Menikah
John Williams,0877862929,"Gg. Surapati No. 5
Kota Administrasi Jakarta Timur, KI 30827",5516777434662776,laki-laki,SMA,Depok,DISP,kalem,Belum menikah
Brian Woodard,+62 (82) 304 6540,"Gg. Pasirkoja No. 6
Bekasi, Sumatera Utara 64671",6694843026706455,laki-laki,SMA,Malang,WRPH,sedang,Menikah
Joseph Patterson,(061) 014-2534,"Gang Raya Setiabudhi No. 947
Sukabumi, Lampung 37499",1363288667401517,laki-laki,SMP,Makassar,DISP,kalem,Belum menikah
Sabrina Moore,087 462 4532,"Gg. Moch. Toha No. 98
Singkawang, Maluku 84595",5203014503267394,laki-laki,S1,Padang,DISC,sedang,Menikah
Benjamin Compton Jr.,+62-95-685-5831,"Gang Medokan Ayu No. 366
Cilegon, NB 49029",7934063114607635,laki-laki,SMA,Tangerang,LMSG,kalem,Menikah
Jesus Murray,+62 (111) 185 4320,"Gg. Jakarta No. 5
Bandar Lampung, KI 64879",3884966414898481,laki-laki,D3,Depok,DISP,kalem,Belum menikah
Michael Myers,(0651) 788-3233,"Gang Ahmad Yani No. 63
Tarakan, SU 89840",3685218453979714,laki-laki,D3,Bekasi,OTHR,kalem,Belum menikah
